security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CBRE,Finance,Real Estate - Operations,25__0,25,0.0,1. p999999_trade_value,548475.0,548475.0,O:CBRE250516C00130000,CBRE,C,130.0,2025-05-16,235,0,300,3.09,1745420553550000000,1775,548475.0,2025-04-23,3000,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,122.36,125.95,120.99,122.05,1,5.739156836815948,20,1,1,1,1,0
CIGI,Finance,Real Estate - Operations,0__2,0,2.0,1. p999999_trade_value,4800.0,4800.0,O:CIGI241115P00145000,CIGI,P,145.0,2024-11-15,209,0,320,4.8,1729619980596000000,10,4800.0,2024-10-22,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,149.18,149.18,147.46,147.8,1,3.681241237375587,20,1,1,1,1,0
CWK,Finance,Real Estate - Operations,10__3,10,3.0,8. p75_trade_value,60000.0,60000.0,O:CWK241115C00015000,CWK,C,15.0,2024-11-15,231,0,323,0.2,1729778085123000000,3000,60000.0,2024-10-24,3000,30,True,Single Leg Floor Trade,Finance,Real Estate - Operations,12.97,13.865,12.92,13.55,2,4.778151250383644,20,2,1,0,0,0
CWK,Finance,Real Estate - Operations,10__3,10,3.0,1. p999999_trade_value,180000.0,180000.0,O:CWK241115C00015000,CWK,C,15.0,2024-11-15,231,0,323,0.15,1729778085123000000,12000,180000.0,2024-10-24,3000,30,True,Single Leg Floor Trade,Finance,Real Estate - Operations,12.97,13.865,12.92,13.55,1,5.2552725051033065,20,1,1,0,0,0
FIP,Finance,Real Estate - Operations,10__0,10,0.0,8. p75_trade_value,8350.0,9600.0,O:FIP241220C00009000,FIP,C,9.0,2024-12-20,209,0,320,0.25,1732128137452000000,334,8350.0,2024-11-20,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,8.55,8.77,8.32,8.51,3,3.921686475483602,20,3,1,0,0,0
FIP,Finance,Real Estate - Operations,10__0,10,0.0,1. p999999_trade_value,10050.0,10050.0,O:FIP241220C00009000,FIP,C,9.0,2024-12-20,209,0,318,0.3,1732293627591000000,335,10050.0,2024-11-22,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,8.47,8.54,8.37,8.47,1,4.002166061756507,20,1,1,0,0,0
FIP,Finance,Real Estate - Operations,10__0,10,0.0,8. p75_trade_value,8350.0,9600.0,O:FIP250321C00006000,FIP,C,6.0,2025-03-21,227,0,323,0.32,1740672787032000000,300,9600.0,2025-02-27,3000,30,True,Single Leg Auction Non ISO,Finance,Real Estate - Operations,5.5,5.865,5.4101,5.69,2,3.9822712330395684,20,2,1,0,0,0
FOR,Finance,Real Estate - Development,0__2,0,2.0,1. p999999_trade_value,4500.0,4500.0,O:FOR250417P00020000,FOR,P,20.0,2025-04-17,209,0,308,0.45,1742569622963000000,100,4500.0,2025-03-21,3000,30,True,Automatic Execution,Finance,Real Estate - Development,22.19,22.19,21.7,21.73,1,3.6532125137753435,20,1,1,1,1,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,1. p999999_trade_value,24050.0,24050.0,O:GRBK241115P00075000,GRBK,P,75.0,2024-11-15,209,0,316,1.85,1729532299951000000,130,24050.0,2024-10-21,3000,30,True,Automatic Execution,Finance,Real Estate - Development,83.56,83.56,79.37,79.56,1,4.381115080709851,20,1,1,1,1,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,20000.0,O:GRBK250321P00060000,GRBK,P,60.0,2025-03-21,209,0,308,1.4,1740676783526000000,100,14000.0,2025-02-27,3000,30,True,Automatic Execution,Finance,Real Estate - Development,63.72,65.125,61.09,61.2,6,4.146128035678238,20,3,1,1,1,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,20000.0,O:GRBK250417P00055000,GRBK,P,55.0,2025-04-17,227,0,323,2.37,1744042967197000000,50,11850.0,2025-04-07,3000,30,True,Single Leg Auction Non ISO,Finance,Real Estate - Development,55.44,58.75,55.02,55.75,7,4.073718350346122,20,4,1,1,0,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,7. p90_trade_value,21500.0,21500.0,O:GRBK250417P00055000,GRBK,P,55.0,2025-04-17,209,0,308,2.15,1744055256413000000,100,21500.0,2025-04-07,3000,30,True,Automatic Execution,Finance,Real Estate - Development,55.44,58.75,55.02,55.75,3,4.332438459915605,20,2,1,1,0,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,6. p95_trade_value,23680.0,23680.0,O:GRBK250417P00055000,GRBK,P,55.0,2025-04-17,209,0,308,1.85,1744052146137000000,128,23680.0,2025-04-07,3000,30,True,Automatic Execution,Finance,Real Estate - Development,55.44,58.75,55.02,55.75,2,4.3743816980508825,20,1,1,1,0,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,20000.0,O:GRBK250417P00055000,GRBK,P,55.0,2025-04-17,209,0,308,2.0,1744054176164000000,100,20000.0,2025-04-07,3000,30,True,Automatic Execution,Finance,Real Estate - Development,55.44,58.75,55.02,55.75,4,4.301029995663981,20,2,1,1,0,0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,20000.0,O:GRBK250620C00060000,GRBK,C,60.0,2025-06-20,209,0,308,0.95,1748883408534000000,200,19000.0,2025-06-02,3000,30,True,Automatic Execution,Finance,Real Estate - Development,58.09,58.13,56.8471,57.82,5,4.278753600952829,20,3,1,0,0,0
HHH,Finance,Real Estate - Development,20__0,20,0.0,1. p999999_trade_value,91908.0,91908.0,O:HHH250516C00075000,HHH,C,75.0,2025-05-16,209,0,325,0.92,1745945562707000000,999,91908.0,2025-04-29,3000,30,True,Automatic Execution,Finance,Real Estate - Development,67.03,68.22,66.3438,67.71,1,4.9633533155715375,20,1,1,0,0,0
HOUS,Finance,Real Estate - Operations,10__0,10,0.0,1. p999999_trade_value,5000.0,5000.0,O:HOUS250417P00003000,HOUS,P,3.0,2025-04-17,209,0,308,0.05,1742491062677000000,1000,5000.0,2025-03-20,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,3.73,4.11,3.73,3.89,2,3.6989700043360187,20,2,1,1,1,0
HOUS,Finance,Real Estate - Operations,10__0,10,0.0,1. p999999_trade_value,5000.0,5000.0,O:HOUS250417P00003000,HOUS,P,3.0,2025-04-17,209,0,308,0.05,1743695940700000000,1000,5000.0,2025-04-03,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,3.26,3.36,3.23,3.24,1,3.6989700043360187,20,1,1,1,1,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,1. p999999_trade_value,226000.0,226000.0,O:JLL250117P00240000,JLL,P,240.0,2025-01-17,235,0,313,4.0,1734637818814000000,565,226000.0,2024-12-19,3000,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,255.75,258.895,246.23,246.93,1,5.354108439147401,20,1,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250221P00250000,JLL,P,250.0,2025-02-21,235,0,301,2.7,1738612826802000000,50,13500.0,2025-02-03,3000,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,276.06,279.66,271.675,276.76,13,4.1303337684950066,20,5,0,0,0,1
JLL,Finance,Real Estate - Operations,15__0,15,0.0,6. p95_trade_value,33000.0,34500.0,O:JLL250221P00270000,JLL,P,270.0,2025-02-21,235,0,301,6.9,1738612826802000000,50,34500.0,2025-02-03,3000,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,276.06,279.66,271.675,276.76,2,4.537819095073274,20,1,1,1,1,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,7. p90_trade_value,17200.0,23500.0,O:JLL250321P00270000,JLL,P,270.0,2025-03-21,235,0,323,4.7,1739996828239000000,50,23500.0,2025-02-19,3000,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,274.18,283.48,272.92,279.27,4,4.371067862271736,20,2,1,1,1,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,7. p90_trade_value,17200.0,23500.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,301,4.5,1746456489832000000,44,19800.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,5,4.296665190261531,20,2,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.8,1746454075082000000,37,14060.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,11,4.147985320683805,20,4,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,4.0,1746473422399000000,37,14800.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,10,4.1702617153949575,20,4,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,219,0,316,4.0,1746455234307000000,38,15200.0,2025-05-05,3000,30,True,Intermarket Sweep Order,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,9,4.181843587944773,20,3,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.8,1746454069967000000,42,15960.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,8,4.203032887014711,20,3,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,7. p90_trade_value,17200.0,23500.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,4.0,1746455216066000000,43,17200.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,6,4.235528446907549,20,2,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,4.5,1746456488280000000,38,17100.0,2025-05-05,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,232.26,236.095,232.11,232.84,7,4.232996110392154,20,3,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.1,1746544766317000000,43,13330.000000000002,2025-05-06,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,228.41,232.44,228.41,229.88,15,4.124830149413859,20,5,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.1,1746544566078000000,43,13330.000000000002,2025-05-06,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,228.41,232.44,228.41,229.88,14,4.124830149413859,20,5,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,13330.000000000002,17100.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.1,1746544567208000000,45,13950.0,2025-05-06,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,228.41,232.44,228.41,229.88,12,4.144574207609616,20,4,1,0,0,0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,6. p95_trade_value,33000.0,34500.0,O:JLL250516C00240000,JLL,C,240.0,2025-05-16,209,0,316,3.0,1746541469538000000,110,33000.0,2025-05-06,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,228.41,232.44,228.41,229.88,3,4.518513939877887,20,1,1,0,0,0
KW,Finance,Real Estate - Operations,5__3,5,3.0,1. p999999_trade_value,25725.0,25725.0,O:KW250321C00010000,KW,C,10.0,2025-03-21,227,0,323,0.21,1740512248802000000,1225,25725.0,2025-02-25,3000,30,True,Single Leg Auction Non ISO,Finance,Real Estate - Operations,8.98,9.34,8.97,9.29,1,4.410355383434471,20,1,1,0,0,0
LEGH,Finance,Real Estate - Operations,0__2,0,2.0,1. p999999_trade_value,3300.0,3300.0,O:LEGH241115P00025000,LEGH,P,25.0,2024-11-15,209,0,320,1.0,1729886095212000000,33,3300.0,2024-10-25,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,25.67,25.71,25.19,25.2,1,3.5185139398778875,20,1,1,0,0,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,18000.0,O:LGIH240920C00110000,LGIH,C,110.0,2024-09-20,209,0,320,1.5,1725989704951000000,120,18000.0,2024-09-10,3000,30,True,Automatic Execution,Finance,Real Estate - Development,105.23,105.6,102.72,104.67,4,4.2552725051033065,20,2,1,1,1,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,18000.0,O:LGIH240920C00110000,LGIH,C,110.0,2024-09-20,209,0,313,1.5,1725989704950000000,79,11850.0,2024-09-10,3000,30,True,Automatic Execution,Finance,Real Estate - Development,105.23,105.6,102.72,104.67,6,4.073718350346122,20,3,1,1,1,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,11850.0,18000.0,O:LGIH241220P00105000,LGIH,P,105.0,2024-12-20,209,0,313,2.5,1732894532210000000,50,12500.0,2024-11-29,3000,30,True,Automatic Execution,Finance,Real Estate - Development,111.26,112.97,108.71,109.49,5,4.096910013008056,20,3,1,1,1,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,1. p999999_trade_value,49979.99999999999,49979.99999999999,O:LGIH241220P00105000,LGIH,P,105.0,2024-12-20,209,0,313,2.55,1733331385528000000,196,49979.99999999999,2024-12-04,3000,30,True,Automatic Execution,Finance,Real Estate - Development,108.14,109.5665,107.5025,109.01,1,4.698796251790431,20,1,1,1,1,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,7. p90_trade_value,23840.0,23840.0,O:LGIH241220P00100000,LGIH,P,100.0,2024-12-20,209,0,313,1.6,1734034723777000000,149,23840.0,2024-12-12,3000,30,True,Automatic Execution,Finance,Real Estate - Development,104.02,104.31,101.78,102.39,3,4.377306251068199,20,2,1,1,1,0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,6. p95_trade_value,48000.0,48000.0,O:LGIH250620P00050000,LGIH,P,50.0,2025-06-20,209,0,316,2.4,1748016436378000000,200,48000.0,2025-05-23,3000,30,True,Automatic Execution,Finance,Real Estate - Development,50.53,51.93,50.49,51.5,2,4.681241237375588,20,1,1,0,0,0
LSEA,Finance,Real Estate - Development,0__2,0,2.0,1. p999999_trade_value,5800.0,5800.0,O:LSEA250321C00007500,LSEA,C,7.5,2025-03-21,209,0,302,0.25,1741271860838000000,232,5800.0,2025-03-06,3000,30,True,Automatic Execution,Finance,Real Estate - Development,7.06,7.42,7.0,7.41,1,3.7634279935629373,20,1,1,1,0,0
MMI,Finance,Real Estate - Development,5__0,5,0.0,1. p999999_trade_value,4500.0,4500.0,O:MMI241115C00040000,MMI,C,40.0,2024-11-15,209,0,325,0.9,1730296457600000000,50,4500.0,2024-10-30,3000,30,True,Automatic Execution,Finance,Real Estate - Development,38.11,39.395,38.09,38.59,1,3.6532125137753435,20,1,1,1,1,0
MRP,Finance,Real Estate - Operations,5__1,5,1.0,1. p999999_trade_value,57000.0,57000.0,O:MRP250321C00022500,MRP,C,22.5,2025-03-21,231,0,313,0.3,1741878455565000000,1900,57000.0,2025-03-13,3000,30,True,Single Leg Floor Trade,Finance,Real Estate - Operations,21.79,21.84,21.02,21.37,1,4.7558748556724915,20,1,1,1,1,0
MRP,Finance,Real Estate - Operations,5__1,5,1.0,8. p75_trade_value,23380.0,23380.0,O:MRP250417P00025000,MRP,P,25.0,2025-04-17,209,0,313,0.7,1743691919770000000,334,23380.0,2025-04-03,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,25.81,26.205,25.43,25.67,2,4.3688445068258215,20,2,1,1,1,0
RDFN,Finance,Real Estate - Operations,30__1,30,1.0,1. p999999_trade_value,603500.0,603500.0,O:RDFN240927C00014500,RDFN,C,14.5,2024-09-27,239,0,302,0.71,1726239756342000000,8500,603500.0,2024-09-13,3000,30,True,Multi Leg floor trade against single leg(s),Finance,Real Estate - Operations,11.7,14.47,11.68,14.45,1,5.780677274433368,20,1,1,0,0,0
RMAX,Finance,Real Estate - Operations,10__0,10,0.0,1. p999999_trade_value,9000.0,9000.0,O:RMAX241018P00012500,RMAX,P,12.5,2024-10-18,209,0,301,0.9,1726760516507000000,100,9000.0,2024-09-19,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,13.05,13.06,12.585,12.77,1,3.9542425094393248,20,1,1,1,1,0
SEG,Finance,Real Estate - Operations,0__2,0,2.0,1. p999999_trade_value,3080.0,3080.0,O:SEG250620C00020000,SEG,C,20.0,2025-06-20,209,0,325,0.4,1748026586027000000,77,3080.0,2025-05-23,3000,30,True,Automatic Execution,Finance,Real Estate - Operations,17.42,18.25,17.2758,18.13,1,3.4885507165004443,20,1,1,0,0,0
