security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AHT,Finance,REIT and Equity Trust - Other,0.65,,,,1,0__2,0,2.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
AKR,Finance,REIT and Equity Trust - Retail,0.65,5824.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0
ALEX,Finance,REIT and Equity Trust - Other,0.65,,,,1,0__0,0,0.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0
AMH,Finance,REIT and Equity Trust - Residential,0.65,3680.0000000000005,1. p999999_trade_value,1.0,1,0__2,0,2.0,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0
CTO,Finance,REIT and Equity Trust - Other,0.65,3465.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0
DEA,Finance,REIT and Equity Trust - Other,0.65,,,,1,0__2,0,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ELME,Finance,REIT and Equity Trust - Residential,0.65,6000.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
ELS,Finance,REIT and Equity Trust - Residential,0.65,,,,1,0__2,0,2.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0
NLOP,Finance,REIT and Equity Trust - Other,0.65,3685.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3685.0,3685.0,3685.0,3685.0,3685.0,3685.0,3685.0
PEB,Finance,REIT and Equity Trust - Other,0.65,3060.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0
PECO,Finance,REIT and Equity Trust - Retail,0.65,4000.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
PINE,Finance,REIT and Equity Trust - Other,0.65,,,,1,0__2,0,2.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
PMT,Finance,REIT and Equity Trust,0.65,,,,1,0__1,0,1.0,44880.0,44880.0,44880.0,44880.0,44880.0,44880.0,44880.0
SAFE,Finance,REIT and Equity Trust - Residential,0.65,,,,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
SVC,Finance,REIT and Equity Trust - Other,0.65,3240.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0
