security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
DHR,Medical,Medical Services,35__0,35,0.0,1. p999999_trade_value,580244.0,580244.0,O:DHR241018C00270000,DHR,C,270.0,2024-10-18,227,0,323,2.38,1728588805952000000,2438,580244.0,2024-10-10,3000,30,True,Single Leg Auction Non ISO,Medical,Medical Services,268.37,269.12,265.5,266.45,1,5.763610658338875,20,1,1,1,1,0
DHR,Medical,Medical Services,35__0,35,0.0,4. p999_trade_value,381468.0,422988.0,O:DHR250321C00215000,DHR,C,215.0,2025-03-21,233,0,312,3.83,1740410691788000000,996,381468.0,2025-02-24,3000,30,True,Multi Leg Auction,Medical,Medical Services,209.61,212.7,207.95,211.14,3,5.581458112392322,20,1,1,0,0,0
DHR,Medical,Medical Services,35__0,35,0.0,4. p999_trade_value,381468.0,422988.0,O:DHR250516C00187500,DHR,C,187.5,2025-05-16,227,0,301,6.98,1745259530191000000,606,422988.0,2025-04-21,3000,30,True,Single Leg Auction Non ISO,Medical,Medical Services,185.28,185.64,181.94,184.96,2,5.626328046789447,20,1,1,1,1,0
ELV,Medical,Medical Services,35__2,35,2.0,6. p95_trade_value,27300.0,126719.99999999999,O:ELV240920P00550000,ELV,P,550.0,2024-09-20,235,0,300,3.0,1726501043610000000,120,36000.0,2024-09-16,3000,30,True,Multi Leg floor trade,Medical,Medical Services,554.12,559.95,552.55,553.5,82,4.556302500767287,20,1,1,1,1,0
ELV,Medical,Medical Services,35__2,35,2.0,7. p90_trade_value,16650.0,27200.0,O:ELV241018C00550000,ELV,C,550.0,2024-10-18,232,0,322,9.18,1726861086426000000,20,18360.0,2024-09-20,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical Services,536.97,540.285,536.03,539.86,203,4.2638726768652235,20,2,0,0,0,1
ELV,Medical,Medical Services,35__2,35,2.0,6. p95_trade_value,27300.0,126719.99999999999,O:ELV241018C00550000,ELV,C,550.0,2024-10-18,209,0,319,10.2,1726840474647000000,34,34679.99999999999,2024-09-20,3000,30,True,Automatic Execution,Medical,Medical Services,536.97,540.285,536.03,539.86,91,4.540079088804172,20,1,0,0,0,1
ELV,Medical,Medical Services,35__2,35,2.0,7. p90_trade_value,16650.0,27200.0,O:ELV241018C00550000,ELV,C,550.0,2024-10-18,232,0,308,9.37,1726861299129000000,20,18739.999999999996,2024-09-20,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical Services,536.97,540.285,536.03,539.86,200,4.272769586551759,20,2,0,0,0,1
ELV,Medical,Medical Services,35__2,35,2.0,6. p95_trade_value,27300.0,126719.99999999999,O:ELV241018P00530000,ELV,P,530.0,2024-10-18,240,0,302,9.16,1727102073789000000,49,44884.0,2024-09-23,3000,30,True,Stock Options auto-electronic trade,Medical,Medical Services,540.54,542.22,533.4,533.9,57,4.652091553696364,20,1,1,1,1,0
ELV,Medical,Medical Services,35__2,35,2.0,6. p95_trade_value,27300.0,126719.99999999999,O:ELV241018P00530000,ELV,P,530.0,2024-10-18,240,0,302,9.45,1727101980892000000,50,47249.99999999999,2024-09-23,3000,30,True,Stock Options auto-electronic trade,Medical,Medical Services,540.54,542.22,533.4,533.9,52,4.674401812845281,20,1,1,1,1,0
ELV,Medical,Medical Services,35__2,35,2.0,7. p90_trade_value,16650.0,27200.0,O:ELV241018P00530000,ELV,P,530.0,2024-10-18,209,0,313,10.1,1727107442633000000,20,20200.0,2024-09-23,3000,30,True,Automatic Execution,Medical,Medical Services,540.54,542.22,533.4,533.9,177,4.305351369446623,20,2,1,1,1,0
