security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,1. p999999_trade_value,650000.0,650000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,4. p999_trade_value,420000.0,420000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,5. p99_trade_value,416000.0,56979.99999999999,8.0,10.0,0.8,0.65,1. ABOVE BASELINE,10.0,12.0,0.8333333333333334
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,6. p95_trade_value,55500.0,19100.0,26.0,45.0,0.5777777777777777,0.65,2. BELOW BASELINE,36.0,57.0,0.631578947368421
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,7. p90_trade_value,19000.0,13068.0,36.0,57.0,0.631578947368421,0.65,2. BELOW BASELINE,72.0,114.0,0.631578947368421
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,8. p75_trade_value,13020.000000000002,7789.999999999999,107.0,170.0,0.6294117647058823,0.65,2. BELOW BASELINE,179.0,284.0,0.6302816901408451
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,1. p999999_trade_value,323082.0,323082.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,5. p99_trade_value,109872.0,66740.0,4.0,8.0,0.5,0.65,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,6. p95_trade_value,62340.0,18810.000000000004,10.0,33.0,0.30303030303030304,0.65,2. BELOW BASELINE,15.0,42.0,0.35714285714285715
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,7. p90_trade_value,18660.0,12000.0,19.0,42.0,0.4523809523809524,0.65,2. BELOW BASELINE,34.0,84.0,0.40476190476190477
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2.0,8. p75_trade_value,11819.000000000002,7600.0,60.0,123.0,0.4878048780487805,0.65,2. BELOW BASELINE,94.0,207.0,0.45410628019323673
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,1. p999999_trade_value,807360.0,807360.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,4. p999_trade_value,738000.0,738000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,5. p99_trade_value,501000.0,148000.0,8.0,13.0,0.6153846153846154,0.65,2. BELOW BASELINE,9.0,15.0,0.6
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,6. p95_trade_value,135000.0,26292.0,32.0,54.0,0.5925925925925926,0.65,2. BELOW BASELINE,41.0,69.0,0.5942028985507246
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,7. p90_trade_value,25449.0,14616.0,47.0,69.0,0.6811594202898551,0.65,2. BELOW BASELINE,88.0,138.0,0.6376811594202898
EBAY,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,8. p75_trade_value,14375.0,7900.0,149.0,206.0,0.7233009708737864,0.65,2. BELOW BASELINE,237.0,344.0,0.688953488372093
GRPN,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,1. p999999_trade_value,223500.0,223500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
GRPN,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,5. p99_trade_value,200000.0,150000.0,3.0,7.0,0.42857142857142855,0.65,2. BELOW BASELINE,4.0,8.0,0.5
GRPN,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,6. p95_trade_value,139275.0,39600.0,17.0,32.0,0.53125,0.65,2. BELOW BASELINE,21.0,40.0,0.525
GRPN,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,7. p90_trade_value,37540.0,19250.000000000004,25.0,37.0,0.6756756756756757,0.65,2. BELOW BASELINE,46.0,77.0,0.5974025974025974
GRPN,Retail-Wholesale,Internet - Commerce,30__1,30,1.0,8. p75_trade_value,19220.0,8550.0,71.0,115.0,0.6173913043478261,0.65,2. BELOW BASELINE,117.0,192.0,0.609375
