security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ALGT,Transportation,Transportation - Airline,20__0,20,0.0,1. p999999_trade_value,37620.0,37620.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ALGT,Transportation,Transportation - Airline,20__0,20,0.0,6. p95_trade_value,35000.0,26000.0,3.0,3.0,1.0,0.65,1. ABOVE BASELINE,4.0,4.0,1.0
ALGT,Transportation,Transportation - Airline,20__0,20,0.0,7. p90_trade_value,25560.0,22500.0,2.0,3.0,0.6666666666666666,0.65,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
ALGT,Transportation,Transportation - Airline,20__0,20,0.0,8. p75_trade_value,19305.0,9625.0,8.0,9.0,0.8888888888888888,0.65,1. ABOVE BASELINE,14.0,16.0,0.875
CPA,Transportation,Transportation - Airline,20__0,20,0.0,1. p999999_trade_value,55440.0,55440.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CPA,Transportation,Transportation - Airline,20__0,20,0.0,6. p95_trade_value,16000.0,15300.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,2.0,4.0,0.5
CPA,Transportation,Transportation - Airline,20__0,20,0.0,7. p90_trade_value,15129.999999999998,11250.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
CPA,Transportation,Transportation - Airline,20__0,20,0.0,8. p75_trade_value,11151.0,6705.0,4.0,10.0,0.4,0.65,2. BELOW BASELINE,8.0,17.0,0.47058823529411764
HRI,Transportation,Transportation - Equipment and Leasing,20__0,20,0.0,1. p999999_trade_value,28859.999999999996,28859.999999999996,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
HRI,Transportation,Transportation - Equipment and Leasing,20__0,20,0.0,6. p95_trade_value,25380.0,24500.000000000004,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,1.0,4.0,0.25
HRI,Transportation,Transportation - Equipment and Leasing,20__0,20,0.0,7. p90_trade_value,22050.0,20000.0,3.0,4.0,0.75,0.65,2. BELOW BASELINE,4.0,8.0,0.5
HRI,Transportation,Transportation - Equipment and Leasing,20__0,20,0.0,8. p75_trade_value,19350.0,9400.0,4.0,12.0,0.3333333333333333,0.65,2. BELOW BASELINE,8.0,20.0,0.4
MATX,Transportation,Transportation - Services,20__1,20,1.0,1. p999999_trade_value,544439.0,544439.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
MATX,Transportation,Transportation - Services,20__1,20,1.0,6. p95_trade_value,534928.0000000001,275065.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,4.0,0.5
MATX,Transportation,Transportation - Services,20__1,20,1.0,7. p90_trade_value,120000.0,45000.0,0.0,4.0,0.0,0.65,2. BELOW BASELINE,2.0,8.0,0.25
MATX,Transportation,Transportation - Services,20__1,20,1.0,8. p75_trade_value,34050.0,9000.0,8.0,10.0,0.8,0.65,2. BELOW BASELINE,10.0,18.0,0.5555555555555556
NMM,Transportation,Transportation - Shipping,20__0,20,0.0,1. p999999_trade_value,35000.0,35000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
NMM,Transportation,Transportation - Shipping,20__0,20,0.0,5. p99_trade_value,33750.0,33750.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
NMM,Transportation,Transportation - Shipping,20__0,20,0.0,6. p95_trade_value,27929.999999999996,12000.0,4.0,7.0,0.5714285714285714,0.65,2. BELOW BASELINE,6.0,9.0,0.6666666666666666
NMM,Transportation,Transportation - Shipping,20__0,20,0.0,7. p90_trade_value,11880.0,11000.000000000002,9.0,12.0,0.75,0.65,2. BELOW BASELINE,15.0,21.0,0.7142857142857143
NMM,Transportation,Transportation - Shipping,20__0,20,0.0,8. p75_trade_value,10750.0,8560.0,14.0,21.0,0.6666666666666666,0.65,2. BELOW BASELINE,29.0,42.0,0.6904761904761905
OMEX,Transportation,Transportation - Shipping,20__0,20,0.0,1. p999999_trade_value,40500.0,40500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
OMEX,Transportation,Transportation - Shipping,20__0,20,0.0,5. p99_trade_value,32339.999999999996,32339.999999999996,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
OMEX,Transportation,Transportation - Shipping,20__0,20,0.0,6. p95_trade_value,30430.0,14240.0,3.0,6.0,0.5,0.65,2. BELOW BASELINE,4.0,8.0,0.5
OMEX,Transportation,Transportation - Shipping,20__0,20,0.0,7. p90_trade_value,14000.0,10160.0,2.0,8.0,0.25,0.65,2. BELOW BASELINE,6.0,16.0,0.375
OMEX,Transportation,Transportation - Shipping,20__0,20,0.0,8. p75_trade_value,10080.000000000002,8000.0,9.0,22.0,0.4090909090909091,0.65,2. BELOW BASELINE,15.0,38.0,0.39473684210526316
SBLK,Transportation,Transportation - Shipping,20__0,20,0.0,1. p999999_trade_value,62229.99999999999,62229.99999999999,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
SBLK,Transportation,Transportation - Shipping,20__0,20,0.0,5. p99_trade_value,29850.0,29850.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
SBLK,Transportation,Transportation - Shipping,20__0,20,0.0,6. p95_trade_value,22165.0,17570.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
SBLK,Transportation,Transportation - Shipping,20__0,20,0.0,7. p90_trade_value,14579.999999999998,12000.0,4.0,6.0,0.6666666666666666,0.65,2. BELOW BASELINE,6.0,12.0,0.5
