security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AEE,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,19845.0,19845.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AEE,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,18375.0,16416.000000000004,1.0,2.0,0.5,0.65,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
AEE,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,12375.0,12000.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
AEE,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,11000.000000000002,9000.0,3.0,5.0,0.6,0.65,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
ATO,Utilities,Utility - Gas Distribution,15__0,15,0.0,1. p999999_trade_value,149269.99999999997,149269.99999999997,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ATO,Utilities,Utility - Gas Distribution,15__0,15,0.0,6. p95_trade_value,147937.5,24725.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
ATO,Utilities,Utility - Gas Distribution,15__0,15,0.0,7. p90_trade_value,13940.0,10750.0,3.0,3.0,1.0,0.65,1. ABOVE BASELINE,6.0,6.0,1.0
ATO,Utilities,Utility - Gas Distribution,15__0,15,0.0,8. p75_trade_value,10600.0,7200.0,7.0,7.0,1.0,0.65,1. ABOVE BASELINE,13.0,13.0,1.0
AWK,Utilities,Utility - Water Supply,15__0,15,0.0,1. p999999_trade_value,33408.0,33408.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AWK,Utilities,Utility - Water Supply,15__0,15,0.0,6. p95_trade_value,20160.0,12210.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,4.0,0.5
AWK,Utilities,Utility - Water Supply,15__0,15,0.0,7. p90_trade_value,9750.0,8878.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,3.0,6.0,0.5
AWK,Utilities,Utility - Water Supply,15__0,15,0.0,8. p75_trade_value,8850.0,6075.0,7.0,8.0,0.875,0.65,2. BELOW BASELINE,10.0,14.0,0.7142857142857143
CMS,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,108900.0,108900.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CMS,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,56386.999999999985,25989.999999999996,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
CMS,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,25725.0,23760.000000000004,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,5.0,5.0,1.0
CMS,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,23540.0,10005.0,7.0,7.0,1.0,0.65,1. ABOVE BASELINE,12.0,12.0,1.0
CNP,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,41490.0,41490.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CNP,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,30000.0,30000.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CNP,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,24453.0,24453.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,2.0,4.0,0.5
CNP,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,12150.0,10000.0,0.0,5.0,0.0,0.65,2. BELOW BASELINE,2.0,9.0,0.2222222222222222
DTE,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,72720.0,72720.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
DTE,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,65340.00000000001,65340.00000000001,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
DTE,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,45360.0,45360.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
DTE,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,21600.0,6750.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
ES,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,131755.0,131755.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ES,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,76617.5,76617.5,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
ES,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,25650.0,11410.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,5.0,0.4
EVRG,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,12810.0,12810.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
EVRG,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,11960.0,11960.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
EVRG,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,10125.0,10125.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
EVRG,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,10010.0,9305.999999999998,2.0,3.0,0.6666666666666666,0.65,1. ABOVE BASELINE,5.0,6.0,0.8333333333333334
FE,Utilities,Utility - Electric Power,15__0,15,0.0,1. p999999_trade_value,23000.0,23000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
FE,Utilities,Utility - Electric Power,15__0,15,0.0,6. p95_trade_value,17710.0,13515.0,2.0,2.0,1.0,0.65,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
FE,Utilities,Utility - Electric Power,15__0,15,0.0,7. p90_trade_value,12750.0,11830.0,2.0,2.0,1.0,0.65,2. BELOW BASELINE,4.0,5.0,0.8
FE,Utilities,Utility - Electric Power,15__0,15,0.0,8. p75_trade_value,11549.999999999998,8500.0,5.0,7.0,0.7142857142857143,0.65,2. BELOW BASELINE,9.0,12.0,0.75
MDU,Utilities,Utility - Gas Distribution,15__0,15,0.0,1. p999999_trade_value,30000.0,30000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
MDU,Utilities,Utility - Gas Distribution,15__0,15,0.0,7. p90_trade_value,15000.0,15000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
MDU,Utilities,Utility - Gas Distribution,15__0,15,0.0,8. p75_trade_value,12300.0,10350.0,0.0,3.0,0.0,0.65,2. BELOW BASELINE,0.0,5.0,0.0
