security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CF,Basic Materials,Fertilizers,25__0,25,0.0,1. p999999_trade_value,437400.0,437400.0,O:CF250221P00085000,CF,P,85.0,2025-02-21,235,0,313,1.35,1737995980674000000,3240,437400.0,2025-01-27,3000,30,True,Multi Leg floor trade,Basic Materials,Fertilizers,89.73,90.13,88.17,88.77,1,5.640878778701619,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027000,MOS,C,27.0,2024-10-18,209,0,300,0.84,1727365760280000000,244,20495.999999999996,2024-09-26,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,22,4.311669112400611,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027000,MOS,C,27.0,2024-10-18,209,0,300,0.84,1727365760280000000,246,20664.0,2024-09-26,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,20,4.3152143931652605,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027000,MOS,C,27.0,2024-10-18,209,0,302,0.84,1727365760281000000,395,33180.0,2024-09-26,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,13,4.520876381688342,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027500,MOS,C,27.5,2024-10-18,209,0,320,0.59,1727375085751000000,437,25783.0,2024-09-26,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,18,4.411333448612566,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027500,MOS,C,27.5,2024-10-18,209,0,313,0.57,1727375054533000000,826,47081.99999999999,2024-09-26,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,7,4.672854902992873,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,5. p99_trade_value,58050.0,250000.0,O:MOS241018C00027500,MOS,C,27.5,2024-10-18,229,0,313,0.5,1727379615597000000,5000,250000.0,2024-09-26,3000,30,True,Single Leg Cross Non ISO,Basic Materials,Fertilizers,25.7599,26.9989,25.66,26.53,2,5.3979400086720375,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241018C00027500,MOS,C,27.5,2024-10-18,231,0,300,0.18,1728568001970000000,2500,45000.0,2024-10-10,3000,30,True,Single Leg Floor Trade,Basic Materials,Fertilizers,25.74,26.85,25.68,26.39,9,4.653212513775344,20,1,0,0,0,1
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241115C00027000,MOS,C,27.0,2024-11-15,209,0,320,1.01,1729791260442000000,340,34340.0,2024-10-24,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,26.7,26.8099,25.99,26.71,12,4.5358002908248976,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,5. p99_trade_value,58050.0,250000.0,O:MOS241115C00027000,MOS,C,27.0,2024-11-15,227,0,312,1.01,1729791260542000000,682,68882.0,2024-10-24,3000,30,True,Single Leg Auction Non ISO,Basic Materials,Fertilizers,26.7,26.8099,25.99,26.71,3,4.838105748439122,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS241115P00027000,MOS,P,27.0,2024-11-15,235,0,313,0.38,1731354000406000000,800,30400.0,2024-11-11,3000,30,True,Multi Leg floor trade,Basic Materials,Fertilizers,27.69,28.29,27.595,28.03,15,4.482873583608754,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250110P00025000,MOS,P,25.0,2025-01-10,209,0,300,0.35,1734100211039000000,1315,46024.99999999999,2024-12-13,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,26.59,27.14,26.365,26.79,8,4.6629937971760524,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250117P00022250,MOS,P,22.25,2025-01-17,209,0,320,0.44,1734640668850000000,468,20592.0,2024-12-19,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,24.39,24.56,23.702,23.88,21,4.313698529560312,20,1,0,0,0,1
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250131P00024000,MOS,P,24.0,2025-01-31,232,0,308,0.44,1736534393335000000,1319,58036.0,2025-01-10,3000,30,True,Multi Leg auto-electronic trade,Basic Materials,Fertilizers,24.75,25.08,24.075,24.83,6,4.763697472032553,20,1,0,0,0,1
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250221C00030000,MOS,C,30.0,2025-02-21,239,0,302,0.6,1737565869812000000,450,27000.0,2025-01-22,3000,30,True,Multi Leg floor trade against single leg(s),Basic Materials,Fertilizers,27.83,28.75,27.77,27.8,17,4.431363764158987,20,1,0,0,0,1
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250321P00025000,MOS,P,25.0,2025-03-21,242,0,313,0.53,1739994801770000000,600,31800.0,2025-02-19,3000,30,True,Stock Options floor trade,Basic Materials,Fertilizers,26.76,27.26,26.62,27.13,14,4.502427119984433,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,1. p999999_trade_value,478326.0,478326.0,O:MOS250321P00025000,MOS,P,25.0,2025-03-21,233,0,323,0.87,1740165459652000000,5498,478326.0,2025-02-21,3000,30,True,Multi Leg Auction,Basic Materials,Fertilizers,26.75,26.855,25.68,25.76,1,5.679723988126068,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,5. p99_trade_value,58050.0,250000.0,O:MOS250321C00027000,MOS,C,27.0,2025-03-21,235,0,301,0.59,1740514314647000000,1020,60179.99999999999,2025-02-25,3000,30,True,Multi Leg floor trade,Basic Materials,Fertilizers,25.4,25.81,25.185,25.51,4,4.779452183404062,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250321P00025000,MOS,P,25.0,2025-03-21,209,0,307,0.93,1740494336065000000,300,27900.0,2025-02-25,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,25.4,25.81,25.185,25.51,16,4.445604203273597,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,5. p99_trade_value,58050.0,250000.0,O:MOS250321C00027000,MOS,C,27.0,2025-03-21,234,0,301,0.43,1740586034586000000,1350,58050.0,2025-02-26,3000,30,True,Multi Leg Cross,Basic Materials,Fertilizers,25.47,25.66,25.01,25.22,5,4.763802224074593,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250417P00025000,MOS,P,25.0,2025-04-17,229,0,313,0.18,1742570996187000000,1200,21600.0,2025-03-21,3000,30,True,Single Leg Cross Non ISO,Basic Materials,Fertilizers,28.18,28.31,27.76,27.83,19,4.334453751150931,20,1,1,0,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250411P00025500,MOS,P,25.5,2025-04-11,209,0,307,0.37,1743601249203000000,1095,40515.0,2025-04-02,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,26.25,26.52,26.0,26.47,11,4.607615843243132,20,1,1,1,0,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250530C00031000,MOS,C,31.0,2025-05-30,209,0,303,1.11,1746211037508000000,172,19092.0,2025-05-02,3000,30,True,Automatic Execution,Basic Materials,Fertilizers,30.83,30.84,30.22,30.51,23,4.280851425694206,20,1,1,1,1,0
MOS,Basic Materials,Fertilizers,25__0,25,0.0,6. p95_trade_value,19092.0,58036.0,O:MOS250509P00029500,MOS,P,29.5,2025-05-09,229,0,308,0.43,1746540875185000000,1000,43000.0,2025-05-06,3000,30,True,Single Leg Cross Non ISO,Basic Materials,Fertilizers,30.74,31.09,30.32,30.45,10,4.633468455579586,20,1,1,0,0,0
