security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI241115P00510000,CACI,P,510.0,2024-11-15,227,0,323,9.3,1729710805539000000,60,55800.0,2024-10-23,3000,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Services,523.41,527.23,522.3811,524.1,8,4.746634198937579,20,1,1,1,1,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250221C00400000,CACI,C,400.0,2025-02-21,209,0,308,8.4,1738691666851000000,100,84000.0,2025-02-04,3000,30,True,Automatic Execution,Computer and Technology,Computer - Services,387.97,394.0,383.515,386.36,4,4.924279286061882,20,1,0,0,0,1
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.55,1739979033334000000,116,75980.0,2025-02-19,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,5,4.880699289218701,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.95,1739979754176000000,94,65330.00000000001,2025-02-19,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,6,4.815112658189813,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,6.5,1739979432639000000,39,25350.0,2025-02-19,3000,30,True,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,11,4.403977963669354,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.0,1739982583585000000,98,58800.0,2025-02-19,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,7,4.769377326076138,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,6.3,1739979425813000000,50,31500.0,2025-02-19,3000,30,True,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,10,4.498310553789601,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,5. p99_trade_value,84455.0,254794.99999999997,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.55,1739985430705000000,389,254794.99999999997,2025-02-19,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,2,5.4061909013174905,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,5. p99_trade_value,84455.0,254794.99999999997,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.65,1739979033334000000,127,84455.0,2025-02-19,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,3,4.926625366259062,20,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,231,0,301,1.5,1741374614827000000,245,36750.0,2025-03-07,3000,30,True,Single Leg Floor Trade,Computer and Technology,Computer - Services,355.85,389.95,355.85,387.17,9,4.565257343420214,20,1,0,0,0,1
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,1. p999999_trade_value,264960.0,264960.0,O:CACI250516C00450000,CACI,C,450.0,2025-05-16,231,0,301,9.6,1745430306178000000,276,264960.0,2025-04-23,3000,30,True,Single Leg Floor Trade,Computer and Technology,Computer - Services,430.0,436.16,419.0,423.37,1,5.423180315104786,20,1,1,1,1,0
LOGI,Computer and Technology,Computer - Peripheral Equipment,25__0,25,0.0,1. p999999_trade_value,226875.0,226875.0,O:LOGI241018P00085000,LOGI,P,85.0,2024-10-18,231,0,323,1.65,1727197928370000000,1375,226875.0,2024-09-24,3000,30,True,Single Leg Floor Trade,Computer and Technology,Computer - Peripheral Equipment,85.65,85.99,85.215,85.32,1,5.355786642380187,20,1,1,0,0,0
MANH,Computer and Technology,Computer - Software,25__0,25,0.0,1. p999999_trade_value,623360.0,623360.0,O:MANH250516C00175000,MANH,C,175.0,2025-05-16,242,0,302,6.4,1744831187750000000,974,623360.0,2025-04-16,3000,30,True,Stock Options floor trade,Computer and Technology,Computer - Software,163.0,164.5,159.09,161.09,1,5.794738930862502,20,1,1,1,1,0
PTC,Computer and Technology,Computer - Software,25__0,25,0.0,1. p999999_trade_value,430168.99999999994,430168.99999999994,O:PTC250516C00160000,PTC,C,160.0,2025-05-16,233,0,323,3.17,1745859129712000000,1357,430168.99999999994,2025-04-28,3000,30,True,Multi Leg Auction,Computer and Technology,Computer - Software,153.95,155.81,151.34,151.83,1,5.633639109877489,20,1,1,1,1,0
