security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AAOI,Computer and Technology,Electronics - Semiconductors,35__0,35,0.0,4. p999_trade_value,278160.0,278160.0,O:AAOI250221C00030000,AAOI,C,30.0,2025-02-21,209,0,318,3.8,1738338128229000000,732,278160.0,2025-01-31,3000,30,True,Automatic Execution,Computer and Technology,Electronics - Semiconductors,28.48,29.32,27.41,27.92,2,5.444294677675202,20,1,1,1,0,0
AAOI,Computer and Technology,Electronics - Semiconductors,35__0,35,0.0,1. p999999_trade_value,384784.99999999994,384784.99999999994,O:AAOI250221C00030000,AAOI,C,30.0,2025-02-21,231,0,301,2.05,1738681523816000000,1877,384784.99999999994,2025-02-04,3000,30,True,Single Leg Floor Trade,Computer and Technology,Electronics - Semiconductors,24.0,27.59,22.7201,27.115,1,5.585218133677101,20,1,1,1,0,0
ABAT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,8000.0,8000.0,O:ABAT250117P00002500,ABAT,P,2.5,2025-01-17,209,0,309,0.4,1735225247487000000,200,8000.0,2024-12-26,3000,30,True,Automatic Execution,Computer and Technology,Electronics - Miscellaneous Products,2.835,3.85,2.6,3.14,1,3.9030899869919438,20,1,1,1,1,0
ACIW,Computer and Technology,Computer - Software,5__0,5,0.0,1. p999999_trade_value,5216.0,5216.0,O:ACIW241115C00050000,ACIW,C,50.0,2024-11-15,227,0,301,3.26,1729609626587000000,16,5216.0,2024-10-22,3000,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,48.96,49.48,48.7114,48.91,1,3.717337582723864,20,1,1,1,1,0
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,25__0,25,0.0,1. p999999_trade_value,249000.0,249000.0,O:ACLS250117C00075000,ACLS,C,75.0,2025-01-17,231,0,323,2.0,1735055490877000000,1245,249000.0,2024-12-24,3000,30,True,Single Leg Floor Trade,Computer and Technology,Electronics - Manufacturing Machinery,70.83,72.1,69.94,72.1,1,5.396199347095736,20,1,1,0,0,0
AEHR,Computer and Technology,Electronics - Measuring Instruments,20__0,20,0.0,1. p999999_trade_value,26070.000000000004,26070.000000000004,O:AEHR241220C00012500,AEHR,C,12.5,2024-12-20,209,0,303,0.55,1732893429560000000,474,26070.000000000004,2024-11-29,3000,30,True,Automatic Execution,Computer and Technology,Electronics - Measuring Instruments,11.81,12.22,11.78,11.89,1,4.416141031168329,20,1,1,1,1,0
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,20__2,20,2.0,1. p999999_trade_value,487620.00000000006,487620.00000000006,O:AEIS250221P00110000,AEIS,P,110.0,2025-02-21,231,0,301,5.4,1738003570879000000,903,487620.00000000006,2025-01-27,3000,30,True,Single Leg Floor Trade,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,122.53,122.58,111.7701,113.26,1,5.688081510136475,20,1,1,0,0,0
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,20__2,20,2.0,5. p99_trade_value,256050.0,256050.0,O:AEIS250417P00090000,AEIS,P,90.0,2025-04-17,239,0,302,2.25,1743445577296000000,1138,256050.0,2025-03-31,3000,30,True,Multi Leg floor trade against single leg(s),Computer and Technology,Semiconductor Equipment - Wafer Fabrication,92.77,96.03,91.1024,95.31,2,5.408324780170415,20,1,1,1,1,0
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,1. p999999_trade_value,4545000.0,4545000.0,O:AFRM241206C00061000,AFRM,C,61.0,2024-12-06,241,0,308,3.03,1731514588553000000,15000,4545000.0,2024-11-13,3000,30,True,Stock Options Cross,Computer and Technology,Internet - Software,58.5,59.2699,53.84,54.82,1,6.657533887557986,20,1,1,1,1,0
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,1. p999999_trade_value,4545000.0,4545000.0,O:AFRM241206C00061000,AFRM,C,61.0,2024-12-06,241,0,308,3.03,1731516221402000000,15000,4545000.0,2024-11-13,3000,30,True,Stock Options Cross,Computer and Technology,Internet - Software,58.5,59.2699,53.84,54.82,2,6.657533887557986,20,1,1,1,1,0
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,3. p9999_trade_value,4395000.0,4395000.0,O:AFRM241206C00061000,AFRM,C,61.0,2024-12-06,241,0,308,2.93,1731515962265000000,15000,4395000.0,2024-11-13,3000,30,True,Stock Options Cross,Computer and Technology,Internet - Software,58.5,59.2699,53.84,54.82,3,6.6429588794097905,20,1,1,1,1,0
AIP,Computer and Technology,Internet - Software,10__0,10,0.0,8. p75_trade_value,8640.0,10500.0,O:AIP250516C00007500,AIP,C,7.5,2025-05-16,209,0,320,0.35,1746635307888000000,300,10500.0,2025-05-07,3000,30,True,Automatic Execution,Computer and Technology,Internet - Software,6.75,7.4859,6.735,7.24,2,4.021189299069938,20,2,1,1,1,0
AIP,Computer and Technology,Internet - Software,10__0,10,0.0,1. p999999_trade_value,11960.0,11960.0,O:AIP250516C00007500,AIP,C,7.5,2025-05-16,209,0,303,0.4,1746630737102000000,299,11960.0,2025-05-07,3000,30,True,Automatic Execution,Computer and Technology,Internet - Software,6.75,7.4859,6.735,7.24,1,4.077731179652392,20,1,1,1,1,0
AIP,Computer and Technology,Internet - Software,10__0,10,0.0,8. p75_trade_value,8640.0,10500.0,O:AIP250516C00007500,AIP,C,7.5,2025-05-16,209,0,325,0.3,1746625067710000000,288,8640.0,2025-05-07,3000,30,True,Automatic Execution,Computer and Technology,Internet - Software,6.75,7.4859,6.735,7.24,3,3.936513742478893,20,3,1,1,1,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,3. p9999_trade_value,1700000.0,1700000.0,O:ALAB241115C00075000,ALAB,C,75.0,2024-11-15,235,0,313,3.4,1729108577467000000,5000,1700000.0,2024-10-16,3000,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,64.31,66.11,62.01,65.59,2,6.230448921378274,20,1,1,1,1,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,1. p999999_trade_value,3600000.0,3600000.0,O:ALAB241115C00080000,ALAB,C,80.0,2024-11-15,235,0,301,3.6,1730300915234000000,10000,3600000.0,2024-10-30,3000,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,72.42,75.16,72.32,73.5,1,6.556302500767287,20,1,1,1,1,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,4. p999_trade_value,715340.0,1626183.0,O:ALAB241115C00095000,ALAB,C,95.0,2024-11-15,235,0,301,0.8,1730300915234000000,10000,800000.0,2024-10-30,3000,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,72.42,75.16,72.32,73.5,9,5.903089986991944,20,1,1,0,0,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,4. p999_trade_value,715340.0,1626183.0,O:ALAB241115P00065000,ALAB,P,65.0,2024-11-15,235,0,313,4.5,1730733590614000000,3483,1567350.0,2024-11-04,3000,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,72.23,72.59,67.31,69.65,4,6.19516598823358,20,1,0,0,0,1
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,4. p999_trade_value,715340.0,1626183.0,O:ALAB241220C00100000,ALAB,C,100.0,2024-12-20,233,0,312,5.12,1732124090998000000,1705,872960.0,2024-11-20,3000,30,True,Multi Leg Auction,Computer and Technology,Internet - Software,94.7882,98.79,92.17,97.42,7,5.940994344304348,20,1,1,1,1,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,4. p999_trade_value,715340.0,1626183.0,O:ALAB241220P00105000,ALAB,P,105.0,2024-12-20,232,0,322,5.89,1732554632331000000,1837,1081993.0,2024-11-25,3000,30,True,Multi Leg auto-electronic trade,Computer and Technology,Internet - Software,107.0,113.85,105.25,107.31,5,6.03422445109291,20,1,1,0,0,0
ALAB,Computer and Technology,Internet - Software,40__4,40,4.0,4. p999_trade_value,715340.0,1626183.0,O:ALAB241220P00110000,ALAB,P,110.0,2024-12-20,233,0,312,3.74,1733503002609000000,2497,933878.0000000001,2024-12-06,3000,30,True,Multi Leg Auction,Computer and Technology,Internet - Software,115.0,120.88,113.3275,120.4,6,5.970290144551828,20,1,0,0,0,1
