security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY240920P00195000,HSY,P,195.0,2024-09-20,231,0,313,0.7,1725994252308000000,600,42000.0,2024-09-10,3000,30,True,Single Leg Floor Trade,Consumer Staples,Food - Confectionery,203.98,205.77,202.48,202.83,48,4.623249290397901,20,1,1,1,0,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY240920P00195000,HSY,P,195.0,2024-09-20,227,0,302,1.6,1726079317619000000,199,31840.000000000004,2024-09-11,3000,30,True,Single Leg Auction Non ISO,Consumer Staples,Food - Confectionery,202.89,202.93,197.43,198.62,69,4.502973059065631,20,1,1,1,0,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241018C00195000,HSY,C,195.0,2024-10-18,209,0,319,3.7,1727202445643000000,92,34040.0,2024-09-24,3000,30,True,Automatic Execution,Consumer Staples,Food - Confectionery,194.16,194.845,193.17,193.34,63,4.5319895514125506,20,1,1,0,0,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241011P00185000,HSY,P,185.0,2024-10-11,231,0,301,0.5,1728058959939000000,1600,80000.0,2024-10-04,3000,30,True,Single Leg Floor Trade,Consumer Staples,Food - Confectionery,190.02,192.21,190.0,191.84,28,4.903089986991944,20,1,0,0,0,1
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241122P00170000,HSY,P,170.0,2024-11-22,235,0,323,2.45,1731693970302000000,500,122500.0,2024-11-15,3000,30,True,Multi Leg floor trade,Consumer Staples,Food - Confectionery,177.54,178.05,170.58,170.92,18,5.088136088700551,20,1,1,0,0,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241213C00177500,HSY,C,177.5,2024-12-13,219,0,319,1.5,1732901307204000000,249,37350.0,2024-11-29,3000,30,True,Intermarket Sweep Order,Consumer Staples,Food - Confectionery,173.93,176.48,173.42,176.13,55,4.572290606151418,20,1,1,1,1,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241213C00180000,HSY,C,180.0,2024-12-13,209,0,320,0.9,1732901623763000000,499,44910.0,2024-11-29,3000,30,True,Automatic Execution,Consumer Staples,Food - Confectionery,173.93,176.48,173.42,176.13,45,4.6523430550627145,20,1,1,1,1,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241213C00180000,HSY,C,180.0,2024-12-13,209,0,319,1.9,1732903133457000000,300,57000.0,2024-11-29,3000,30,True,Automatic Execution,Consumer Staples,Food - Confectionery,173.93,176.48,173.42,176.13,39,4.7558748556724915,20,1,1,1,1,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241220C00177500,HSY,C,177.5,2024-12-20,209,0,316,3.8,1732902942543000000,98,37240.0,2024-11-29,3000,30,True,Automatic Execution,Consumer Staples,Food - Confectionery,173.93,176.48,173.42,176.13,56,4.571009672309305,20,1,1,0,0,0
HSY,Consumer Staples,Food - Confectionery,30__2,30,2.0,6. p95_trade_value,31150.0,122500.0,O:HSY241220C00177500,HSY,C,177.5,2024-12-20,209,0,316,3.8,1732903194927000000,96,36479.99999999999,2024-11-29,3000,30,True,Automatic Execution,Consumer Staples,Food - Confectionery,173.93,176.48,173.42,176.13,58,4.562054829656378,20,1,1,0,0,0
