security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK241018P00070000,BK,P,70.0,2024-10-18,209,0,316,1.32,1726840760696000000,100,13200.0,2024-09-20,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,71.49,71.96,71.18,71.82,26,4.12057393120585,20,2,0,0,0,1
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK241018P00070000,BK,P,70.0,2024-10-18,209,0,307,1.0,1727184930768000000,100,10000.0,2024-09-24,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,71.75,72.23,71.3701,71.82,41,4.0,20,2,0,0,0,1
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK241018C00072500,BK,C,72.5,2024-10-18,227,0,323,1.65,1727454069565000000,72,11880.0,2024-09-27,3000,30,True,Single Leg Auction Non ISO,Finance,Banks - Major Regional,71.67,72.28,71.31,71.7,34,4.074816440645175,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,5. p99_trade_value,52650.0,74690.0,O:BK241018C00072500,BK,C,72.5,2024-10-18,232,0,304,1.29,1727796718078000000,429,55341.0,2024-10-01,3000,30,True,Multi Leg auto-electronic trade,Finance,Banks - Major Regional,71.68,71.74,70.85,71.11,4,4.743047002483973,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK241018C00072500,BK,C,72.5,2024-10-18,232,0,322,1.21,1728065510175000000,155,18755.0,2024-10-04,3000,30,True,Multi Leg auto-electronic trade,Finance,Banks - Major Regional,71.54,72.025,71.1,71.98,22,4.273117068486742,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK241018P00072500,BK,P,72.5,2024-10-18,235,0,313,0.94,1728584313250000000,250,23500.0,2024-10-10,3000,30,True,Multi Leg floor trade,Finance,Banks - Major Regional,73.77,74.47,73.66,74.45,11,4.371067862271736,20,1,0,0,0,1
BK,Finance,Banks - Major Regional,25__0,25,0.0,1. p999999_trade_value,102000.0,102000.0,O:BK241115C00080000,BK,C,80.0,2024-11-15,241,0,323,0.85,1729194451702000000,1200,102000.0,2024-10-17,3000,30,True,Stock Options Cross,Finance,Banks - Major Regional,77.71,78.03,77.38,77.75,1,5.008600171761918,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK241115P00075000,BK,P,75.0,2024-11-15,209,0,303,1.1,1729795208470000000,280,30800.0,2024-10-24,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,76.5,76.73,76.103,76.5,8,4.488550716500444,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK241220P00077500,BK,P,77.5,2024-12-20,209,0,316,1.22,1732199509870000000,100,12200.0,2024-11-21,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,78.5,79.1999,78.1063,78.88,30,4.086359830674748,20,2,1,1,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250207C00080000,BK,C,80.0,2025-02-07,209,0,316,0.6,1736542719796000000,200,12000.0,2025-01-10,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,77.4,77.85,75.39,75.42,31,4.079181246047625,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250117C00078000,BK,C,78.0,2025-01-17,239,0,302,0.79,1736783026818000000,660,52140.0,2025-01-13,3000,30,True,Multi Leg floor trade against single leg(s),Finance,Banks - Major Regional,75.15,76.14,74.91,76.11,6,4.71717102683231,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250117P00068000,BK,P,68.0,2025-01-17,239,0,302,0.15,1736783026751000000,660,9900.0,2025-01-13,3000,30,True,Multi Leg floor trade against single leg(s),Finance,Banks - Major Regional,75.15,76.14,74.91,76.11,44,3.99563519459755,20,2,0,0,0,1
BK,Finance,Banks - Major Regional,25__0,25,0.0,5. p99_trade_value,52650.0,74690.0,O:BK250117C00078500,BK,C,78.5,2025-01-17,234,0,300,0.7,1736881458413000000,1067,74690.0,2025-01-14,3000,30,True,Multi Leg Cross,Finance,Banks - Major Regional,75.97,76.74,75.72,75.94,2,4.873262459438727,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250214C00083000,BK,C,83.0,2025-02-14,209,0,316,0.95,1737047305227000000,129,12255.0,2025-01-16,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,81.72,82.475,81.0405,82.25,29,4.088313315588096,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250221P00084000,BK,P,84.0,2025-02-21,231,0,301,1.4,1737665105117000000,160,22400.0,2025-01-23,3000,30,True,Single Leg Floor Trade,Finance,Banks - Major Regional,84.39,85.55,84.12,84.73,13,4.350248018334163,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250221C00087000,BK,C,87.0,2025-02-21,209,0,320,1.0,1737749664861000000,99,9900.0,2025-01-24,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,84.46,86.34,84.42,85.79,43,3.99563519459755,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250221C00087000,BK,C,87.0,2025-02-21,209,0,320,1.0,1737748611725000000,100,10000.0,2025-01-24,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,84.46,86.34,84.42,85.79,40,4.0,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250221C00087000,BK,C,87.0,2025-02-21,209,0,316,1.0,1737746246057000000,100,10000.0,2025-01-24,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,84.46,86.34,84.42,85.79,39,4.0,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,320,1.35,1740067618357000000,110,14850.0,2025-02-20,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,88.5,88.53,86.02,87.16,24,4.171726453653231,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00084000,BK,P,84.0,2025-03-21,209,0,300,1.4,1740501897365000000,75,10500.0,2025-02-25,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,88.38,88.43,85.86,86.75,38,4.021189299069938,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250307C00090000,BK,C,90.0,2025-03-07,235,0,301,0.6,1740581784305000000,326,19560.0,2025-02-26,3000,30,True,Multi Leg floor trade,Finance,Banks - Major Regional,87.19,88.16,86.185,86.34,19,4.291368850451582,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,325,1.3,1740756302748000000,163,21190.0,2025-02-28,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,87.2,88.95,87.06,88.95,15,4.326130956710794,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,300,1.3,1740756302750000000,196,25480.0,2025-02-28,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,87.2,88.95,87.06,88.95,10,4.406199423663312,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00082500,BK,P,82.5,2025-03-21,209,0,316,1.25,1741108111733000000,153,19125.0,2025-03-04,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,87.44,87.87,84.3,85.54,20,4.2816014438256556,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00082500,BK,P,82.5,2025-03-21,209,0,316,1.25,1741108578601000000,184,23000.0,2025-03-04,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,87.44,87.87,84.3,85.54,12,4.361727836017593,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00084000,BK,P,84.0,2025-03-21,209,0,307,1.25,1741197133174000000,102,12750.0,2025-03-05,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.66,87.18,85.1836,86.56,28,4.105510184769974,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,316,1.6,1741186028798000000,124,19840.0,2025-03-05,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.66,87.18,85.1836,86.56,17,4.29754166781816,20,1,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,325,1.31,1741206913095000000,75,9825.0,2025-03-05,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.66,87.18,85.1836,86.56,45,3.992332559047464,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00085000,BK,P,85.0,2025-03-21,209,0,307,1.75,1741190631611000000,73,12775.0,2025-03-05,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.66,87.18,85.1836,86.56,27,4.10636090880675,20,2,1,1,1,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,6. p95_trade_value,16960.0,52140.0,O:BK250321P00080000,BK,P,80.0,2025-03-21,209,0,313,0.75,1741288863258000000,262,19650.0,2025-03-06,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.53,86.05,83.9705,84.69,18,4.293362554711446,20,1,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00080000,BK,P,80.0,2025-03-21,209,0,316,0.8,1741272167114000000,174,13920.000000000002,2025-03-06,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.53,86.05,83.9705,84.69,25,4.143639235274543,20,2,1,0,0,0
BK,Finance,Banks - Major Regional,25__0,25,0.0,7. p90_trade_value,9825.0,14850.0,O:BK250321P00080000,BK,P,80.0,2025-03-21,209,0,320,0.75,1741288863241000000,151,11325.0,2025-03-06,3000,30,True,Automatic Execution,Finance,Banks - Major Regional,85.53,86.05,83.9705,84.69,36,4.05403821068487,20,2,1,0,0,0
