security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
GEHC,Medical,Medical - Products,30__1,30,1.0,1. p999999_trade_value,775000.0,775000.0,O:GEHC250516C00067500,GEHC,C,67.5,2025-05-16,229,0,318,3.1,1745523683692000000,2500,775000.0,2025-04-24,3000,30,True,Single Leg Cross Non ISO,Medical,Medical - Products,65.04,67.39,64.77,67.08,1,5.889301702506311,20,1,1,1,1,0
INCY,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,1. p999999_trade_value,250000.0,250000.0,O:INCY250221P00072500,INCY,P,72.5,2025-02-21,234,0,301,2.5,1738340906268000000,1000,250000.0,2025-01-31,3000,30,True,Multi Leg Cross,Medical,Medical - Biomedical and Genetics,73.76,75.18,73.1,74.16,1,5.3979400086720375,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA240920P00011000,IOVA,P,11.0,2024-09-20,227,0,301,0.55,1724950683357000000,531,29205.0,2024-08-29,3000,30,True,Single Leg Auction Non ISO,Medical,Medical - Biomedical and Genetics,11.35,11.8243,11.32,11.38,30,4.465457210575713,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA240920P00011000,IOVA,P,11.0,2024-09-20,209,0,323,0.55,1724946205762000000,433,23815.0,2024-08-29,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,11.35,11.8243,11.32,11.38,43,4.37685058584761,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241018C00011000,IOVA,C,11.0,2024-10-18,209,0,308,0.55,1726843329445000000,493,27115.000000000004,2024-09-20,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,10.38,10.5,10.015,10.15,33,4.433209608771474,20,1,1,1,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241018C00011000,IOVA,C,11.0,2024-10-18,209,0,308,0.4,1727104677410000000,645,25800.0,2024-09-23,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,10.18,10.22,9.64,9.66,37,4.41161970596323,20,1,1,1,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241018C00011000,IOVA,C,11.0,2024-10-18,209,0,325,0.22,1727189718309000000,1983,43626.0,2024-09-24,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,9.66,9.74,9.33,9.34,14,4.639745395027509,20,1,1,1,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241018C00011000,IOVA,C,11.0,2024-10-18,209,0,325,0.23,1727194151877000000,995,22885.000000000004,2024-09-24,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,9.66,9.74,9.33,9.34,45,4.359550916763318,20,1,1,1,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241018C00011000,IOVA,C,11.0,2024-10-18,227,0,301,0.21,1727190476360000000,2489,52268.99999999999,2024-09-24,3000,30,True,Single Leg Auction Non ISO,Medical,Medical - Biomedical and Genetics,9.66,9.74,9.33,9.34,10,4.718244191342513,20,1,1,1,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,227,0,308,0.79,1729259587650000000,699,55221.0,2024-10-18,3000,30,True,Single Leg Auction Non ISO,Medical,Medical - Biomedical and Genetics,10.24,11.18,10.01,10.24,9,4.742104267036122,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,227,0,308,0.74,1729259530579000000,699,51726.0,2024-10-18,3000,30,True,Single Leg Auction Non ISO,Medical,Medical - Biomedical and Genetics,10.24,11.18,10.01,10.24,11,4.713708895476658,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,219,0,323,0.8,1729259587496000000,300,24000.0,2024-10-18,3000,30,True,Intermarket Sweep Order,Medical,Medical - Biomedical and Genetics,10.24,11.18,10.01,10.24,42,4.380211241711606,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00011000,IOVA,C,11.0,2024-11-15,232,0,303,0.81,1729525855490000000,375,30375.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,27,4.482516286606368,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00011000,IOVA,C,11.0,2024-11-15,232,0,308,0.81,1729525855491000000,325,26325.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,36,4.420368379857524,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00011000,IOVA,C,11.0,2024-11-15,232,0,313,0.8,1729525855489000000,523,41840.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,16,4.621591675859218,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115C00011000,IOVA,C,11.0,2024-11-15,232,0,322,0.8,1729525855695000000,732,58560.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,7,4.767601068050335,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115C00011000,IOVA,C,11.0,2024-11-15,232,0,322,0.82,1729525855590000000,698,57236.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,8,4.757669275006878,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,232,0,322,0.55,1729525855590000000,698,38390.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,20,4.584218112117405,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,232,0,313,0.53,1729525855489000000,523,27719.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,32,4.442777558468063,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,232,0,322,0.53,1729525855695000000,732,38796.0,2024-10-21,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,19,4.5887869506591805,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,219,0,323,0.65,1729524134800000000,560,36400.0,2024-10-21,3000,30,True,Intermarket Sweep Order,Medical,Medical - Biomedical and Genetics,10.15,10.18,9.7,9.92,22,4.561101383649056,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241101C00011500,IOVA,C,11.5,2024-11-01,232,0,304,0.45,1729867878248000000,537,24165.0,2024-10-25,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.63,11.135,10.541,10.67,41,4.383186799474899,20,1,0,0,0,1
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241101C00011500,IOVA,C,11.5,2024-11-01,232,0,322,0.45,1729867878237000000,600,27000.0,2024-10-25,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.63,11.135,10.541,10.67,35,4.431363764158987,20,1,0,0,0,1
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241101C00011500,IOVA,C,11.5,2024-11-01,209,0,325,0.38,1730126152946000000,998,37924.0,2024-10-28,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,10.85,11.208,10.7699,11.03,21,4.578914137904182,20,1,0,0,0,1
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,1. p999999_trade_value,388500.00000000006,388500.00000000006,O:IOVA241115C00011500,IOVA,C,11.5,2024-11-15,234,0,300,1.11,1730137059203000000,3500,388500.00000000006,2024-10-28,3000,30,True,Multi Leg Cross,Medical,Medical - Biomedical and Genetics,10.85,11.208,10.7699,11.03,1,5.589391023136933,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00013000,IOVA,C,13.0,2024-11-15,232,0,300,0.64,1730138940169000000,396,25344.0,2024-10-28,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.85,11.208,10.7699,11.03,38,4.4038751599094,20,1,0,0,0,1
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115C00014000,IOVA,C,14.0,2024-11-15,234,0,300,0.46,1730137059203000000,3500,161000.0,2024-10-28,3000,30,True,Multi Leg Cross,Medical,Medical - Biomedical and Genetics,10.85,11.208,10.7699,11.03,2,5.20682587603185,20,1,0,0,0,1
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115P00009000,IOVA,P,9.0,2024-11-15,234,0,300,0.35,1730137059203000000,3500,122500.0,2024-10-28,3000,30,True,Multi Leg Cross,Medical,Medical - Biomedical and Genetics,10.85,11.208,10.7699,11.03,4,5.088136088700551,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00011500,IOVA,C,11.5,2024-11-15,233,0,304,0.95,1730223329083000000,480,45600.0,2024-10-29,3000,30,True,Multi Leg Auction,Medical,Medical - Biomedical and Genetics,11.0,11.08,10.66,10.81,13,4.658964842664435,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115C00012000,IOVA,C,12.0,2024-11-15,232,0,308,0.67,1730387892889000000,600,40200.0,2024-10-31,3000,30,True,Multi Leg auto-electronic trade,Medical,Medical - Biomedical and Genetics,10.85,10.95,10.38,10.44,18,4.60422605308447,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115P00010500,IOVA,P,10.5,2024-11-15,209,0,325,0.82,1730731525469000000,500,41000.0,2024-11-04,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,11.32,11.47,10.85,11.44,17,4.6127838567197355,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115P00010500,IOVA,P,10.5,2024-11-15,209,0,318,0.8,1730731628457000000,306,24480.0,2024-11-04,3000,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,11.32,11.47,10.85,11.44,40,4.388811413473523,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241108C00012500,IOVA,C,12.5,2024-11-08,235,0,313,0.65,1730925825201000000,1000,65000.0,2024-11-06,3000,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,12.09,12.38,11.79,12.14,6,4.812913356642856,20,1,1,0,0,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115P00009000,IOVA,P,9.0,2024-11-15,231,0,323,0.15,1730926206818000000,2817,42255.0,2024-11-06,3000,30,True,Single Leg Floor Trade,Medical,Medical - Biomedical and Genetics,12.09,12.38,11.79,12.14,15,4.625878106041455,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,6. p95_trade_value,22750.0,51726.0,O:IOVA241115P00011000,IOVA,P,11.0,2024-11-15,235,0,313,0.5,1730925825202000000,1000,50000.0,2024-11-06,3000,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,12.09,12.38,11.79,12.14,12,4.698970004336019,20,1,1,1,1,0
IOVA,Medical,Medical - Biomedical and Genetics,30__2,30,2.0,5. p99_trade_value,52268.99999999999,161000.0,O:IOVA241115C00013000,IOVA,C,13.0,2024-11-15,235,0,301,0.72,1730993743264000000,1000,72000.0,2024-11-07,3000,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,12.22,12.505,12.1,12.28,5,4.857332496431268,20,1,0,0,0,1
