security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER240920C00095000,AER,C,95.0,2024-09-20,235,0,300,0.75,1726240756156000000,2000,150000.0,2024-09-13,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,92.94,94.01,92.665,93.82,5,5.176091259055681,20,1,1,1,1,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER241018C00100000,AER,C,100.0,2024-10-18,235,0,300,2.14,1726763677608000000,867,185538.0,2024-09-19,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,97.47,98.48,96.45,98.28,4,5.268432870825401,20,1,0,0,0,1
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER241018P00092500,AER,P,92.5,2024-10-18,241,0,323,1.05,1726851552034000000,1250,131250.0,2024-09-20,3000,30,True,Stock Options Cross,Transportation,Transportation - Equipment and Leasing,97.73,97.73,96.48,97.02,6,5.1180993120779945,20,1,1,0,0,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,5. p99_trade_value,225000.0,262500.0,O:AER241018P00092500,AER,P,92.5,2024-10-18,235,0,313,0.9,1727190819806000000,2500,225000.0,2024-09-24,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,97.01,97.5,95.54,96.13,3,5.352182518111363,20,1,1,0,0,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,5. p99_trade_value,225000.0,262500.0,O:AER241018P00095000,AER,P,95.0,2024-10-18,235,0,313,1.75,1727190819806000000,1500,262500.0,2024-09-24,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,97.01,97.5,95.54,96.13,2,5.419129307741976,20,1,1,0,0,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER241018C00100000,AER,C,100.0,2024-10-18,235,0,300,0.3,1727811563459000000,1071,32130.0,2024-10-01,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,94.65,95.02,92.7,93.63,12,4.506910725551518,20,1,0,0,0,1
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER250221C00100000,AER,C,100.0,2025-02-21,235,0,300,0.65,1739383749220000000,800,52000.0,2025-02-12,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,97.0,99.52,97.0,99.07,9,4.7160033436347994,20,1,1,1,1,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,1. p999999_trade_value,315000.0,315000.0,O:AER250321C00105000,AER,C,105.0,2025-03-21,235,0,301,2.1,1740423733431000000,1500,315000.0,2025-02-24,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,102.54,102.89,101.33,101.58,1,5.498310553789601,20,1,1,0,0,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER250321P00097500,AER,P,97.5,2025-03-21,227,0,308,1.51,1740423389774000000,250,37750.0,2025-02-24,3000,30,True,Single Leg Auction Non ISO,Transportation,Transportation - Equipment and Leasing,102.54,102.89,101.33,101.58,11,4.576916955965207,20,1,1,0,0,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER250516C00100000,AER,C,100.0,2025-05-16,235,0,323,3.1,1744917252679000000,225,69750.0,2025-04-17,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,94.99,98.86,94.65,97.35,7,4.843544211945635,20,1,1,1,1,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER250516C00100000,AER,C,100.0,2025-05-16,235,0,323,3.0,1744917252679000000,224,67200.0,2025-04-17,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Equipment and Leasing,94.99,98.86,94.65,97.35,8,4.827369273053825,20,1,1,1,1,0
AER,Transportation,Transportation - Equipment and Leasing,25__0,25,0.0,6. p95_trade_value,32130.0,185538.0,O:AER250516C00105000,AER,C,105.0,2025-05-16,231,0,301,1.05,1744905526991000000,375,39375.0,2025-04-17,3000,30,True,Single Leg Floor Trade,Transportation,Transportation - Equipment and Leasing,94.99,98.86,94.65,97.35,10,4.595220566797657,20,1,1,1,1,0
CHRW,Transportation,Transportation - Services,25__2,25,2.0,5. p99_trade_value,229860.0,245000.0,O:CHRW241018C00105000,CHRW,C,105.0,2024-10-18,227,0,308,1.8,1726860910574000000,1277,229860.0,2024-09-20,3000,30,True,Single Leg Auction Non ISO,Transportation,Transportation - Services,102.74,104.59,100.91,104.2,3,5.361463402366721,20,1,1,1,1,0
CHRW,Transportation,Transportation - Services,25__2,25,2.0,1. p999999_trade_value,825000.0,825000.0,O:CHRW241018C00110000,CHRW,C,110.0,2024-10-18,235,0,313,1.65,1727290644775000000,5000,825000.0,2024-09-25,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Services,108.87,109.24,107.48,108.02,1,5.9164539485499255,20,1,1,1,1,0
CHRW,Transportation,Transportation - Services,25__2,25,2.0,5. p99_trade_value,229860.0,245000.0,O:CHRW241018C00110000,CHRW,C,110.0,2024-10-18,235,0,313,0.49,1728063486726000000,5000,245000.0,2024-10-04,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Services,106.85,108.51,105.46,106.73,2,5.389166084364533,20,1,1,1,1,0
JBHT,Transportation,Transportation - Truck,25__2,25,2.0,1. p999999_trade_value,585000.0,585000.0,O:JBHT241018C00180000,JBHT,C,180.0,2024-10-18,235,0,313,3.9,1729003580433000000,1500,585000.0,2024-10-15,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Truck,175.5,178.85,174.37,174.65,1,5.76715586608218,20,1,1,0,0,0
NSC,Transportation,Transportation - Rail,25__0,25,0.0,1. p999999_trade_value,363599.99999999994,363599.99999999994,O:NSC250620C00250000,NSC,C,250.0,2025-06-20,235,0,300,3.03,1748357103368000000,1200,363599.99999999994,2025-05-27,3000,30,True,Multi Leg floor trade,Transportation,Transportation - Rail,242.65,245.57,241.12,244.79,1,5.56062387454993,20,1,1,0,0,0
ODFL,Transportation,Transportation - Truck,25__0,25,0.0,1. p999999_trade_value,400000.0,400000.0,O:ODFL240920C00200000,ODFL,C,200.0,2024-09-20,241,0,323,4.0,1725471603719000000,1000,400000.0,2024-09-04,3000,30,True,Stock Options Cross,Transportation,Transportation - Truck,198.14,199.4,194.3,195.64,1,5.6020599913279625,20,1,1,1,0,0
STNG,Transportation,Transportation - Shipping,25__0,25,0.0,1. p999999_trade_value,107084.99999999999,107084.99999999999,O:STNG241018P00067500,STNG,P,67.5,2024-10-18,209,0,308,1.65,1726851531705000000,649,107084.99999999999,2024-09-20,3000,30,True,Automatic Execution,Transportation,Transportation - Shipping,68.52,68.82,67.6743,68.26,1,5.029728641014276,20,1,1,1,1,0
