security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ACHR,Aerospace,Aerospace - Defense,0.55,7261.0,8. p75_trade_value,1222.0,4888,35__0,35,2,0.0,11700.0,16549.5,34716.48,86737.91,120027.83,137692.28,139458.73
AIR,Aerospace,Aerospace - Defense Equipment,0.55,5850.0,8. p75_trade_value,10.0,37,15__0,15,3,0.0,7231.6,9140.0,11371.2,12369.12,12468.91,12478.89,12479.89
ASLE,Aerospace,Aerospace - Defense Equipment,0.55,,,,5,5__0,5,3,0.0,6978.0,7129.0,7249.8,7276.98,7279.7,7279.97,7280.0
AVAV,Aerospace,Aerospace - Defense Equipment,0.55,115500.0,1. p999999_trade_value,1.0,758,30__2,30,2,2.0,12288.0,17983.0,52150.0,109822.5,114932.25,115443.23,115494.32
AXON,Aerospace,Aerospace - Defense Equipment,0.55,217500.0,4. p999_trade_value,6.0,5505,35__0,35,2,0.0,21057.6,33984.0,84790.08,208680.0,398941.28,406644.13,407414.41
BA,Aerospace,Aerospace - Defense,0.55,57000.0,5. p99_trade_value,675.0,67366,50__4,50,1,4.0,15098.0,23048.0,57000.0,211398.15,774151.86,996793.41,1063579.34
BWXT,Aerospace,Aerospace - Defense Equipment,0.55,995219.9999999999,1. p999999_trade_value,1.0,506,25__0,25,2,0.0,14265.0,25402.5,143548.0,704355.15,966133.52,992311.35,994929.14
CAE,Aerospace,Aerospace - Defense Equipment,0.55,4000.0,8. p75_trade_value,2.0,5,5__0,5,3,0.0,5002.0,5336.0,5603.2,5663.32,5669.33,5669.93,5669.99
CW,Aerospace,Aerospace - Defense Equipment,0.55,8910.0,8. p75_trade_value,41.0,157,20__0,20,2,0.0,16200.0,23205.0,32781.4,39097.5,39711.75,39773.18,39779.32
DCO,Aerospace,Aerospace - Defense Equipment,0.55,,,,4,5__3,5,3,3.0,14910.0,15855.0,16611.0,16781.1,16798.11,16799.81,16799.98
DRS,Aerospace,Aerospace - Defense Equipment,0.55,5800.0,8. p75_trade_value,2.0,8,10__0,10,3,0.0,6654.4,7651.2,8448.64,8628.06,8646.01,8647.8,8647.98
