security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,3,0.0,1. p999999_trade_value,9000.0,9000.0,O:MPAA250620C00012500,MPAA,C,12.5,2025-06-20,209,0,320,0.9,1749226410705000000,100,9000.0,2025-06-06,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,11.91,12.4,11.65,11.92,1,3.9542425094393248,20,1,1,0,0,0
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,3,0.0,8. p75_trade_value,7000.0,7000.0,O:MPAA250620C00012500,MPAA,C,12.5,2025-06-20,209,0,309,1.0,1749227718356000000,70,7000.0,2025-06-06,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,11.91,12.4,11.65,11.92,2,3.845098040014257,20,2,1,0,0,0
OSK,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,1. p999999_trade_value,208000.0,208000.0,O:OSK241018P00100000,OSK,P,100.0,2024-10-18,231,0,323,2.6,1726770283481000000,800,208000.0,2024-09-19,3000.0,30,True,Single Leg Floor Trade,Auto-Tires-Trucks,Automotive - Original Equipment,105.33,105.5,101.66,102.5,1,5.318063334962762,20,1,1,0,0,0
PLOW,Auto-Tires-Trucks,Automotive - Replacement Parts,0__2,0,3,2.0,1. p999999_trade_value,4450.0,4450.0,O:PLOW250516C00025000,PLOW,C,25.0,2025-05-16,209,0,325,0.89,1746459506174000000,50,4450.0,2025-05-05,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,24.27,24.7505,24.1239,24.39,1,3.6483600109809315,20,1,1,1,1,0
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,3,0.0,8. p75_trade_value,8000.0,8000.0,O:SUP250516P00002500,SUP,P,2.5,2025-05-16,209,0,325,0.2,1746714222017000000,400,8000.0,2025-05-08,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,2.75,2.96,2.75,2.87,2,3.9030899869919438,20,2,1,1,1,0
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,3,0.0,1. p999999_trade_value,20000.0,20000.0,O:SUP250516P00002500,SUP,P,2.5,2025-05-16,209,0,303,0.2,1746732473563000000,1000,20000.0,2025-05-08,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,2.75,2.96,2.75,2.87,1,4.301029995663981,20,1,1,1,1,0
XPEL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,3,0.0,1. p999999_trade_value,13860.0,13860.0,O:XPEL250516P00025000,XPEL,P,25.0,2025-05-16,227,0,300,1.98,1744902009922000000,70,13860.0,2025-04-17,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,25.86,26.3,25.71,25.84,1,4.141763230275788,20,2,1,0,0,0
XPEL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,3,0.0,1. p999999_trade_value,13860.0,13860.0,O:XPEL250516P00025000,XPEL,P,25.0,2025-05-16,227,0,300,1.98,1744902009922000000,70,13860.0,2025-04-17,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,25.86,26.3,25.71,25.84,2,4.141763230275788,20,1,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,12300.0,19422.0,O:AEVA250620C00015000,AEVA,C,15.0,2025-06-20,209,0,302,1.4,1747857528643000000,93,13019.999999999998,2025-05-21,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,14.84,14.9584,13.84,14.2,8,4.114610984232173,20,4,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,12300.0,19422.0,O:AEVA250620C00015000,AEVA,C,15.0,2025-06-20,209,0,323,1.4,1747857528643000000,96,13439.999999999998,2025-05-21,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,14.84,14.9584,13.84,14.2,7,4.128399268717806,20,4,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,12300.0,19422.0,O:AEVA250620C00015000,AEVA,C,15.0,2025-06-20,209,0,304,1.4,1747857528643000000,97,13579.999999999998,2025-05-21,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,14.84,14.9584,13.84,14.2,6,4.1328997699444825,20,3,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,12300.0,19422.0,O:AEVA250620C00020000,AEVA,C,20.0,2025-06-20,227,0,312,0.78,1748874016462000000,249,19422.0,2025-06-02,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,17.99,18.0,16.6,17.32,5,4.288293949786217,20,3,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,7. p90_trade_value,19500.0,50500.0,O:AEVA250620C00020000,AEVA,C,20.0,2025-06-20,227,0,312,0.78,1748874016462000000,250,19500.0,2025-06-02,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,17.99,18.0,16.6,17.32,4,4.290034611362518,20,2,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,7. p90_trade_value,19500.0,50500.0,O:AEVA250620C00020000,AEVA,C,20.0,2025-06-20,209,0,308,1.0,1748959438299000000,505,50500.0,2025-06-03,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,17.535,19.78,16.965,19.71,3,4.703291378118661,20,2,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,12300.0,19422.0,O:AEVA250620C00022500,AEVA,C,22.5,2025-06-20,227,0,323,1.23,1749136862241000000,100,12300.0,2025-06-05,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,20.81,20.99,18.75,19.05,9,4.089905111439398,20,5,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,6. p95_trade_value,65000.0,65000.0,O:AEVA250620C00022500,AEVA,C,22.5,2025-06-20,209,0,320,1.3,1749134669742000000,500,65000.0,2025-06-05,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,20.81,20.99,18.75,19.05,2,4.812913356642856,20,1,1,0,0,0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,1. p999999_trade_value,69859.99999999999,69859.99999999999,O:AEVA250620C00022500,AEVA,C,22.5,2025-06-20,209,0,320,1.4,1749479080290000000,499,69859.99999999999,2025-06-09,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.46,21.85,20.6341,21.78,1,4.8442285813016275,20,1,1,0,0,0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,1. p999999_trade_value,60000.0,60000.0,O:ALSN241018C00100000,ALSN,C,100.0,2024-10-18,229,0,302,0.6,1727366481233000000,1000,60000.0,2024-09-26,3000.0,30,True,Single Leg Cross Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,94.22,96.38,94.195,95.89,1,4.778151250383644,20,1,1,1,1,0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,7. p90_trade_value,28500.0,28500.0,O:ALSN241220C00120000,ALSN,C,120.0,2024-12-20,209,0,313,2.85,1732211114588000000,100,28500.0,2024-11-21,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,116.68,119.19,115.5501,118.11,3,4.45484486000851,20,2,1,0,0,0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,6. p95_trade_value,42000.0,42000.0,O:ALSN250221P00105000,ALSN,P,105.0,2025-02-21,235,0,301,1.4,1737577906104000000,300,42000.0,2025-01-22,3000.0,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,120.63,120.9299,118.91,120.11,2,4.623249290397901,20,1,1,1,1,0
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,1. p999999_trade_value,15000.0,15000.0,O:CYD250321P00017500,CYD,P,17.5,2025-03-21,231,0,301,1.5,1740671221668000000,100,15000.0,2025-02-27,3000.0,30,True,Single Leg Floor Trade,Auto-Tires-Trucks,Automotive - Original Equipment,21.25,22.37,17.69,21.5,1,4.176091259055681,20,1,1,0,0,0
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,3,0.0,8. p75_trade_value,30000.0,30000.0,O:DORM250321P00125000,DORM,P,125.0,2025-03-21,227,0,302,3.0,1741791052456000000,100,30000.0,2025-03-12,3000.0,30,True,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Replacement Parts,126.99,127.53,125.01,126.82,2,4.477121254719663,20,2,1,1,0,0
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,3,0.0,1. p999999_trade_value,35000.0,35000.0,O:DORM250516C00115000,DORM,C,115.0,2025-05-16,209,0,308,3.5,1744815830274000000,100,35000.0,2025-04-16,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,111.47,112.35,109.7325,111.67,1,4.544068044350276,20,1,1,1,1,0
FOXF,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,3,0.0,1. p999999_trade_value,55000.0,55000.0,O:FOXF250516C00022500,FOXF,C,22.5,2025-05-16,209,0,313,1.1,1746719601347000000,500,55000.0,2025-05-08,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,20.55,21.55,20.38,21.35,1,4.740362689494244,20,1,1,1,1,0
HMC,Auto-Tires-Trucks,Automotive - Foreign,15__0,15,3,0.0,1. p999999_trade_value,20460.0,20460.0,O:HMC250321C00027500,HMC,C,27.5,2025-03-21,209,0,318,0.6,1740412739742000000,341,20460.0,2025-02-24,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Foreign,27.28,27.285,26.9134,27.05,1,4.310905629376141,20,1,1,1,1,0
KAR,Auto-Tires-Trucks,Automotive - Original Equipment,0__2,0,3,2.0,1. p999999_trade_value,3900.0,3900.0,O:KAR250516C00020000,KAR,C,20.0,2025-05-16,219,0,320,0.65,1746641172181000000,60,3900.0,2025-05-07,3000.0,30,True,Intermarket Sweep Order,Auto-Tires-Trucks,Automotive - Original Equipment,19.5,19.75,19.015,19.17,1,3.591064607026499,20,1,1,1,1,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,1. p999999_trade_value,44000.00000000001,44000.00000000001,O:LCII241115P00115000,LCII,P,115.0,2024-11-15,209,0,313,2.2,1730924169163000000,200,44000.00000000001,2024-11-06,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,119.97,122.35,119.16,119.75,1,4.643452676486188,20,1,1,1,1,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,6900.0,7750.0,O:LCII250117P00100000,LCII,P,100.0,2025-01-17,209,0,316,2.3,1734639140726000000,32,7359.999999999999,2024-12-19,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,106.88,107.815,104.88,105.13,5,3.866877814337499,20,3,1,0,0,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,6900.0,7750.0,O:LCII250117C00105000,LCII,C,105.0,2025-01-17,209,0,316,2.5,1735668582431000000,31,7750.0,2024-12-31,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,101.66,104.22,101.66,103.39,4,3.88930170250631,20,2,1,1,1,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,7. p90_trade_value,9200.0,9200.0,O:LCII250117P00100000,LCII,P,100.0,2025-01-17,235,0,301,2.3,1735841170259000000,40,9200.0,2025-01-02,3000.0,30,True,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,103.82,104.667,101.335,101.62,3,3.963787827345555,20,2,1,0,0,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,8. p75_trade_value,6900.0,7750.0,O:LCII250117P00100000,LCII,P,100.0,2025-01-17,233,0,323,1.38,1736262221077000000,50,6900.0,2025-01-07,3000.0,30,True,Multi Leg Auction,Auto-Tires-Trucks,Automotive - Original Equipment,104.07,104.715,101.28,102.31,6,3.838849090737255,20,4,1,0,0,0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,3,0.0,6. p95_trade_value,25000.0,25000.0,O:LCII250417C00090000,LCII,C,90.0,2025-04-17,209,0,315,2.5,1742407073509000000,100,25000.0,2025-03-19,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,88.24,89.125,86.23,88.25,2,4.3979400086720375,20,1,1,0,0,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,3,0.0,7. p90_trade_value,9300.0,9300.0,O:LVWR241115P00006000,LVWR,P,6.0,2024-11-15,209,0,320,1.0,1729263786347000000,93,9300.0,2024-10-18,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,6.46,6.58,6.29,6.37,2,3.9684829485539352,20,2,1,1,1,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,3,0.0,8. p75_trade_value,6964.999999999999,6964.999999999999,O:LVWR250620P00003000,LVWR,P,3.0,2025-06-20,209,0,316,0.35,1748460281569000000,199,6964.999999999999,2025-05-28,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,3.7,4.67,3.05,3.97,3,3.842921120759982,20,3,1,0,0,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,3,0.0,1. p999999_trade_value,9600.0,9600.0,O:LVWR250620P00003000,LVWR,P,3.0,2025-06-20,209,0,308,0.6,1748439867700000000,160,9600.0,2025-05-28,3000.0,30,True,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,3.7,4.67,3.05,3.97,1,3.9822712330395684,20,1,1,0,0,0
