security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AEM,Basic Materials,Mining - Gold,0.55,363000.0,4. p999_trade_value,2.0,1875,35__2,35,2,2.0,13500.0,20763.0,77561.3,320174.0,1676893.75,1949600.28,1976870.93
AG,Basic Materials,Mining - Silver,0.55,,,,295,25__0,25,2,0.0,12108.0,15060.0,33233.88,47294.2,47479.42,47497.94,47499.79
AGI,Basic Materials,Mining - Gold,0.55,6840.000000000001,8. p75_trade_value,39.0,152,20__0,20,2,0.0,12270.0,14490.0,24725.0,35245.61,36725.56,36873.56,36888.36
AMR,Basic Materials,Mining - Miscellaneous,0.55,36000.0,1. p999999_trade_value,1.0,391,25__0,25,2,0.0,11600.0,15000.0,29001.6,35415.0,35941.5,35994.15,35999.41
AU,Basic Materials,Mining - Gold,0.55,9071.0,8. p75_trade_value,67.0,266,25__0,25,2,0.0,21855.0,36187.5,100803.25,183330.0,201933.0,203793.3,203979.33
B,Basic Materials,Mining - Gold,0.55,27500.0,1. p999999_trade_value,1.0,140,20__0,20,2,0.0,13452.9,18644.7,26352.81,27347.1,27484.71,27498.47,27499.85
BHP,Basic Materials,Mining - Miscellaneous,0.55,,,,369,25__0,25,2,0.0,13968.0,20016.0,44204.16,104846.72,107234.67,107473.47,107497.35
CCJ,Basic Materials,Mining - Miscellaneous,0.55,,,,6485,40__2,40,2,2.0,18750.0,35370.0,201708.48,651233.28,1720142.55,1985935.45,2012514.75
FCX,Basic Materials,Mining - Non Ferrous,0.55,,,,6593,40__0,40,2,0.0,16295.0,26610.0,89705.68,334080.0,842201.6,858220.16,859822.02
FNV,Basic Materials,Mining - Gold,0.55,,,,174,20__0,20,2,0.0,11382.0,15370.0,21566.96,26862.82,27633.38,27710.44,27718.14
GFI,Basic Materials,Mining - Gold,0.55,74000.0,5. p99_trade_value,2.0,112,20__0,20,2,0.0,31078.8,43226.25,73560.0,84756.9,85965.69,86086.57,86098.66
GSM,Basic Materials,Mining - Miscellaneous,0.55,,,,79,20__0,20,2,0.0,11631.0,15334.5,38146.2,63214.62,65721.46,65972.15,65997.21
HL,Basic Materials,Mining - Silver,0.55,92000.0,1. p999999_trade_value,1.0,140,20__0,20,2,0.0,12698.5,16810.0,30131.51,83660.0,91166.0,91916.6,91991.66
HMY,Basic Materials,Mining - Gold,0.55,10950.0,8. p75_trade_value,25.0,98,20__0,20,2,0.0,22116.0,39092.5,102044.28,128824.43,131502.44,131770.24,131797.02
KGC,Basic Materials,Mining - Gold,0.55,,,,176,20__0,20,2,0.0,15750.0,34813.0,80610.75,110917.5,114051.75,114365.18,114396.52
LEU,Basic Materials,Mining - Non Ferrous,0.55,7840.000000000001,8. p75_trade_value,594.0,2373,35__0,35,2,0.0,13672.0,21110.0,64164.8,110265.93,208427.06,229642.71,231764.27
MP,Basic Materials,Mining - Miscellaneous,0.55,427760.00000000006,1. p999999_trade_value,1.0,1248,30__2,30,2,2.0,13500.0,23519.5,109135.14,286760.8,411828.33,426166.83,427600.68
NEM,Basic Materials,Mining - Gold,0.55,,,,4808,35__0,35,2,0.0,15364.5,22587.7,72279.0,291081.76,660193.0,664519.3,664951.93
NXE,Basic Materials,Mining - Miscellaneous,0.55,860000.0,1. p999999_trade_value,1.0,189,25__2,25,2,2.0,23016.0,63236.0,180000.0,773520.0,851352.0,859135.2,859913.52
PAAS,Basic Materials,Mining - Silver,0.55,,,,377,25__0,25,2,0.0,15267.0,22520.0,36600.0,169741.54,237240.15,243990.02,244665.0
PLL,Basic Materials,Mining - Miscellaneous,0.55,,,,78,20__0,20,2,0.0,17756.2,25750.0,54328.51,101408.85,106116.89,106587.69,106634.77
RGLD,Basic Materials,Mining - Gold,0.55,22080.0,7. p90_trade_value,22.0,218,25__0,25,2,0.0,22024.0,46386.3,149642.7,204590.0,204590.0,204590.0,204590.0
RIO,Basic Materials,Mining - Miscellaneous,0.55,9600.0,8. p75_trade_value,170.0,680,30__2,30,2,2.0,17617.5,28361.25,68069.55,159630.0,177963.0,179796.3,179979.63
RS,Basic Materials,Mining - Miscellaneous,0.55,97049.0,6. p95_trade_value,4.0,63,20__3,20,2,3.0,43279.8,95055.3,157216.56,192042.46,195525.05,195873.3,195908.13
SCCO,Basic Materials,Mining - Non Ferrous,0.55,287500.0,1. p999999_trade_value,1.0,302,25__0,25,2,0.0,18162.6,33892.1,87467.8,232567.5,282006.75,286950.68,287445.07
TECK,Basic Materials,Mining - Miscellaneous,0.55,335500.0,1. p999999_trade_value,1.0,1222,30__0,30,2,0.0,21249.3,61467.75,120606.85,173273.85,315777.19,333527.72,335302.77
TMC,Basic Materials,Mining - Miscellaneous,0.55,,,,252,25__0,25,2,0.0,13074.6,20365.2,52924.5,63534.14,63953.41,63995.34,63999.53
UEC,Basic Materials,Mining - Miscellaneous,0.55,245400.0,1. p999999_trade_value,1.0,195,25__2,25,2,2.0,30000.0,70600.0,141454.0,237252.0,244585.2,245318.52,245391.85
USAR,Basic Materials,Mining - Miscellaneous,0.55,,,,414,25__0,25,2,0.0,13194.0,17597.3,38061.0,47254.22,51010.62,51386.26,51423.83
UUUU,Basic Materials,Mining - Non Ferrous,0.55,,,,220,25__0,25,2,0.0,15654.0,22014.5,82290.0,88876.88,89855.29,89953.13,89962.91
VALE,Basic Materials,Mining - Iron,0.55,10241.0,8. p75_trade_value,159.0,635,30__2,30,2,2.0,16873.4,28572.0,61650.0,329631.66,348863.17,350786.32,350978.63
WPM,Basic Materials,Mining - Miscellaneous,0.55,100992.0,1. p999999_trade_value,1.0,408,25__0,25,2,0.0,12037.8,19000.0,30205.7,100588.26,100951.63,100987.96,100991.6
