security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CLF,Basic Materials,Steel - Producers,35__0,35,0.0,1. p999999_trade_value,266000.0,266000.0,O:CLF250228C00010500,CLF,C,10.5,2025-02-28,235,0,323,0.38,1738610959464000000,7000,266000.0,2025-02-03,3000.0,30,True,Multi Leg floor trade,Basic Materials,Steel - Producers,9.85,10.21,9.53,9.74,1,5.424881636631067,20,1,1,1,1,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE240920P00135000,NUE,P,135.0,2024-09-20,234,0,300,2.09,1725557739188000000,1500,313500.0,2024-09-05,3000.0,30,True,Multi Leg Cross,Basic Materials,Steel - Producers,142.39,142.81,138.64,139.6,13,5.496237545166736,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241025C00165000,NUE,C,165.0,2024-10-25,233,0,308,0.86,1728935317023000000,1512,130032.0,2024-10-14,3000.0,30,True,Multi Leg Auction,Basic Materials,Steel - Producers,151.02,153.03,149.95,152.84,28,5.114050242408755,20,1,0,0,0,1
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,4. p999_trade_value,539000.0,547440.0,O:NUE241115P00150000,NUE,P,150.0,2024-11-15,235,0,301,4.9,1729091447532000000,1100,539000.0,2024-10-16,3000.0,30,True,Multi Leg floor trade,Basic Materials,Steel - Producers,152.33,154.39,152.33,154.27,3,5.731588765186738,20,1,1,1,1,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00160000,NUE,C,160.0,2024-11-15,227,0,308,5.7,1729281049509000000,643,366510.0,2024-10-18,3000.0,30,True,Single Leg Auction Non ISO,Basic Materials,Steel - Producers,159.17,159.49,157.12,158.24,9,5.564085828596713,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00165000,NUE,C,165.0,2024-11-15,231,0,323,0.55,1729610759391000000,3500,192500.00000000003,2024-10-22,3000.0,30,True,Single Leg Floor Trade,Basic Materials,Steel - Producers,153.43,153.85,142.8,146.02,21,5.28443073384452,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,1. p999999_trade_value,626000.0,626000.0,O:NUE241115C00150000,NUE,C,150.0,2024-11-15,235,0,300,3.13,1730747694198000000,2000,626000.0,2024-11-04,3000.0,30,True,Multi Leg floor trade,Basic Materials,Steel - Producers,143.17,145.195,142.09,142.6,1,5.79657433321043,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00150000,NUE,C,150.0,2024-11-15,232,0,312,3.06,1730747502577000000,800,244800.0,2024-11-04,3000.0,30,True,Multi Leg auto-electronic trade,Basic Materials,Steel - Producers,143.17,145.195,142.09,142.6,17,5.388811413473523,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00150000,NUE,C,150.0,2024-11-15,232,0,312,3.0,1730747489249000000,1567,470100.0,2024-11-04,3000.0,30,True,Multi Leg auto-electronic trade,Basic Materials,Steel - Producers,143.17,145.195,142.09,142.6,4,5.672190251188253,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00160000,NUE,C,160.0,2024-11-15,232,0,312,0.85,1730747489249000000,1567,133195.0,2024-11-04,3000.0,30,True,Multi Leg auto-electronic trade,Basic Materials,Steel - Producers,143.17,145.195,142.09,142.6,27,5.124487922182883,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE241115C00160000,NUE,C,160.0,2024-11-15,235,0,300,0.91,1730747694199000000,2000,182000.0,2024-11-04,3000.0,30,True,Multi Leg floor trade,Basic Materials,Steel - Producers,143.17,145.195,142.09,142.6,22,5.260071387985075,20,1,1,0,0,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE250221C00130000,NUE,C,130.0,2025-02-21,209,0,313,2.6,1737999459321000000,1661,431860.00000000006,2025-01-27,3000.0,30,True,Automatic Execution,Basic Materials,Steel - Producers,122.69,123.27,121.16,121.97,5,5.635342980422212,20,1,1,1,1,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,4. p999_trade_value,539000.0,547440.0,O:NUE250221C00130000,NUE,C,130.0,2025-02-21,231,0,323,2.4,1737997975990000000,2281,547440.0,2025-01-27,3000.0,30,True,Single Leg Floor Trade,Basic Materials,Steel - Producers,122.69,123.27,121.16,121.97,2,5.738336526988254,20,1,1,1,1,0
NUE,Basic Materials,Steel - Producers,35__2,35,2.0,5. p99_trade_value,125000.0,470100.0,O:NUE250221C00130000,NUE,C,130.0,2025-02-21,209,0,308,3.5,1738093713933000000,1137,397950.0,2025-01-28,3000.0,30,True,Automatic Execution,Basic Materials,Steel - Producers,121.97,127.79,119.3,126.55,6,5.59982850903801,20,1,1,1,1,0
