security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CMPO,Business Services,Financial Transaction Services,0.55,,,,42,15__1,15,3,1.0,14170.0,14342.9,291838.32,463883.83,481088.38,482808.84,482980.88
CTLP,Business Services,Financial Transaction Services,0.55,,,,4,5__0,5,3,0.0,3866.5,3933.25,3986.65,3998.67,3999.87,3999.99,4000.0
EVTC,Business Services,Financial Transaction Services,0.55,4000.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
EXFY,Business Services,Financial Transaction Services,0.55,,,,1,0__2,0,3,2.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0
FCFS,Business Services,Financial Transaction Services,0.55,4160.0,8. p75_trade_value,2.0,5,5__0,5,3,0.0,6512.0,7296.0,7923.2,8064.32,8078.43,8079.84,8079.98
IMXI,Business Services,Financial Transaction Services,0.55,,,,2,5__1,5,3,1.0,46125.0,48062.5,49612.5,49961.25,49996.13,49999.61,49999.96
KSPI,Business Services,Financial Transaction Services,0.55,,,,31,15__0,15,3,0.0,28980.0,48970.0,72327.0,77081.7,77557.17,77604.72,77609.47
PAGS,Business Services,Financial Transaction Services,0.55,112500.0,1. p999999_trade_value,1.0,40,15__0,15,3,0.0,24013.2,33165.65,86936.67,109943.67,112244.37,112474.44,112497.44
PAR,Business Services,Financial Transaction Services,0.55,66250.0,6. p95_trade_value,2.0,33,15__0,15,3,0.0,31740.0,51082.0,67253.0,67677.8,67720.28,67724.53,67724.95
PAYO,Business Services,Financial Transaction Services,0.55,13888.0,8. p75_trade_value,3.0,10,10__0,10,3,0.0,16543.9,20255.95,23225.59,23893.76,23960.58,23967.26,23967.93
PSFE,Business Services,Financial Transaction Services,0.55,64000.0,1. p999999_trade_value,1.0,18,15__0,15,3,0.0,24066.0,39112.0,59022.4,63502.24,63950.22,63995.02,63999.5
WU,Business Services,Financial Transaction Services,0.55,,,,40,15__0,15,3,0.0,22050.0,24087.25,43689.8,49368.98,49936.9,49993.69,49999.37
