security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AISP,Business Services,Technology Services,20__0,20,2,0.0,1. p999999_trade_value,21560.000000000004,21560.000000000004,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AISP,Business Services,Technology Services,20__0,20,2,0.0,6. p95_trade_value,19230.0,12440.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,1.0,5.0,0.2
AISP,Business Services,Technology Services,20__0,20,2,0.0,7. p90_trade_value,10725.000000000002,8800.0,4.0,5.0,0.8,0.55,2. BELOW BASELINE,5.0,10.0,0.5
AISP,Business Services,Technology Services,20__0,20,2,0.0,8. p75_trade_value,8575.0,5700.0,8.0,13.0,0.6153846153846154,0.55,2. BELOW BASELINE,13.0,23.0,0.5652173913043478
ARBE,Business Services,Technology Services,20__0,20,2,0.0,1. p999999_trade_value,19500.0,19500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ARBE,Business Services,Technology Services,20__0,20,2,0.0,5. p99_trade_value,18700.0,18700.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ARBE,Business Services,Technology Services,20__0,20,2,0.0,6. p95_trade_value,17940.0,13439.999999999998,5.0,5.0,1.0,0.55,1. ABOVE BASELINE,7.0,7.0,1.0
ARBE,Business Services,Technology Services,20__0,20,2,0.0,7. p90_trade_value,12975.0,9870.0,4.0,6.0,0.6666666666666666,0.55,1. ABOVE BASELINE,11.0,13.0,0.8461538461538461
ARBE,Business Services,Technology Services,20__0,20,2,0.0,8. p75_trade_value,9869.999999999998,6937.0,16.0,20.0,0.8,0.55,1. ABOVE BASELINE,27.0,33.0,0.8181818181818182
AUR,Business Services,Technology Services,30__2,30,2,2.0,1. p999999_trade_value,348161.0,348161.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AUR,Business Services,Technology Services,30__2,30,2,2.0,5. p99_trade_value,95000.0,55000.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,7.0,0.2857142857142857
AUR,Business Services,Technology Services,30__2,30,2,2.0,6. p95_trade_value,47760.0,19305.0,12.0,24.0,0.5,0.55,2. BELOW BASELINE,14.0,31.0,0.45161290322580644
AUR,Business Services,Technology Services,30__2,30,2,2.0,7. p90_trade_value,19214.0,13500.0,16.0,30.0,0.5333333333333333,0.55,2. BELOW BASELINE,30.0,61.0,0.4918032786885246
AUR,Business Services,Technology Services,30__2,30,2,2.0,8. p75_trade_value,13440.0,7500.0,46.0,93.0,0.4946236559139785,0.55,2. BELOW BASELINE,76.0,154.0,0.4935064935064935
AYI,Business Services,Technology Services,25__2,25,2,2.0,1. p999999_trade_value,872340.0000000001,872340.0000000001,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
AYI,Business Services,Technology Services,25__2,25,2,2.0,5. p99_trade_value,651000.0000000001,651000.0000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
AYI,Business Services,Technology Services,25__2,25,2,2.0,6. p95_trade_value,227150.0,28400.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,4.0,11.0,0.36363636363636365
AYI,Business Services,Technology Services,25__2,25,2,2.0,7. p90_trade_value,27089.999999999996,16020.000000000002,1.0,11.0,0.09090909090909091,0.55,2. BELOW BASELINE,5.0,22.0,0.22727272727272727
AYI,Business Services,Technology Services,25__2,25,2,2.0,8. p75_trade_value,15900.0,9569.999999999998,7.0,32.0,0.21875,0.55,2. BELOW BASELINE,12.0,54.0,0.2222222222222222
BITF,Business Services,Technology Services,20__0,20,2,0.0,1. p999999_trade_value,20000.0,20000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BITF,Business Services,Technology Services,20__0,20,2,0.0,6. p95_trade_value,18110.000000000004,15000.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,2.0,5.0,0.4
BITF,Business Services,Technology Services,20__0,20,2,0.0,7. p90_trade_value,13390.0,11310.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,3.0,9.0,0.3333333333333333
BITF,Business Services,Technology Services,20__0,20,2,0.0,8. p75_trade_value,11170.0,7830.000000000001,11.0,13.0,0.8461538461538461,0.55,2. BELOW BASELINE,14.0,22.0,0.6363636363636364
BKSY,Business Services,Technology Services,20__0,20,2,0.0,1. p999999_trade_value,90740.0,90740.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BKSY,Business Services,Technology Services,20__0,20,2,0.0,5. p99_trade_value,80000.0,80000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
BKSY,Business Services,Technology Services,20__0,20,2,0.0,6. p95_trade_value,75000.0,28665.000000000004,4.0,7.0,0.5714285714285714,0.55,2. BELOW BASELINE,4.0,9.0,0.4444444444444444
BKSY,Business Services,Technology Services,20__0,20,2,0.0,7. p90_trade_value,28070.0,17380.0,6.0,9.0,0.6666666666666666,0.55,2. BELOW BASELINE,10.0,18.0,0.5555555555555556
BKSY,Business Services,Technology Services,20__0,20,2,0.0,8. p75_trade_value,17160.000000000004,10020.0,12.0,26.0,0.46153846153846156,0.55,2. BELOW BASELINE,22.0,44.0,0.5
BTBT,Business Services,Technology Services,25__0,25,2,0.0,1. p999999_trade_value,64750.0,64750.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BTBT,Business Services,Technology Services,25__0,25,2,0.0,5. p99_trade_value,56000.0,52500.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
BTBT,Business Services,Technology Services,25__0,25,2,0.0,6. p95_trade_value,33345.0,14875.0,8.0,11.0,0.7272727272727273,0.55,2. BELOW BASELINE,10.0,14.0,0.7142857142857143
BTBT,Business Services,Technology Services,25__0,25,2,0.0,7. p90_trade_value,14575.0,10250.0,11.0,15.0,0.7333333333333333,0.55,2. BELOW BASELINE,21.0,29.0,0.7241379310344828
BTBT,Business Services,Technology Services,25__0,25,2,0.0,8. p75_trade_value,10000.0,7164.0,24.0,39.0,0.6153846153846154,0.55,2. BELOW BASELINE,45.0,68.0,0.6617647058823529
BTDR,Business Services,Technology Services,30__2,30,2,2.0,1. p999999_trade_value,359904.0,359904.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BTDR,Business Services,Technology Services,30__2,30,2,2.0,4. p999_trade_value,267914.0,267914.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
BTDR,Business Services,Technology Services,30__2,30,2,2.0,5. p99_trade_value,162336.0,71730.0,12.0,15.0,0.8,0.55,1. ABOVE BASELINE,14.0,17.0,0.8235294117647058
