security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MITK,Computer and Technology,Computer - Optical Imaging,10__0,10,3,0.0,1. p999999_trade_value,14954.999999999998,14954.999999999998,O:MITK241220C00010000,MITK,C,10.0,2024-12-20,209,0,316,0.15,1734102864982000000,997,14954.999999999998,2024-12-13,3000.0,30,True,Automatic Execution,Computer and Technology,Computer - Optical Imaging,8.92,8.94,8.58,8.78,1,4.174786417367337,20,1,1,1,1,0
ACIW,Computer and Technology,Computer - Software,5__0,5,3,0.0,1. p999999_trade_value,5216.0,5216.0,O:ACIW241115C00050000,ACIW,C,50.0,2024-11-15,227,0,301,3.26,1729609626587000000,16,5216.0,2024-10-22,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,48.96,49.48,48.7114,48.91,1,3.717337582723864,20,1,1,1,1,0
BLKB,Computer and Technology,Computer - Software,10__0,10,3,0.0,1. p999999_trade_value,7600.0,7600.0,O:BLKB250117P00075000,BLKB,P,75.0,2025-01-17,209,0,308,3.8,1734978860057000000,20,7600.0,2024-12-23,3000.0,30,True,Automatic Execution,Computer and Technology,Computer - Software,75.9,76.2,75.06,75.71,2,3.8808135922807914,20,2,1,0,0,0
BLKB,Computer and Technology,Computer - Software,10__0,10,3,0.0,1. p999999_trade_value,7600.0,7600.0,O:BLKB250117P00075000,BLKB,P,75.0,2025-01-17,209,0,308,3.8,1734978860057000000,20,7600.0,2024-12-23,3000.0,30,True,Automatic Execution,Computer and Technology,Computer - Software,75.9,76.2,75.06,75.71,1,3.8808135922807914,20,1,1,0,0,0
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,1. p999999_trade_value,30070.0,30070.0,O:DSGX241220P00115000,DSGX,P,115.0,2024-12-20,227,0,301,3.1,1733258839712000000,97,30070.0,2024-12-03,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,116.0,116.23,115.3775,116.02,1,4.478133428100517,20,1,1,1,1,0
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,6. p95_trade_value,26100.0,26100.0,O:DSGX241220P00115000,DSGX,P,115.0,2024-12-20,209,0,308,2.9,1733243257706000000,90,26100.0,2024-12-03,3000.0,30,True,Automatic Execution,Computer and Technology,Computer - Software,116.0,116.23,115.3775,116.02,2,4.416640507338281,20,1,1,1,1,0
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,8. p75_trade_value,7103.999999999999,9196.0,O:DSGX250117C00120000,DSGX,C,120.0,2025-01-17,227,0,323,0.7,1735243926152000000,118,8260.0,2024-12-26,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,115.46,115.46,114.45,114.995,5,3.9169800473203824,20,3,0,0,0,1
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,7. p90_trade_value,15741.0,15741.0,O:DSGX250321P00105000,DSGX,P,105.0,2025-03-21,227,0,323,1.59,1740409253994000000,99,15741.0,2025-02-24,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,112.24,113.565,109.06,110.83,3,4.197032318918001,20,2,1,1,1,0
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,8. p75_trade_value,7103.999999999999,9196.0,O:DSGX250417C00105000,DSGX,C,105.0,2025-04-17,235,0,301,1.21,1742396666666000000,76,9196.0,2025-03-19,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Computer - Software,99.15,100.655,99.15,100.07,4,3.9635989625972416,20,2,1,0,0,0
DSGX,Computer and Technology,Computer - Software,15__0,15,3,0.0,8. p75_trade_value,7103.999999999999,9196.0,O:DSGX250417C00100000,DSGX,C,100.0,2025-04-17,227,0,323,1.48,1743789348685000000,48,7103.999999999999,2025-04-04,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Computer - Software,98.13,98.355,94.21,95.84,6,3.8515029527705447,20,3,1,1,1,0
