security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,1. p999999_trade_value,30000.0,30000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,7. p90_trade_value,22500.0,22500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,8. p75_trade_value,20000.0,20000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BZUN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,1. p999999_trade_value,24350.0,24350.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BZUN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,8. p75_trade_value,12194.999999999998,12194.999999999998,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
DAVA,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,1. p999999_trade_value,23950.0,23950.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
DAVA,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,6. p95_trade_value,22200.0,22200.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
DAVA,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,20625.000000000004,20625.000000000004,1.0,1.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
DAVA,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,20000.0,8715.0,4.0,5.0,0.8,0.55,2. BELOW BASELINE,6.0,8.0,0.75
DOX,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,1. p999999_trade_value,45000.0,45000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DOX,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,8. p75_trade_value,15500.0,7000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
DXC,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,1. p999999_trade_value,65775.0,65775.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
DXC,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,12150.0,12150.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
DXC,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,9230.0,6475.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,2.0,5.0,0.4
EVLV,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,1. p999999_trade_value,20000.0,20000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
EVLV,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,6. p95_trade_value,17988.0,17988.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
EVLV,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,14000.0,14000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
EVLV,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,12030.0,7500.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
G,Computer and Technology,Computers - IT Services,5__0,5,3,0.0,2. p99999_trade_value,3569.9999999999995,3569.9999999999995,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GDYN,Computer and Technology,Computers - IT Services,5__0,5,3,0.0,1. p999999_trade_value,8280.0,8280.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GDYN,Computer and Technology,Computers - IT Services,5__0,5,3,0.0,8. p75_trade_value,6750.0,6750.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
JKHY,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,1. p999999_trade_value,16368.0,16368.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
JKHY,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,11400.0,11400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
JKHY,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,5390.000000000001,4248.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
ROP,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,1. p999999_trade_value,132965.0,132965.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ROP,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,6. p95_trade_value,34500.0,23100.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ROP,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,20000.0,7300.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ROP,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,7000.0,5320.0,4.0,7.0,0.5714285714285714,0.55,2. BELOW BASELINE,5.0,13.0,0.38461538461538464
STEM,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,1. p999999_trade_value,25000.0,25000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
STEM,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,7. p90_trade_value,13958.000000000002,13958.000000000002,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
STEM,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,8. p75_trade_value,10000.0,7964.999999999999,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,4.0,0.5
TASK,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,2. p99999_trade_value,30059.999999999996,30059.999999999996,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
TASK,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,7. p90_trade_value,30000.0,30000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
TASK,Computer and Technology,Computers - IT Services,15__0,15,3,0.0,8. p75_trade_value,17500.0,12960.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
TBLA,Computer and Technology,Computers - IT Services,0__2,0,3,2.0,1. p999999_trade_value,4482.0,4482.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
TLS,Computer and Technology,Computers - IT Services,0__2,0,3,2.0,1. p999999_trade_value,3750.0,3750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
UIS,Computer and Technology,Computers - IT Services,5__0,5,3,0.0,1. p999999_trade_value,4500.0,4500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
