security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,1. p999999_trade_value,680000.0,680000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,4. p999_trade_value,660000.0,242950.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,5. p99_trade_value,197500.0,53010.0,16.0,36.0,0.4444444444444444,0.55,2. BELOW BASELINE,18.0,41.0,0.43902439024390244
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,6. p95_trade_value,52919.99999999999,19950.0,89.0,162.0,0.5493827160493827,0.55,2. BELOW BASELINE,107.0,203.0,0.5270935960591133
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,7. p90_trade_value,19880.0,13985.999999999998,143.0,202.0,0.7079207920792079,0.55,2. BELOW BASELINE,250.0,405.0,0.6172839506172839
ACN,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,8. p75_trade_value,13950.0,8000.0,315.0,610.0,0.5163934426229508,0.55,2. BELOW BASELINE,565.0,1015.0,0.5566502463054187
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,1. p999999_trade_value,2464150.0,2464150.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,4. p999_trade_value,2334600.0,1437780.0,2.0,7.0,0.2857142857142857,0.55,2. BELOW BASELINE,3.0,8.0,0.375
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,5. p99_trade_value,1216800.0,325000.0,29.0,72.0,0.4027777777777778,0.55,2. BELOW BASELINE,32.0,80.0,0.4
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,6. p95_trade_value,319410.0,39200.0,120.0,314.0,0.3821656050955414,0.55,2. BELOW BASELINE,152.0,394.0,0.38578680203045684
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,7. p90_trade_value,39072.0,18444.0,223.0,392.0,0.5688775510204082,0.55,2. BELOW BASELINE,375.0,786.0,0.4770992366412214
AI,Computer and Technology,Computers - IT Services,40__2,40,2,2.0,8. p75_trade_value,18407.000000000004,8600.0,545.0,1181.0,0.46147332768839966,0.55,2. BELOW BASELINE,920.0,1967.0,0.4677173360447382
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,1. p999999_trade_value,30000.0,30000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,7. p90_trade_value,22500.0,22500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ASGN,Computer and Technology,Computers - IT Services,10__0,10,3,0.0,8. p75_trade_value,20000.0,20000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BBAI,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,1. p999999_trade_value,185000.0,185000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BBAI,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,4. p999_trade_value,127050.0,117650.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
BBAI,Computer and Technology,Computers - IT Services,35__0,35,2,0.0,5. p99_trade_value,99960.0,48750.0,18.0,26.0,0.6923076923076923,0.55,2. BELOW BASELINE,20.0,29.0,0.6896551724137931
