security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,1. p999999_trade_value,820000.0,820000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,3. p9999_trade_value,766000.0,713642.9999999999,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,4. p999_trade_value,656000.0,182484.0,17.0,36.0,0.4722222222222222,0.55,2. BELOW BASELINE,20.0,41.0,0.4878048780487805
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,5. p99_trade_value,180000.0,57419.99999999999,198.0,366.0,0.5409836065573771,0.55,2. BELOW BASELINE,218.0,407.0,0.5356265356265356
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,6. p95_trade_value,57384.99999999999,23300.0,811.0,1626.0,0.498769987699877,0.55,2. BELOW BASELINE,1029.0,2033.0,0.5061485489424495
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,7. p90_trade_value,23289.999999999996,15407.0,955.0,2031.0,0.47021171836533726,0.55,2. BELOW BASELINE,1984.0,4064.0,0.4881889763779528
ARM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,8. p75_trade_value,15400.0,8369.999999999998,2970.0,6095.0,0.48728465955701394,0.55,2. BELOW BASELINE,4954.0,10159.0,0.4876464218919185
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,1. p999999_trade_value,4075000.0,4075000.0,0.0,1.0,0.0,0.55,1. ABOVE BASELINE,0.0,1.0,0.0
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,2. p99999_trade_value,3228100.0,1906000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,2.0,3.0,0.6666666666666666
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,3. p9999_trade_value,1524000.0,763500.0,12.0,18.0,0.6666666666666666,0.55,1. ABOVE BASELINE,14.0,21.0,0.6666666666666666
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,4. p999_trade_value,750000.0,231000.0,92.0,189.0,0.48677248677248675,0.55,2. BELOW BASELINE,106.0,210.0,0.5047619047619047
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,5. p99_trade_value,230640.0,71000.0,964.0,1884.0,0.5116772823779193,0.55,2. BELOW BASELINE,1070.0,2094.0,0.5109837631327603
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,6. p95_trade_value,70950.00000000001,26937.0,4079.0,8377.0,0.4869284946878357,0.55,2. BELOW BASELINE,5149.0,10471.0,0.4917390889122338
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,7. p90_trade_value,26936.0,17250.0,5068.0,10473.0,0.4839110092619116,0.55,2. BELOW BASELINE,10217.0,20944.0,0.4878246753246753
AVGO,Computer and Technology,Electronics - Semiconductors,55__0,55,1,0.0,8. p75_trade_value,17248.0,9060.0,15368.0,31420.0,0.48911521323997453,0.55,2. BELOW BASELINE,25585.0,52364.0,0.488599037506684
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,1. p999999_trade_value,2220000.0000000005,2220000.0000000005,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,3. p9999_trade_value,1979604.0,1856000.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,4. p999_trade_value,1114777.0,370120.0,18.0,26.0,0.6923076923076923,0.55,1. ABOVE BASELINE,21.0,30.0,0.7
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,5. p99_trade_value,367999.99999999994,74400.0,168.0,261.0,0.6436781609195402,0.55,1. ABOVE BASELINE,189.0,291.0,0.6494845360824743
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,6. p95_trade_value,73850.0,27225.0,704.0,1161.0,0.6063738156761412,0.55,1. ABOVE BASELINE,893.0,1452.0,0.6150137741046832
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,7. p90_trade_value,27224.0,17700.0,915.0,1451.0,0.6305995864920745,0.55,1. ABOVE BASELINE,1808.0,2903.0,0.6228039958663452
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,1,0.0,8. p75_trade_value,17688.0,9100.0,2459.0,4376.0,0.5619287020109689,0.55,1. ABOVE BASELINE,4267.0,7279.0,0.5862068965517241
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,1. p999999_trade_value,675675.0,675675.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,3. p9999_trade_value,530000.0,427572.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,4. p999_trade_value,403000.00000000006,202860.0,11.0,19.0,0.5789473684210527,0.55,2. BELOW BASELINE,13.0,22.0,0.5909090909090909
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,5. p99_trade_value,199545.0,64350.0,106.0,197.0,0.5380710659898477,0.55,2. BELOW BASELINE,119.0,219.0,0.54337899543379
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,6. p95_trade_value,64092.00000000001,27720.0,475.0,875.0,0.5428571428571428,0.55,2. BELOW BASELINE,594.0,1094.0,0.5429616087751371
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,7. p90_trade_value,27702.000000000004,17500.0,519.0,1095.0,0.473972602739726,0.55,2. BELOW BASELINE,1113.0,2189.0,0.5084513476473276
QCOM,Computer and Technology,Electronics - Semiconductors,45__1,45,1,1.0,8. p75_trade_value,17490.0,9150.0,1473.0,3287.0,0.44812899300273806,0.55,2. BELOW BASELINE,2586.0,5476.0,0.47224251278305335
