security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAOI,Computer and Technology,Electronics - Semiconductors,0.55,278160.0,4. p999_trade_value,2.0,1828,35__0,35,2,0.0,18000.0,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,0.55,249000.0,1. p999999_trade_value,1.0,329,25__0,25,2,0.0,19848.0,38619.0,113942.6,233964.15,247496.42,248849.64,248984.96
AEHR,Computer and Technology,Electronics - Measuring Instruments,0.55,26070.000000000004,1. p999999_trade_value,1.0,175,20__0,20,2,0.0,10000.0,11254.5,18399.9,25361.82,25999.18,26062.92,26069.29
ALGM,Computer and Technology,Electronics - Semiconductors,0.55,,,,317,25__0,25,2,0.0,15466.0,22636.0,80884.8,660780.0,673578.0,674857.8,674985.78
AMAT,Computer and Technology,Electronics - Semiconductors,0.55,922350.0,3. p9999_trade_value,2.0,14452,40__0,40,2,0.0,16000.0,24711.2,76269.87,211351.97,725460.02,993056.25,1003805.62
AMBA,Computer and Technology,Electronics - Semiconductors,0.55,7400.0,8. p75_trade_value,136.0,541,25__0,25,2,0.0,12000.0,18467.0,31000.0,307128.0,482962.8,500546.28,502304.63
AME,Computer and Technology,Electronics - Testing Equipment,0.55,,,,93,20__0,20,2,0.0,21320.0,53320.0,107172.0,107917.2,107991.72,107999.17,107999.92
AMKR,Computer and Technology,Electronics - Semiconductors,0.55,,,,96,20__3,20,2,3.0,16450.0,33208.75,277180.0,311038.0,314423.8,314762.38,314796.24
AMSC,Computer and Technology,Electronics - Miscellaneous Components,0.55,,,,325,25__0,25,2,0.0,11088.0,16138.8,44725.8,135066.09,156699.31,158862.63,159078.96
AOSL,Computer and Technology,Electronics - Semiconductors,0.55,52200.0,5. p99_trade_value,2.0,143,20__0,20,2,0.0,14480.0,19836.8,48054.6,53281.08,53442.11,53458.21,53459.82
APH,Computer and Technology,Electronics - Connectors,0.55,330000.0,1. p999999_trade_value,1.0,916,30__2,30,2,2.0,19740.0,32228.0,111538.75,247650.0,321765.0,329176.5,329917.65
ATOM,Computer and Technology,Electronics - Semiconductors,0.55,11088.000000000002,7. p90_trade_value,12.0,119,20__0,20,2,0.0,10805.6,15360.5,19820.0,43373.0,46187.3,46468.73,46496.87
CAMT,Computer and Technology,Electronics - Measuring Instruments,0.55,40999.99999999999,1. p999999_trade_value,1.0,222,25__0,25,2,0.0,11732.8,16760.0,25890.8,39232.0,40823.2,40982.32,40998.23
CLS,Computer and Technology,Electronics - Manufacturing Services,0.55,8517.0,8. p75_trade_value,1428.0,5697,40__0,40,2,0.0,16969.2,26874.0,99066.0,763344.82,1114394.4,1204939.44,1213993.94
CRDO,Computer and Technology,Electronics - Semiconductors,0.55,572565.0,1. p999999_trade_value,2.0,3350,35__0,35,2,0.0,18000.0,27768.15,84431.7,214643.6,572565.0,572565.0,572565.0
CRUS,Computer and Technology,Electronics - Semiconductors,0.55,259870.00000000003,5. p99_trade_value,3.0,299,25__2,25,2,2.0,16392.0,27378.0,201197.4,925868.87,1169886.89,1194288.69,1196728.87
ENTG,Computer and Technology,Electronics - Manufacturing Machinery,0.55,,,,317,25__2,25,2,2.0,19872.0,44688.0,340000.0,392750.0,410525.0,412302.5,412480.25
FLEX,Computer and Technology,Electronics - Miscellaneous Products,0.55,170170.0,1. p999999_trade_value,1.0,213,25__2,25,2,2.0,29984.0,65000.0,117094.8,162713.96,169424.4,170095.44,170162.54
FN,Computer and Technology,Electronics - Miscellaneous Components,0.55,,,,336,25__2,25,2,2.0,21080.0,42862.5,470920.0,1364224.0,1564902.4,1584970.24,1586977.02
FORM,Computer and Technology,Electronics - Semiconductors,0.55,,,,167,20__0,20,2,0.0,15832.8,29145.0,107838.4,212768.41,221189.34,222031.43,222115.64
GFS,Computer and Technology,Electronics - Semiconductors,0.55,,,,156,20__3,20,2,3.0,15995.0,29341.25,125637.0,289351.3,306585.13,308308.51,308480.85
