security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
NA,Computer and Technology,Electronics - Semiconductors,0__2,0,3,2.0,1. p999999_trade_value,5000.0,5000.0,O:NA250620C00007500,NA,C,7.5,2025-06-20,209,0,313,1.0,1749130246467000000,50,5000.0,2025-06-05,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Semiconductors,6.8,7.32,6.5,6.86,1,3.6989700043360187,20,1,1,0,0,0
NOVT,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,7. p90_trade_value,24500.000000000004,24500.000000000004,O:NOVT241115C00180000,NOVT,C,180.0,2024-11-15,231,0,302,4.9,1730488950909000000,50,24500.000000000004,2024-11-01,3000.0,30,True,Single Leg Floor Trade,Computer and Technology,Electronics - Miscellaneous Components,171.47,174.92,170.57,174.22,2,4.389166084364533,20,2,1,0,0,0
NOVT,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,8. p75_trade_value,20000.0,24000.0,O:NOVT241115C00180000,NOVT,C,180.0,2024-11-15,231,0,302,4.8,1730488950805000000,50,24000.0,2024-11-01,3000.0,30,True,Single Leg Floor Trade,Computer and Technology,Electronics - Miscellaneous Components,171.47,174.92,170.57,174.22,3,4.380211241711606,20,3,1,0,0,0
NOVT,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,1. p999999_trade_value,81885.0,81885.0,O:NOVT241115C00180000,NOVT,C,180.0,2024-11-15,229,0,302,5.15,1730751289801000000,159,81885.0,2024-11-04,3000.0,30,True,Single Leg Cross Non ISO,Computer and Technology,Electronics - Miscellaneous Components,173.53,175.92,172.6,174.17,1,4.9132043533616425,20,1,1,0,0,0
NOVT,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,8. p75_trade_value,20000.0,24000.0,O:NOVT250516P00110000,NOVT,P,110.0,2025-05-16,235,0,323,2.0,1746195093995000000,100,20000.0,2025-05-02,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Electronics - Miscellaneous Components,124.0,124.79,120.83,121.98,4,4.301029995663981,20,4,1,0,0,0
PLXS,Computer and Technology,Electronics - Manufacturing Services,5__0,5,3,0.0,2. p99999_trade_value,7589.999999999999,7589.999999999999,O:PLXS250516C00125000,PLXS,C,125.0,2025-05-16,227,0,323,5.06,1745337885122000000,15,7589.999999999999,2025-04-22,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Electronics - Manufacturing Services,122.48,124.32,121.35,124.11,1,3.88024177589548,20,1,1,1,1,0
RELL,Computer and Technology,Electronics - Parts Distribution,0__2,0,3,2.0,1. p999999_trade_value,7000.0,7000.0,O:RELL250321P00012500,RELL,P,12.5,2025-03-21,209,0,304,0.35,1741284042972000000,200,7000.0,2025-03-06,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Parts Distribution,12.88,12.94,12.66,12.74,1,3.845098040014257,20,1,1,1,1,0
ROG,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,7. p90_trade_value,40000.0,40000.0,O:ROG241115C00105000,ROG,C,105.0,2024-11-15,209,0,325,4.0,1729705007700000000,100,40000.0,2024-10-23,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Miscellaneous Components,100.63,100.87,99.26,100.65,3,4.6020599913279625,20,3,1,0,0,0
ROG,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,1. p999999_trade_value,48500.0,48500.0,O:ROG241115C00110000,ROG,C,110.0,2024-11-15,209,0,325,2.5,1729705533382000000,194,48500.0,2024-10-23,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Miscellaneous Components,100.63,100.87,99.26,100.65,1,4.685741738602264,20,1,1,0,0,0
ROG,Computer and Technology,Electronics - Miscellaneous Components,10__0,10,3,0.0,7. p90_trade_value,40000.0,40000.0,O:ROG250516C00060000,ROG,C,60.0,2025-05-16,235,0,301,4.0,1745512412835000000,100,40000.0,2025-04-24,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Electronics - Miscellaneous Components,55.11,57.14,54.75,57.05,2,4.6020599913279625,20,2,1,1,1,0
SANM,Computer and Technology,Electronics - Manufacturing Services,15__0,15,3,0.0,1. p999999_trade_value,23400.0,23400.0,O:SANM250516C00075000,SANM,C,75.0,2025-05-16,209,0,308,3.0,1745245767272000000,78,23400.0,2025-04-21,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Manufacturing Services,73.94,74.53,71.8366,73.06,1,4.3692158574101425,20,1,1,1,1,0
TTMI,Computer and Technology,Electronics - Miscellaneous Components,0__2,0,3,2.0,1. p999999_trade_value,5070.0,5070.0,O:TTMI241115C00022500,TTMI,C,22.5,2024-11-15,209,0,302,0.3,1729866806067000000,169,5070.0,2024-10-25,3000.0,30,True,Automatic Execution,Computer and Technology,Electronics - Miscellaneous Components,19.38,19.85,19.36,19.6,1,3.705007959333336,20,1,1,1,1,0
UMC,Computer and Technology,Electronics - Semiconductors,15__0,15,3,0.0,1. p999999_trade_value,125000.0,125000.0,O:UMC250516C00007000,UMC,C,7.0,2025-05-16,234,0,300,0.25,1744919894366000000,5000,125000.0,2025-04-17,3000.0,30,True,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,6.9,6.905,6.77,6.81,1,5.096910013008056,20,1,1,1,1,0
