security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CHKP,Computer and Technology,Security,25__0,25,0.0,1. p999999_trade_value,260190.0,260190.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CHKP,Computer and Technology,Security,25__0,25,0.0,5. p99_trade_value,82200.00000000001,62500.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CHKP,Computer and Technology,Security,25__0,25,0.0,6. p95_trade_value,56000.0,24750.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,5.0,11.0,0.45454545454545453
CHKP,Computer and Technology,Security,25__0,25,0.0,7. p90_trade_value,24720.0,15470.000000000002,5.0,10.0,0.5,0.55,2. BELOW BASELINE,10.0,21.0,0.47619047619047616
CHKP,Computer and Technology,Security,25__0,25,0.0,8. p75_trade_value,15350.0,8750.0,14.0,31.0,0.45161290322580644,0.55,2. BELOW BASELINE,24.0,52.0,0.46153846153846156
CRWD,Computer and Technology,Security,50__3,50,3.0,1. p999999_trade_value,1947037.9999999998,1947037.9999999998,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CRWD,Computer and Technology,Security,50__3,50,3.0,3. p9999_trade_value,859908.0,651000.0000000001,5.0,6.0,0.8333333333333334,0.55,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
CRWD,Computer and Technology,Security,50__3,50,3.0,4. p999_trade_value,540000.0,207206.99999999997,36.0,62.0,0.5806451612903226,0.55,1. ABOVE BASELINE,42.0,69.0,0.6086956521739131
CRWD,Computer and Technology,Security,50__3,50,3.0,5. p99_trade_value,207000.0,59400.0,350.0,617.0,0.5672609400324149,0.55,1. ABOVE BASELINE,392.0,686.0,0.5714285714285714
CRWD,Computer and Technology,Security,50__3,50,3.0,6. p95_trade_value,59280.00000000001,24400.0,1558.0,2743.0,0.5679912504557054,0.55,1. ABOVE BASELINE,1950.0,3429.0,0.5686789151356081
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,24395.0,15552.000000000002,1921.0,3424.0,0.5610397196261683,0.55,1. ABOVE BASELINE,3871.0,6853.0,0.5648621041879469
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,15550.0,8415.0,5714.0,10281.0,0.5557825114288494,0.55,1. ABOVE BASELINE,9585.0,17134.0,0.5594140305824676
CYBR,Computer and Technology,Security,30__2,30,2.0,1. p999999_trade_value,177100.0,177100.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CYBR,Computer and Technology,Security,30__2,30,2.0,5. p99_trade_value,171000.0,76500.0,3.0,8.0,0.375,0.55,2. BELOW BASELINE,4.0,9.0,0.4444444444444444
CYBR,Computer and Technology,Security,30__2,30,2.0,6. p95_trade_value,54000.0,23600.0,14.0,33.0,0.42424242424242425,0.55,2. BELOW BASELINE,18.0,42.0,0.42857142857142855
CYBR,Computer and Technology,Security,30__2,30,2.0,7. p90_trade_value,23400.0,15000.0,24.0,41.0,0.5853658536585366,0.55,2. BELOW BASELINE,42.0,83.0,0.5060240963855421
CYBR,Computer and Technology,Security,30__2,30,2.0,8. p75_trade_value,14950.0,9360.0,71.0,128.0,0.5546875,0.55,2. BELOW BASELINE,113.0,211.0,0.5355450236966824
FTNT,Computer and Technology,Security,35__0,35,0.0,1. p999999_trade_value,980500.0,980500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FTNT,Computer and Technology,Security,35__0,35,0.0,4. p999_trade_value,788832.0,415800.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
FTNT,Computer and Technology,Security,35__0,35,0.0,5. p99_trade_value,408000.0,62985.0,12.0,39.0,0.3076923076923077,0.55,2. BELOW BASELINE,15.0,44.0,0.3409090909090909
FTNT,Computer and Technology,Security,35__0,35,0.0,6. p95_trade_value,61752.0,22920.0,99.0,172.0,0.5755813953488372,0.55,2. BELOW BASELINE,114.0,216.0,0.5277777777777778
FTNT,Computer and Technology,Security,35__0,35,0.0,7. p90_trade_value,22825.000000000004,15600.0,118.0,218.0,0.5412844036697247,0.55,2. BELOW BASELINE,232.0,434.0,0.5345622119815668
FTNT,Computer and Technology,Security,35__0,35,0.0,8. p75_trade_value,15560.999999999998,8304.0,353.0,645.0,0.5472868217054263,0.55,2. BELOW BASELINE,585.0,1079.0,0.5421686746987951
OKTA,Computer and Technology,Security,40__0,40,0.0,1. p999999_trade_value,1375459.9999999998,1375459.9999999998,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
OKTA,Computer and Technology,Security,40__0,40,0.0,4. p999_trade_value,598000.0,221056.99999999997,5.0,7.0,0.7142857142857143,0.55,1. ABOVE BASELINE,6.0,8.0,0.75
OKTA,Computer and Technology,Security,40__0,40,0.0,5. p99_trade_value,220123.99999999997,60390.00000000001,39.0,71.0,0.5492957746478874,0.55,2. BELOW BASELINE,45.0,79.0,0.569620253164557
OKTA,Computer and Technology,Security,40__0,40,0.0,6. p95_trade_value,60375.0,23561.999999999996,183.0,315.0,0.580952380952381,0.55,2. BELOW BASELINE,228.0,394.0,0.5786802030456852
OKTA,Computer and Technology,Security,40__0,40,0.0,7. p90_trade_value,23542.0,14904.0,220.0,394.0,0.5583756345177665,0.55,2. BELOW BASELINE,448.0,788.0,0.5685279187817259
OKTA,Computer and Technology,Security,40__0,40,0.0,8. p75_trade_value,14885.0,8175.0,616.0,1182.0,0.5211505922165821,0.55,2. BELOW BASELINE,1064.0,1970.0,0.5401015228426396
PANW,Computer and Technology,Security,45__1,45,1.0,1. p999999_trade_value,871729.9999999999,871729.9999999999,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
PANW,Computer and Technology,Security,45__1,45,1.0,3. p9999_trade_value,700000.0,637500.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
PANW,Computer and Technology,Security,45__1,45,1.0,4. p999_trade_value,615000.0,188750.0,14.0,23.0,0.6086956521739131,0.55,1. ABOVE BASELINE,17.0,26.0,0.6538461538461539
PANW,Computer and Technology,Security,45__1,45,1.0,5. p99_trade_value,188100.0,61600.0,116.0,232.0,0.5,0.55,2. BELOW BASELINE,133.0,258.0,0.5155038759689923
PANW,Computer and Technology,Security,45__1,45,1.0,6. p95_trade_value,61560.0,23250.0,567.0,1030.0,0.5504854368932038,0.55,2. BELOW BASELINE,700.0,1288.0,0.5434782608695652
PANW,Computer and Technology,Security,45__1,45,1.0,7. p90_trade_value,23239.999999999996,15000.0,682.0,1299.0,0.5250192455735181,0.55,2. BELOW BASELINE,1382.0,2587.0,0.534209509083881
PANW,Computer and Technology,Security,45__1,45,1.0,8. p75_trade_value,14985.0,8200.0,2005.0,3854.0,0.5202387130254281,0.55,2. BELOW BASELINE,3387.0,6441.0,0.5258500232883093
QLYS,Computer and Technology,Security,25__2,25,2.0,1. p999999_trade_value,400000.0,400000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
QLYS,Computer and Technology,Security,25__2,25,2.0,5. p99_trade_value,222138.0,222138.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
QLYS,Computer and Technology,Security,25__2,25,2.0,6. p95_trade_value,167055.00000000003,45760.0,1.0,8.0,0.125,0.55,2. BELOW BASELINE,3.0,10.0,0.3
