security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,1. p999999_trade_value,1971000.0,1971000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,3. p9999_trade_value,1296000.0,826200.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,4. p999_trade_value,569999.9999999999,178740.0,18.0,35.0,0.5142857142857142,0.55,2. BELOW BASELINE,21.0,39.0,0.5384615384615384
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,5. p99_trade_value,178500.0,56862.0,185.0,351.0,0.5270655270655271,0.55,2. BELOW BASELINE,206.0,390.0,0.5282051282051282
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,6. p95_trade_value,56591.99999999999,22275.0,791.0,1559.0,0.5073765234124439,0.55,2. BELOW BASELINE,997.0,1949.0,0.5115443817342227
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,7. p90_trade_value,22250.0,14500.0,965.0,1950.0,0.4948717948717949,0.55,2. BELOW BASELINE,1962.0,3899.0,0.5032059502436522
INTC,Computer and Technology,Semiconductor - General,45__1,45,1,1.0,8. p75_trade_value,14496.0,8100.0,2972.0,5866.0,0.5066484827821344,0.55,2. BELOW BASELINE,4934.0,9765.0,0.505273937532002
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,1. p999999_trade_value,46080000.0,29534180.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,2. p99999_trade_value,19578240.000000004,8166900.0,12.0,16.0,0.75,0.55,1. ABOVE BASELINE,14.0,18.0,0.7777777777777778
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,3. p9999_trade_value,8139239.999999999,2248926.0,95.0,158.0,0.6012658227848101,0.55,1. ABOVE BASELINE,109.0,176.0,0.6193181818181818
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,4. p999_trade_value,2248000.0,396000.0,874.0,1585.0,0.5514195583596214,0.55,1. ABOVE BASELINE,983.0,1761.0,0.5582055650198751
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,5. p99_trade_value,395970.0,86715.0,9233.0,15835.0,0.5830754657404483,0.55,1. ABOVE BASELINE,10216.0,17596.0,0.5805864969311207
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,6. p95_trade_value,86710.0,31500.0,40739.0,70421.0,0.5785064114397694,0.55,1. ABOVE BASELINE,50955.0,88017.0,0.5789222536555438
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,7. p90_trade_value,31495.999999999996,19800.0,49193.0,88114.0,0.5582881267448987,0.55,1. ABOVE BASELINE,100148.0,176131.0,0.5685995083205114
NVDA,Computer and Technology,Semiconductor - General,60__0,60,1,0.0,8. p75_trade_value,19798.0,9983.0,139736.0,263757.0,0.5297906785412331,0.55,2. BELOW BASELINE,239884.0,439888.0,0.5453297202924381
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,1. p999999_trade_value,2140000.0,2140000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,3. p9999_trade_value,2106000.0,1221080.0,3.0,9.0,0.3333333333333333,0.55,2. BELOW BASELINE,4.0,10.0,0.4
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,4. p999_trade_value,1215000.0,430000.0,55.0,81.0,0.6790123456790124,0.55,2. BELOW BASELINE,59.0,91.0,0.6483516483516484
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,5. p99_trade_value,428000.0,91600.0,379.0,813.0,0.4661746617466175,0.55,2. BELOW BASELINE,438.0,904.0,0.48451327433628316
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,6. p95_trade_value,91575.0,29959.999999999996,1881.0,3614.0,0.5204759269507471,0.55,2. BELOW BASELINE,2319.0,4518.0,0.5132802124833997
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,7. p90_trade_value,29945.000000000004,18525.0,2411.0,4522.0,0.533171163202123,0.55,2. BELOW BASELINE,4730.0,9040.0,0.5232300884955752
TSM,Computer and Technology,Semiconductor - Circuit Foundry,50__1,50,1,1.0,8. p75_trade_value,18522.0,9420.0,6798.0,13547.0,0.5018085184911789,0.55,2. BELOW BASELINE,11528.0,22587.0,0.5103820781865674
