security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AVNW,Computer and Technology,Wireless Equipment,0__2,0,3,2.0,1. p999999_trade_value,4130.0,4130.0,O:AVNW240920P00022500,AVNW,P,22.5,2024-09-20,209,0,325,0.59,1726077053916000000,70,4130.0,2024-09-11,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,24.04,24.56,23.31,24.36,1,3.615950051656401,20,1,1,1,0,0
CLFD,Computer and Technology,Wireless Equipment,10__0,10,3,0.0,1. p999999_trade_value,21440.0,21440.0,O:CLFD241220C00030000,CLFD,C,30.0,2024-12-20,233,0,302,1.34,1732129086075000000,160,21440.0,2024-11-20,3000.0,30,True,Multi Leg Auction,Computer and Technology,Wireless Equipment,28.02,29.195,27.5,29.18,1,4.331224781020732,20,1,1,1,1,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,8. p75_trade_value,6182.0,11250.0,O:CMTL241018C00005000,CMTL,C,5.0,2024-10-18,209,0,308,0.3,1727117159614000000,212,6359.999999999999,2024-09-23,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,3.94,4.6847,3.916,4.51,6,3.803457115648414,20,3,1,0,0,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,6. p95_trade_value,13500.0,13500.0,O:CMTL241018C00005000,CMTL,C,5.0,2024-10-18,209,0,308,0.3,1727106215678000000,450,13500.0,2024-09-23,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,3.94,4.6847,3.916,4.51,2,4.1303337684950066,20,1,1,0,0,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,7. p90_trade_value,12780.0,12780.0,O:CMTL241018C00005000,CMTL,C,5.0,2024-10-18,209,0,325,0.3,1727107602580000000,426,12780.0,2024-09-23,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,3.94,4.6847,3.916,4.51,3,4.106530853822381,20,2,1,0,0,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,8. p75_trade_value,6182.0,11250.0,O:CMTL250117C00005000,CMTL,C,5.0,2025-01-17,209,0,320,0.25,1735332024970000000,437,10925.0,2024-12-27,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,4.2,4.51,4.08,4.14,5,4.038421445642459,20,3,0,0,0,1
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,8. p75_trade_value,6182.0,11250.0,O:CMTL250620C00002500,CMTL,C,2.5,2025-06-20,209,0,325,0.22,1748451706117000000,281,6182.0,2025-05-28,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,2.22,2.2841,2.08,2.2,7,3.791129000727286,20,4,1,0,0,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,1. p999999_trade_value,20000.0,20000.0,O:CMTL250620C00002500,CMTL,C,2.5,2025-06-20,209,0,320,0.2,1749151085369000000,1000,20000.0,2025-06-05,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,2.16,2.23,2.08,2.2,1,4.301029995663981,20,1,1,0,0,0
CMTL,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,8. p75_trade_value,6182.0,11250.0,O:CMTL250620C00002500,CMTL,C,2.5,2025-06-20,209,0,316,0.25,1749233625332000000,450,11250.0,2025-06-06,3000.0,30,True,Automatic Execution,Computer and Technology,Wireless Equipment,2.24,2.33,2.155,2.27,4,4.051152522447381,20,2,1,0,0,0
ERIC,Computer and Technology,Wireless Equipment,15__0,15,3,0.0,1. p999999_trade_value,46500.0,46500.0,O:ERIC250221P00008000,ERIC,P,8.0,2025-02-21,235,0,300,0.15,1737565196990000000,3100,46500.0,2025-01-22,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Wireless Equipment,8.84,8.85,8.73,8.75,1,4.6674529528899535,20,1,1,1,1,0
