security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACM,Construction,Engineering - R and D Services,15__0,15,3,0.0,1. p999999_trade_value,33000.0,33000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACM,Construction,Engineering - R and D Services,15__0,15,3,0.0,6. p95_trade_value,10325.0,10325.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ACM,Construction,Engineering - R and D Services,15__0,15,3,0.0,7. p90_trade_value,9569.999999999998,8750.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,4.0,0.25
ACM,Construction,Engineering - R and D Services,15__0,15,3,0.0,8. p75_trade_value,8715.0,7000.0,4.0,6.0,0.6666666666666666,0.55,2. BELOW BASELINE,5.0,10.0,0.5
AMTM,Construction,Engineering - R and D Services,25__0,25,2,0.0,1. p999999_trade_value,390000.0,390000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMTM,Construction,Engineering - R and D Services,25__0,25,2,0.0,5. p99_trade_value,217575.0,132000.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
AMTM,Construction,Engineering - R and D Services,25__0,25,2,0.0,6. p95_trade_value,126000.0,52500.0,13.0,18.0,0.7222222222222222,0.55,2. BELOW BASELINE,16.0,23.0,0.6956521739130435
AMTM,Construction,Engineering - R and D Services,25__0,25,2,0.0,7. p90_trade_value,50250.00000000001,23400.0,8.0,23.0,0.34782608695652173,0.55,2. BELOW BASELINE,24.0,46.0,0.5217391304347826
AMTM,Construction,Engineering - R and D Services,25__0,25,2,0.0,8. p75_trade_value,23100.0,9840.0,39.0,67.0,0.582089552238806,0.55,2. BELOW BASELINE,63.0,113.0,0.5575221238938053
CHX,Construction,Engineering - R and D Services,0__2,0,3,2.0,1. p999999_trade_value,3375.0,3375.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FLR,Construction,Engineering - R and D Services,25__0,25,2,0.0,1. p999999_trade_value,759990.0,759990.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FLR,Construction,Engineering - R and D Services,25__0,25,2,0.0,5. p99_trade_value,491400.0,191400.0,5.0,5.0,1.0,0.55,1. ABOVE BASELINE,6.0,6.0,1.0
FLR,Construction,Engineering - R and D Services,25__0,25,2,0.0,6. p95_trade_value,177905.0,25000.0,18.0,22.0,0.8181818181818182,0.55,1. ABOVE BASELINE,24.0,28.0,0.8571428571428571
FLR,Construction,Engineering - R and D Services,25__0,25,2,0.0,7. p90_trade_value,24000.0,15540.0,16.0,28.0,0.5714285714285714,0.55,1. ABOVE BASELINE,40.0,56.0,0.7142857142857143
FLR,Construction,Engineering - R and D Services,25__0,25,2,0.0,8. p75_trade_value,15500.0,8000.0,59.0,84.0,0.7023809523809523,0.55,1. ABOVE BASELINE,99.0,140.0,0.7071428571428572
KBR,Construction,Engineering - R and D Services,20__0,20,2,0.0,1. p999999_trade_value,67032.0,67032.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
KBR,Construction,Engineering - R and D Services,20__0,20,2,0.0,6. p95_trade_value,48960.0,40000.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
KBR,Construction,Engineering - R and D Services,20__0,20,2,0.0,7. p90_trade_value,39920.00000000001,38000.0,4.0,4.0,1.0,0.55,1. ABOVE BASELINE,8.0,8.0,1.0
KBR,Construction,Engineering - R and D Services,20__0,20,2,0.0,8. p75_trade_value,36000.0,12599.999999999998,9.0,10.0,0.9,0.55,1. ABOVE BASELINE,17.0,18.0,0.9444444444444444
MAGN,Construction,Engineering - R and D Services,10__2,10,3,2.0,1. p999999_trade_value,132000.0,132000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
MAGN,Construction,Engineering - R and D Services,10__2,10,3,2.0,8. p75_trade_value,107000.0,107000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,1. p999999_trade_value,1082263.0,1082263.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,4. p999_trade_value,1034000.0,1034000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,5. p99_trade_value,712000.0,144000.0,11.0,17.0,0.6470588235294118,0.55,1. ABOVE BASELINE,13.0,19.0,0.6842105263157895
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,6. p95_trade_value,137310.0,29120.0,44.0,73.0,0.6027397260273972,0.55,1. ABOVE BASELINE,57.0,92.0,0.6195652173913043
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,7. p90_trade_value,28800.0,16740.0,55.0,92.0,0.5978260869565217,0.55,1. ABOVE BASELINE,112.0,184.0,0.6086956521739131
PWR,Construction,Engineering - R and D Services,35__1,35,2,1.0,8. p75_trade_value,16650.0,8766.0,195.0,276.0,0.7065217391304348,0.55,1. ABOVE BASELINE,307.0,460.0,0.6673913043478261
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,1. p999999_trade_value,70250.0,70250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,5. p99_trade_value,70000.0,69300.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,4.0,0.5
