security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AMCX,Consumer Discretionary,Broadcast Radio and Television,0.55,5160.0,8. p75_trade_value,2.0,7,10__0,10,0.0,5996.0,6623.0,7124.6,7237.46,7248.75,7249.87,7249.99
BILI,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,3942,35__2,35,2.0,17289.0,27925.65,99799.94,362720.76,1058735.2,1175073.52,1186707.35
FOX,Consumer Discretionary,Broadcast Radio and Television,0.55,6761.999999999999,1. p999999_trade_value,1.0,5,5__0,5,0.0,6235.2,6498.6,6709.32,6756.73,6761.47,6761.95,6761.99
FOXA,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,86,20__0,20,0.0,12902.5,22747.5,74097.0,108659.7,112115.97,112461.6,112496.16
FUBO,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,1299,30__2,30,2.0,13393.6,20201.8,45220.0,128800.24,212696.83,223634.68,224728.47
IHRT,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,5,5__3,5,3.0,15322.2,17404.6,19070.52,19445.35,19482.84,19486.58,19486.96
NFLX,Consumer Discretionary,Broadcast Radio and Television,0.55,240540.0,4. p999_trade_value,302.0,301488,55__0,55,0.0,17150.0,26891.5,68707.34,240471.82,732213.38,1857119.31,2931433.99
NMAX,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,475,25__0,25,0.0,12822.0,18931.5,55027.2,147519.9,149076.99,149232.7,149248.27
ROKU,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,10675,40__0,40,0.0,14946.0,23934.4,86263.0,350506.77,700849.68,1112260.11,1156300.61
SIRI,Consumer Discretionary,Broadcast Radio and Television,0.55,511658.0,1. p999999_trade_value,1.0,1380,30__2,30,2.0,15000.0,27000.0,91761.0,477452.0,507568.16,511249.02,511617.1
SSP,Consumer Discretionary,Broadcast Radio and Television,0.55,3300.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
TGNA,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,6,10__0,10,0.0,5941.0,6826.5,7534.9,7694.29,7710.23,7711.82,7711.98
TSQ,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,2,5__0,5,0.0,8475.0,8612.5,8722.5,8747.25,8749.73,8749.97,8750.0
WBD,Consumer Discretionary,Broadcast Radio and Television,0.55,,,,849,30__1,30,1.0,14975.4,25133.2,72519.0,1423284.0,2943578.4,3095607.84,3110810.78
