security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,216000.0,216000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,186000.0,186000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,112500.0,17500.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,5.0,0.4
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,13320.000000000002,13320.000000000002,0.0,3.0,0.0,0.55,2. BELOW BASELINE,2.0,8.0,0.25
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,150500.0,150500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,28000.0,19866.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,12600.0,12000.0,3.0,3.0,1.0,0.55,2. BELOW BASELINE,5.0,6.0,0.8333333333333334
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,11325.0,7000.0,7.0,8.0,0.875,0.55,2. BELOW BASELINE,12.0,14.0,0.8571428571428571
IGT,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,156000.0,156000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
IGT,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,102306.0,100000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
IGT,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,92250.0,49560.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,3.0,6.0,0.5
IGT,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,42000.0,10000.0,2.0,7.0,0.2857142857142857,0.55,2. BELOW BASELINE,5.0,13.0,0.38461538461538464
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,16200.0,16200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,14000.0,14000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,11600.0,11600.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
LNW,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,10000.0,6090.0,3.0,5.0,0.6,0.55,1. ABOVE BASELINE,6.0,8.0,0.75
RRR,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,29750.0,29750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
RRR,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,24320.0,24320.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
RRR,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,22720.0,14060.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,4.0,5.0,0.8
RRR,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,10920.0,7930.0,6.0,8.0,0.75,0.55,2. BELOW BASELINE,10.0,13.0,0.7692307692307693
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,47500.0,47500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,41850.0,41547.99999999999,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,37600.0,19895.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
RSI,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,14880.000000000002,8195.0,3.0,8.0,0.375,0.55,2. BELOW BASELINE,8.0,13.0,0.6153846153846154
