security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BATRK,Consumer Discretionary,Media Conglomerates,0__2,0,3,2.0,1. p999999_trade_value,3660.0,3660.0,O:BATRK250417C00040000,BATRK,C,40.0,2025-04-17,231,0,301,0.6,1742316442087000000,61,3660.0,2025-03-18,3000.0,30,True,Single Leg Floor Trade,Consumer Discretionary,Media Conglomerates,38.84,39.35,38.715,39.27,1,3.5634810853944106,20,1,1,0,0,0
BZFD,Consumer Discretionary,Media Conglomerates,10__0,10,3,0.0,1. p999999_trade_value,6900.0,6900.0,O:BZFD241115C00003000,BZFD,C,3.0,2024-11-15,209,0,308,0.15,1730838560785000000,460,6900.0,2024-11-05,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,2.55,2.71,2.5201,2.64,1,3.838849090737255,20,1,1,1,1,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240906C00092000,DIS,C,92.0,2024-09-06,209,0,316,0.84,1724774146670000000,196,16464.0,2024-08-27,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,91.43,91.72,90.75,90.9,1354,4.2165353574183575,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240906C00092000,DIS,C,92.0,2024-09-06,209,0,313,1.15,1724766719311000000,200,22999.999999999996,2024-08-27,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,91.43,91.72,90.75,90.9,823,4.361727836017593,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240920C00092000,DIS,C,92.0,2024-09-20,209,0,316,1.69,1724772417893000000,127,21463.0,2024-08-27,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,91.43,91.72,90.75,90.9,916,4.33169042556963,20,2,1,1,1,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240920C00095000,DIS,C,95.0,2024-09-20,209,0,304,0.78,1724766997513000000,124,9672.0,2024-08-27,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,91.43,91.72,90.75,90.9,2948,3.9855162878527155,20,5,1,0,0,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240906C00091000,DIS,C,91.0,2024-09-06,209,0,313,0.9,1724853656857000000,184,16560.0,2024-08-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,1343,4.219060332448861,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240906C00091000,DIS,C,91.0,2024-09-06,209,0,316,0.9,1724853656858000000,192,17280.0,2024-08-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,1256,4.237543738142874,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240906C00091000,DIS,C,91.0,2024-09-06,227,0,323,0.92,1724853561006000000,180,16560.0,2024-08-28,3000.0,30,True,Single Leg Auction Non ISO,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,1342,4.219060332448861,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240906P00086000,DIS,P,86.0,2024-09-06,209,0,313,0.23,1724857432383000000,400,9200.0,2024-08-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,3175,3.963787827345555,20,5,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240913C00092000,DIS,C,92.0,2024-09-13,209,0,304,0.92,1724852543913000000,100,9200.0,2024-08-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,3176,3.963787827345555,20,5,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240920C00095000,DIS,C,95.0,2024-09-20,227,0,302,0.46,1724854369990000000,329,15134.0,2024-08-28,3000.0,30,True,Single Leg Auction Non ISO,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,1544,4.179953729631548,20,3,1,0,0,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240927P00086000,DIS,P,86.0,2024-09-27,209,0,301,1.03,1724868456073000000,169,17407.0,2024-08-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.33,90.6247,88.76,89.49,1245,4.240723929318846,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,6. p95_trade_value,24800.0,75200.0,O:DIS240906C00091000,DIS,C,91.0,2024-09-06,209,0,313,0.91,1724938248476000000,657,59787.0,2024-08-29,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.45,90.7,89.63,89.81,209,4.776606761880874,20,1,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240906P00088000,DIS,P,88.0,2024-09-06,209,0,312,0.38,1724938387523000000,300,11400.0,2024-08-29,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.45,90.7,89.63,89.81,2300,4.056904851336473,20,4,1,1,1,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240913C00092000,DIS,C,92.0,2024-09-13,209,0,304,0.92,1724954231052000000,100,9200.0,2024-08-29,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.45,90.7,89.63,89.81,3174,3.963787827345555,20,5,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240920C00095000,DIS,C,95.0,2024-09-20,209,0,313,0.49,1724940729444000000,184,9016.0,2024-08-29,3000.0,30,True,Automatic Execution,Consumer Discretionary,Media Conglomerates,90.45,90.7,89.63,89.81,3262,3.9550139030380502,20,5,1,0,0,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240927C00092000,DIS,C,92.0,2024-09-27,233,0,302,1.62,1724947516266000000,60,9720.0,2024-08-29,3000.0,30,True,Multi Leg Auction,Consumer Discretionary,Media Conglomerates,90.45,90.7,89.63,89.81,2919,3.9876662649262746,20,5,1,1,1,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,5. p99_trade_value,75285.0,294840.0,O:DIS240906C00091000,DIS,C,91.0,2024-09-06,235,0,313,0.52,1725026242383000000,2315,120380.0,2024-08-30,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Media Conglomerates,89.98,90.45,89.4001,90.38,70,5.0805543389887715,20,1,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240906C00093000,DIS,C,93.0,2024-09-06,240,0,304,0.12,1725038718244000000,999,11988.0,2024-08-30,3000.0,30,True,Stock Options auto-electronic trade,Consumer Discretionary,Media Conglomerates,89.98,90.45,89.4001,90.38,2163,4.078746734273607,20,3,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240920C00092000,DIS,C,92.0,2024-09-20,227,0,300,1.11,1725047928833000000,113,12543.0,2024-08-30,3000.0,30,True,Single Leg Auction Non ISO,Consumer Discretionary,Media Conglomerates,89.98,90.45,89.4001,90.38,2016,4.0984014222700775,20,3,1,1,1,0
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240913C00091000,DIS,C,91.0,2024-09-13,232,0,308,0.96,1725372643332000000,241,23136.0,2024-09-03,3000.0,30,True,Multi Leg auto-electronic trade,Consumer Discretionary,Media Conglomerates,89.605,90.4877,88.535,89.13,807,4.364288275614437,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,8. p75_trade_value,8320.0,15729.000000000002,O:DIS240913C00091000,DIS,C,91.0,2024-09-13,232,0,313,0.95,1725372624911000000,115,10925.0,2024-09-03,3000.0,30,True,Multi Leg auto-electronic trade,Consumer Discretionary,Media Conglomerates,89.605,90.4877,88.535,89.13,2437,4.038421445642459,20,4,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240913C00091000,DIS,C,91.0,2024-09-13,232,0,303,0.96,1725372604937000000,199,19104.0,2024-09-03,3000.0,30,True,Multi Leg auto-electronic trade,Consumer Discretionary,Media Conglomerates,89.605,90.4877,88.535,89.13,1088,4.281124309449275,20,2,0,0,0,1
DIS,Consumer Discretionary,Media Conglomerates,40__0,40,2,0.0,7. p90_trade_value,15750.0,24776.0,O:DIS240913C00091000,DIS,C,91.0,2024-09-13,232,0,308,0.96,1725372643308000000,238,22848.0,2024-09-03,3000.0,30,True,Multi Leg auto-electronic trade,Consumer Discretionary,Media Conglomerates,89.605,90.4877,88.535,89.13,838,4.35884819009608,20,2,0,0,0,1
