security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
BGS,Consumer Staples,Food - Miscellaneous,0.55,10430.0,7. p90_trade_value,2.0,12,10__0,10,3,0.0,10021.0,11118.5,11791.7,11943.17,11958.32,11959.83,11959.98
BRBR,Consumer Staples,Food - Miscellaneous,0.55,,,,14,10__2,10,3,2.0,23125.0,70010.0,136882.0,151928.2,153432.82,153583.28,153598.33
BRFS,Consumer Staples,Food - Miscellaneous,0.55,,,,1,0__2,0,3,2.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0
CHEF,Consumer Staples,Food - Miscellaneous,0.55,38750.0,7. p90_trade_value,2.0,19,15__0,15,3,0.0,37750.0,40633.5,54194.7,57245.97,57551.1,57581.61,57584.66
FLO,Consumer Staples,Food - Miscellaneous,0.55,,,,1,0__2,0,3,2.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
HAIN,Consumer Staples,Food - Miscellaneous,0.55,4860.0,1. p999999_trade_value,1.0,2,5__0,5,3,0.0,4754.0,4807.0,4849.4,4858.94,4859.89,4859.99,4860.0
INGR,Consumer Staples,Food - Miscellaneous,0.55,,,,7,10__0,10,3,0.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0
JJSF,Consumer Staples,Food - Miscellaneous,0.55,55000.0,1. p999999_trade_value,1.0,4,5__1,5,3,1.0,39760.0,47380.0,53476.0,54847.6,54984.76,54998.48,54999.85
LANC,Consumer Staples,Food - Miscellaneous,0.55,4300.0,8. p75_trade_value,5.0,10,10__0,10,3,0.0,10173.5,12236.75,13887.35,14258.73,14295.87,14299.59,14299.96
MAMA,Consumer Staples,Food - Miscellaneous,0.55,10700.0,1. p999999_trade_value,1.0,7,10__0,10,3,0.0,7280.0,8990.0,10358.0,10665.8,10696.58,10699.66,10699.97
MED,Consumer Staples,Food - Miscellaneous,0.55,9504.0,7. p90_trade_value,2.0,15,10__0,10,3,0.0,9202.4,9952.8,10790.56,10979.06,10997.91,10999.79,10999.98
OTLY,Consumer Staples,Food - Dairy Products,0.55,,,,25,15__0,15,3,0.0,44004.0,72464.0,99098.8,105309.88,105930.99,105993.1,105999.31
POST,Consumer Staples,Food - Miscellaneous,0.55,8400.0,8. p75_trade_value,4.0,14,10__0,10,3,0.0,8526.0,12137.75,17423.55,18612.86,18731.79,18743.68,18744.87
SMPL,Consumer Staples,Food - Confectionery,0.55,,,,12,10__0,10,3,0.0,15500.0,19786.0,23957.2,24895.72,24989.57,24998.96,24999.9
THS,Consumer Staples,Food - Miscellaneous,0.55,40000.0,8. p75_trade_value,5.0,20,15__1,15,3,1.0,45500.0,68750.0,353750.0,417875.0,424287.5,424928.75,424992.87
TR,Consumer Staples,Food - Confectionery,0.55,7500.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
UTZ,Consumer Staples,Food - Miscellaneous,0.55,,,,18,15__0,15,3,0.0,16200.0,19300.0,20660.0,20966.0,20996.6,20999.66,20999.97
