security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
PNFP,Finance,Banks - Southeast,5__1,5,3,1.0,1. p999999_trade_value,40460.0,40460.0,O:PNFP250221C00125000,PNFP,C,125.0,2025-02-21,209,0,323,3.4,1737646324919000000,119,40460.0,2025-01-23,3000.0,30,True,Automatic Execution,Finance,Banks - Southeast,122.15,124.785,121.6,122.34,1,4.6070258784347855,20,1,1,0,0,0
SAN,Finance,Banks - Foreign,5__0,5,3,0.0,1. p999999_trade_value,4420.0,4420.0,O:SAN250620C00008000,SAN,C,8.0,2025-06-20,209,0,320,0.2,1748014163325000000,221,4420.0,2025-05-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,7.8,7.92,7.8,7.91,1,3.645422269349092,20,1,1,0,0,0
TCBI,Finance,Banks - Southwest,10__0,10,3,0.0,1. p999999_trade_value,4920.0,4920.0,O:TCBI241018C00080000,TCBI,C,80.0,2024-10-18,232,0,322,2.05,1729106345966000000,24,4920.0,2024-10-16,3000.0,30,True,Multi Leg auto-electronic trade,Finance,Banks - Southwest,78.46,79.37,77.93,78.46,1,3.69196510276736,20,1,1,1,0,0
TCBI,Finance,Banks - Southwest,10__0,10,3,0.0,8. p75_trade_value,4776.0,4776.0,O:TCBI241018C00080000,TCBI,C,80.0,2024-10-18,232,0,322,1.99,1729106352237000000,24,4776.0,2024-10-16,3000.0,30,True,Multi Leg auto-electronic trade,Finance,Banks - Southwest,78.46,79.37,77.93,78.46,2,3.6790643181213127,20,2,1,1,0,0
THFF,Finance,Banks - Midwest,0__2,0,3,2.0,1. p999999_trade_value,3304.0,3304.0,O:THFF250516C00050000,THFF,C,50.0,2025-05-16,233,0,302,2.36,1744910277808000000,14,3304.0,2025-04-17,3000.0,30,True,Multi Leg Auction,Finance,Banks - Midwest,43.91,44.845,43.7659,44.31,1,3.5190400386483445,20,1,1,1,1,0
UMBF,Finance,Banks - Midwest,0__2,0,3,2.0,1. p999999_trade_value,3135.0,3135.0,O:UMBF250516C00100000,UMBF,C,100.0,2025-05-16,227,0,323,2.09,1745949283543000000,15,3135.0,2025-04-29,3000.0,30,True,Single Leg Auction Non ISO,Finance,Banks - Midwest,95.28,98.43,94.715,97.82,1,3.496237545166735,20,1,1,1,1,0
WTFC,Finance,Banks - Midwest,0__2,0,3,2.0,1. p999999_trade_value,5850.0,5850.0,O:WTFC241220C00140000,WTFC,C,140.0,2024-12-20,209,0,316,3.9,1732648989162000000,15,5850.0,2024-11-26,3000.0,30,True,Automatic Execution,Finance,Banks - Midwest,137.65,138.97,136.07,137.89,1,3.7671558660821804,20,1,1,0,0,0
ASB,Finance,Banks - Midwest,0__0,0,3,0.0,1. p999999_trade_value,13500.0,13500.0,O:ASB250516C00022500,ASB,C,22.5,2025-05-16,209,0,308,0.75,1745524105237000000,180,13500.0,2025-04-24,3000.0,30,True,Automatic Execution,Finance,Banks - Midwest,21.27,22.05,21.16,22.02,1,4.1303337684950066,20,1,1,1,1,0
BANC,Finance,Banks - Southwest,10__0,10,3,0.0,8. p75_trade_value,6266.0,8595.0,O:BANC241115P00015000,BANC,P,15.0,2024-11-15,209,0,320,0.45,1730489746267000000,191,8595.0,2024-11-01,3000.0,30,True,Automatic Execution,Finance,Banks - Southwest,15.47,15.6,15.2,15.3,3,3.934245881023071,20,3,1,0,0,0
BANC,Finance,Banks - Southwest,10__0,10,3,0.0,8. p75_trade_value,6266.0,8595.0,O:BANC1250117P00015000,BANC,P,15.0,2025-01-17,227,0,302,4.82,1735052851106000000,13,6266.0,2024-12-24,3000.0,30,True,Single Leg Auction Non ISO,Finance,Banks - Southwest,15.53,15.67,15.32,15.56,4,3.7969903905456865,20,4,1,0,0,0
