security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,1. p999999_trade_value,18009600.0,18009600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,2. p99999_trade_value,13616100.0,13600000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,3. p9999_trade_value,13084200.000000002,6583410.000000001,12.0,25.0,0.48,0.55,2. BELOW BASELINE,13.0,28.0,0.4642857142857143
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,4. p999_trade_value,6573880.0,1715700.0,114.0,248.0,0.4596774193548387,0.55,2. BELOW BASELINE,127.0,276.0,0.4601449275362319
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,5. p99_trade_value,1714657.0,105000.0,1131.0,2483.0,0.45549738219895286,0.55,2. BELOW BASELINE,1258.0,2759.0,0.4559623051830373
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,6. p95_trade_value,104939.99999999999,30659.999999999996,5452.0,11012.0,0.4950962586269524,0.55,2. BELOW BASELINE,6710.0,13771.0,0.48725582746351026
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,7. p90_trade_value,30657.0,18473.0,6689.0,13771.0,0.4857308837411953,0.55,2. BELOW BASELINE,13399.0,27542.0,0.4864933556023528
COIN,Finance,Financial - Miscellaneous Services,55__1,55,1,1.0,8. p75_trade_value,18470.0,9380.0,20046.0,41339.0,0.48491739035777354,0.55,2. BELOW BASELINE,33445.0,68881.0,0.4855475385084421
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,1. p999999_trade_value,1700000.0,1700000.0,0.0,1.0,0.0,0.55,1. ABOVE BASELINE,0.0,1.0,0.0
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,3. p9999_trade_value,1012500.0,740000.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,2.0,4.0,0.5
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,4. p999_trade_value,693450.0,258000.0,21.0,32.0,0.65625,0.55,1. ABOVE BASELINE,23.0,36.0,0.6388888888888888
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,5. p99_trade_value,254720.00000000003,66040.00000000001,159.0,318.0,0.5,0.55,2. BELOW BASELINE,182.0,354.0,0.5141242937853108
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,6. p95_trade_value,65670.0,23754.0,773.0,1408.0,0.5490056818181818,0.55,2. BELOW BASELINE,955.0,1762.0,0.5419977298524404
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,7. p90_trade_value,23735.000000000004,15400.0,952.0,1764.0,0.5396825396825397,0.55,2. BELOW BASELINE,1907.0,3526.0,0.5408394781622234
GS,Finance,Financial - Investment Bank,45__1,45,1,1.0,8. p75_trade_value,15390.0,8400.0,2859.0,5289.0,0.5405558706749858,0.55,2. BELOW BASELINE,4766.0,8815.0,0.5406693136698809
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,1. p999999_trade_value,1896000.0,1896000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,3. p9999_trade_value,1217349.9999999998,1035000.0,5.0,7.0,0.7142857142857143,0.55,1. ABOVE BASELINE,6.0,8.0,0.75
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,4. p999_trade_value,1010000.0,306159.0,28.0,56.0,0.5,0.55,2. BELOW BASELINE,34.0,64.0,0.53125
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,5. p99_trade_value,302400.0,72738.0,363.0,572.0,0.6346153846153846,0.55,2. BELOW BASELINE,397.0,636.0,0.6242138364779874
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,6. p95_trade_value,72600.0,27333.999999999996,1528.0,2540.0,0.6015748031496063,0.55,2. BELOW BASELINE,1925.0,3176.0,0.6061083123425692
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,7. p90_trade_value,27323.999999999996,17640.0,1946.0,3177.0,0.612527541706012,0.55,2. BELOW BASELINE,3871.0,6353.0,0.6093184322367385
HOOD,Finance,Financial - Investment Bank,50__1,50,1,1.0,8. p75_trade_value,17625.0,9400.0,5667.0,9564.0,0.592534504391468,0.55,2. BELOW BASELINE,9538.0,15917.0,0.5992335239052585
