security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ABL,Finance,Insurance - Life Insurance,0__2,0,3,2.0,1. p999999_trade_value,3060.0,3060.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,3,0.0,1. p999999_trade_value,7350.0,7350.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,3,0.0,7. p90_trade_value,7200.0,7200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ACIC,Finance,Insurance - Property and Casualty,10__0,10,3,0.0,8. p75_trade_value,5700.0,4990.000000000001,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,4.0,5.0,0.8
AFG,Finance,Insurance - Property and Casualty,0__2,0,3,2.0,1. p999999_trade_value,3750.0,3750.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AGO,Finance,Insurance - Multi line,15__0,15,3,0.0,1. p999999_trade_value,249690.0,249690.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AGO,Finance,Insurance - Multi line,15__0,15,3,0.0,6. p95_trade_value,20499.999999999996,9145.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AGO,Finance,Insurance - Multi line,15__0,15,3,0.0,7. p90_trade_value,6625.0,5040.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
AGO,Finance,Insurance - Multi line,15__0,15,3,0.0,8. p75_trade_value,5000.0,4050.0,5.0,6.0,0.8333333333333334,0.55,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
AIZ,Finance,Insurance - Multi line,5__3,5,3,3.0,1. p999999_trade_value,15480.000000000002,15480.000000000002,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMBC,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,1. p999999_trade_value,200000.0,200000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMBC,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,6. p95_trade_value,194249.99999999997,100000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AMBC,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,7. p90_trade_value,50120.00000000001,49979.99999999999,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
AMBC,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,8. p75_trade_value,45000.0,15500.0,2.0,7.0,0.2857142857142857,0.55,2. BELOW BASELINE,4.0,12.0,0.3333333333333333
AXS,Finance,Insurance - Property and Casualty,5__0,5,3,0.0,2. p99999_trade_value,5034.999999999999,5034.999999999999,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BRO,Finance,Insurance - Brokerage,15__0,15,3,0.0,1. p999999_trade_value,191040.0,191040.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BRO,Finance,Insurance - Brokerage,15__0,15,3,0.0,6. p95_trade_value,133371.0,89522.99999999999,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BRO,Finance,Insurance - Brokerage,15__0,15,3,0.0,7. p90_trade_value,15500.0,15330.000000000002,2.0,2.0,1.0,0.55,2. BELOW BASELINE,3.0,5.0,0.6
BRO,Finance,Insurance - Brokerage,15__0,15,3,0.0,8. p75_trade_value,13534.0,11340.0,6.0,6.0,1.0,0.55,2. BELOW BASELINE,9.0,11.0,0.8181818181818182
CIA,Finance,Insurance - Life Insurance,0__2,0,3,2.0,1. p999999_trade_value,3240.0,3240.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CINF,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,1. p999999_trade_value,267730.0,267730.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CINF,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,6. p95_trade_value,229840.0,38000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
CINF,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,7. p90_trade_value,23970.0,11600.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,4.0,5.0,0.8
CINF,Finance,Insurance - Property and Casualty,15__0,15,3,0.0,8. p75_trade_value,8750.0,7200.0,5.0,6.0,0.8333333333333334,0.55,2. BELOW BASELINE,9.0,11.0,0.8181818181818182
CNA,Finance,Insurance - Property and Casualty,5__3,5,3,3.0,1. p999999_trade_value,36000.0,36000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CNO,Finance,Insurance - Multi line,5__3,5,3,3.0,1. p999999_trade_value,18000.0,18000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EHTH,Finance,Insurance - Brokerage,10__0,10,3,0.0,1. p999999_trade_value,7400.0,7400.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EHTH,Finance,Insurance - Brokerage,10__0,10,3,0.0,8. p75_trade_value,6183.0,6183.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
