security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ABL,Finance,Insurance - Life Insurance,0.55,,,,1,0__2,0,2.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0
ACGL,Finance,Insurance - Property and Casualty,0.55,,,,127,20__0,20,0.0,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23
ACIC,Finance,Insurance - Property and Casualty,0.55,4990.000000000001,8. p75_trade_value,5.0,17,10__0,10,0.0,6300.0,7230.0,7326.0,7347.6,7349.76,7349.98,7350.0
AFG,Finance,Insurance - Property and Casualty,0.55,3750.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0
AFL,Finance,Insurance - Accident and Health,0.55,136375.0,5. p99_trade_value,3.0,203,25__0,25,0.0,14676.0,31639.9,135297.5,175555.95,181378.1,181960.31,182018.53
AGO,Finance,Insurance - Multi line,0.55,,,,42,15__0,15,0.0,5036.0,9019.0,155722.1,240293.21,248750.32,249596.03,249680.6
AIG,Finance,Insurance - Multi line,0.55,,,,758,30__2,30,2.0,13786.0,21462.75,38466.75,143611.77,201106.68,206856.17,207431.12
AIZ,Finance,Insurance - Multi line,0.55,15480.000000000002,1. p999999_trade_value,1.0,4,5__3,5,3.0,12078.0,13779.0,15139.8,15445.98,15476.6,15479.66,15479.97
AJG,Finance,Insurance - Brokerage,0.55,,,,642,30__2,30,2.0,10029.8,14865.6,39356.55,101275.75,103727.58,103972.76,103997.28
ALL,Finance,Insurance - Property and Casualty,0.55,,,,531,25__0,25,0.0,19000.0,27775.0,77802.5,253900.0,287290.0,290629.0,290962.9
AMBC,Finance,Insurance - Property and Casualty,0.55,,,,45,15__0,15,0.0,47988.0,90024.0,197470.0,199747.0,199974.7,199997.47,199999.75
AON,Finance,Insurance - Brokerage,0.55,520000.0,1. p999999_trade_value,1.0,451,25__0,25,0.0,15808.0,20250.0,190000.0,502000.0,518200.0,519820.0,519982.0
AXS,Finance,Insurance - Property and Casualty,0.55,,,,4,5__0,5,0.0,4663.0,4849.0,4997.8,5031.28,5034.63,5034.96,5035.0
BHF,Finance,Insurance - Life Insurance,0.55,,,,312,25__0,25,0.0,21937.5,28420.5,74278.4,657013.0,857701.3,877770.13,879777.01
BRO,Finance,Insurance - Brokerage,0.55,191040.0,1. p999999_trade_value,1.0,42,15__0,15,0.0,15150.4,85821.85,167395.71,188675.57,190803.56,191016.36,191037.64
BWIN,Finance,Insurance - Life Insurance,0.55,,,,141,20__0,20,0.0,20352.0,25800.0,44320.0,57911.96,59598.6,59767.26,59784.13
CB,Finance,Insurance - Property and Casualty,0.55,57000.0,1. p999999_trade_value,1.0,585,30__2,30,2.0,16444.0,21500.0,35884.8,54664.0,56766.4,56976.64,56997.66
CIA,Finance,Insurance - Life Insurance,0.55,3240.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0
CINF,Finance,Insurance - Property and Casualty,0.55,38000.0,6. p95_trade_value,3.0,41,15__0,15,0.0,11600.0,38000.0,252574.0,266214.4,267578.44,267714.84,267728.48
CNA,Finance,Insurance - Property and Casualty,0.55,36000.0,1. p999999_trade_value,1.0,2,5__3,5,3.0,33700.0,34850.0,35770.0,35977.0,35997.7,35999.77,35999.98
CNO,Finance,Insurance - Multi line,0.55,,,,2,5__3,5,3.0,16635.0,17317.5,17863.5,17986.35,17998.64,17999.86,17999.99
CRBG,Finance,Insurance - Multi line,0.55,,,,206,25__0,25,0.0,14747.5,24600.0,59625.0,356040.0,413604.0,419360.4,419936.04
EG,Finance,Insurance - Multi line,0.55,660000.0000000001,1. p999999_trade_value,1.0,224,25__0,25,0.0,14023.0,23991.0,52385.0,546270.0,648627.0,658862.7,659886.27
EHTH,Finance,Insurance - Brokerage,0.55,,,,6,10__0,10,0.0,6791.5,7095.75,7339.15,7393.92,7399.39,7399.94,7399.99
EQH,Finance,Insurance - Multi line,0.55,7650.0,8. p75_trade_value,4.0,15,10__3,10,3.0,11736.0,75024.0,190204.8,216120.48,218712.05,218971.2,218997.12
ERIE,Finance,Insurance - Brokerage,0.55,,,,118,20__0,20,0.0,8820.0,10146.5,23139.6,33147.0,34094.7,34189.47,34198.95
ETOR,Finance,Insurance - Brokerage,0.55,117000.0,1. p999999_trade_value,1.0,266,25__0,25,0.0,19355.0,36324.75,81903.7,116969.0,116996.9,116999.69,116999.97
EVER,Finance,Insurance - Multi line,0.55,,,,5,5__3,5,3.0,13566.0,15283.0,16656.6,16965.66,16996.57,16999.66,16999.97
FAF,Finance,Insurance - Property and Casualty,0.55,3960.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0
FNF,Finance,Insurance - Multi line,0.55,,,,9,10__0,10,0.0,8292.0,11646.0,14329.2,14932.92,14993.29,14999.33,14999.93
GL,Finance,Insurance - Accident and Health,0.55,,,,232,25__0,25,0.0,21271.5,33360.0,61209.5,101597.29,107503.73,108094.37,108153.44
GNW,Finance,Insurance - Life Insurance,0.55,13619.999999999998,8. p75_trade_value,7.0,28,15__0,15,0.0,25000.0,25000.0,33263.6,36014.36,36289.44,36316.94,36319.69
GSHD,Finance,Insurance - Multi line,0.55,,,,36,15__0,15,0.0,10035.0,11687.5,31200.0,40020.0,40902.0,40990.2,40999.02
HCI,Finance,Insurance - Property and Casualty,0.55,10784.0,8. p75_trade_value,2.0,8,10__0,10,0.0,11043.8,11346.9,11589.38,11643.94,11649.39,11649.94,11649.99
HIG,Finance,Insurance - Property and Casualty,0.55,6600.0,8. p75_trade_value,27.0,102,20__0,20,0.0,10287.0,16417.5,23095.8,33888.0,34978.8,35087.88,35098.79
HIPO,Finance,Insurance - Multi line,0.55,22000.000000000004,6. p95_trade_value,2.0,26,15__0,15,0.0,19980.0,21495.0,35500.0,39550.0,39955.0,39995.5,39999.55
HRTG,Finance,Insurance - Property and Casualty,0.55,10800.0,8. p75_trade_value,4.0,11,10__0,10,0.0,11050.0,14332.5,16958.5,17549.35,17608.44,17614.34,17614.93
JXN,Finance,Insurance - Life Insurance,0.55,10000.0,8. p75_trade_value,28.0,109,20__0,20,0.0,20200.0,26400.0,33554.0,47463.8,48936.38,49083.64,49098.36
KINS,Finance,Insurance - Property and Casualty,0.55,7800.0,8. p75_trade_value,3.0,12,10__0,10,0.0,8700.0,9790.0,10758.0,10975.8,10997.58,10999.76,10999.98
KNSL,Finance,Insurance - Property and Casualty,0.55,,,,124,20__0,20,0.0,15984.0,27500.0,48651.4,63876.16,65774.12,65963.91,65982.89
L,Finance,Insurance - Multi line,0.55,,,,14,10__0,10,0.0,4830.0,5302.5,6004.5,6162.45,6178.24,6179.82,6179.98
LMND,Finance,Insurance - Multi line,0.55,,,,3527,35__0,35,0.0,16670.0,24150.0,59124.2,142350.09,177791.58,188779.16,189877.92
LNC,Finance,Insurance - Life Insurance,0.55,,,,202,25__0,25,0.0,12960.0,19237.5,39785.76,96981.63,108698.16,109869.82,109986.98
MBI,Finance,Insurance - Multi line,0.55,,,,4,5__3,5,3.0,13363.5,14181.75,14836.35,14983.63,14998.36,14999.84,14999.98
MCY,Finance,Insurance - Property and Casualty,0.55,,,,317,25__0,25,0.0,14464.0,27219.0,132025.6,360396.9,403689.69,408018.97,408451.9
MET,Finance,Insurance - Multi line,0.55,,,,214,25__0,25,0.0,15540.0,25567.5,38056.06,61414.15,64641.41,64964.14,64996.41
MFC,Finance,Insurance - Life Insurance,0.55,,,,17,10__0,10,0.0,11205.0,11660.0,12972.0,13267.2,13296.72,13299.67,13299.97
MMC,Finance,Insurance - Brokerage,0.55,6959.999999999999,8. p75_trade_value,28.0,112,20__0,20,0.0,11712.0,14608.5,65751.12,77246.09,77924.61,77992.46,77999.25
MTG,Finance,Insurance - Multi line,0.55,10980.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,10980.0,10980.0,10980.0,10980.0,10980.0,10980.0,10980.0
ORI,Finance,Insurance - Multi line,0.55,58960.0,1. p999999_trade_value,1.0,9,10__0,10,0.0,53392.0,56176.0,58403.2,58904.32,58954.43,58959.44,58959.94
OSCR,Finance,Insurance - Multi line,0.55,,,,1052,30__0,30,0.0,17637.5,33558.25,173987.5,515760.0,700324.18,719832.42,721783.24
PFG,Finance,Insurance - Multi line,0.55,22200.0,7. p90_trade_value,2.0,14,10__0,10,0.0,19975.2,28802.75,38612.55,40819.76,41040.48,41062.55,41064.75
