security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CBRE,Finance,Real Estate - Operations,25__0,25,2,0.0,1. p999999_trade_value,548475.0,548475.0,O:CBRE250516C00130000,CBRE,C,130.0,2025-05-16,235,0,300,3.09,1745420553550000000,1775,548475.0,2025-04-23,3000.0,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,122.36,125.95,120.99,122.05,1,5.739156836815948,20,1,1,1,1,0
HHH,Finance,Real Estate - Development,20__0,20,2,0.0,1. p999999_trade_value,91908.0,91908.0,O:HHH250516C00075000,HHH,C,75.0,2025-05-16,209,0,325,0.92,1745945562707000000,999,91908.0,2025-04-29,3000.0,30,True,Automatic Execution,Finance,Real Estate - Development,67.03,68.22,66.3438,67.71,1,4.9633533155715375,20,1,1,0,0,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN240920C00011500,RDFN,C,11.5,2024-09-20,229,0,301,0.3,1725991960826000000,8500,255000.0,2024-09-10,3000.0,30,True,Single Leg Cross Non ISO,Finance,Real Estate - Operations,10.53,10.85,10.04,10.82,9,5.4065401804339555,20,1,1,1,1,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN240927C00014500,RDFN,C,14.5,2024-09-27,239,0,302,0.61,1726239624040000000,6800,414800.0,2024-09-13,3000.0,30,True,Multi Leg floor trade against single leg(s),Finance,Real Estate - Operations,11.7,14.47,11.68,14.45,4,5.617838747717004,20,1,1,0,0,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN240927C00014500,RDFN,C,14.5,2024-09-27,239,0,302,0.61,1726239848995000000,6800,414800.0,2024-09-13,3000.0,30,True,Multi Leg floor trade against single leg(s),Finance,Real Estate - Operations,11.7,14.47,11.68,14.45,3,5.617838747717004,20,1,1,0,0,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,1. p999999_trade_value,603500.0,603500.0,O:RDFN240927C00014500,RDFN,C,14.5,2024-09-27,239,0,302,0.71,1726239756342000000,8500,603500.0,2024-09-13,3000.0,30,True,Multi Leg floor trade against single leg(s),Finance,Real Estate - Operations,11.7,14.47,11.68,14.45,1,5.780677274433368,20,1,1,0,0,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN241011C00013000,RDFN,C,13.0,2024-10-11,235,0,301,0.42,1727893554040000000,8500,357000.0,2024-10-02,3000.0,30,True,Multi Leg floor trade,Finance,Real Estate - Operations,12.4,12.53,11.615,11.71,5,5.552668216112194,20,1,0,0,0,1
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN241018C00011500,RDFN,C,11.5,2024-10-18,233,0,323,0.31,1728309920032000000,8500,263500.0,2024-10-07,3000.0,30,True,Multi Leg Auction,Finance,Real Estate - Operations,11.04,11.066,10.01,10.32,8,5.420780619548565,20,1,0,0,0,1
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN241101C00011000,RDFN,C,11.0,2024-11-01,233,0,323,0.33,1729696375199000000,8499,280467.0,2024-10-23,3000.0,30,True,Multi Leg Auction,Finance,Real Estate - Operations,10.45,10.57,9.955,10.18,7,5.447881769117987,20,1,0,0,0,1
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN241108C00011000,RDFN,C,11.0,2024-11-08,233,0,302,0.55,1730316634446000000,8500,467500.0,2024-10-30,3000.0,30,True,Multi Leg Auction,Finance,Real Estate - Operations,9.7,10.445,9.675,10.32,2,5.669781615208537,20,1,1,0,0,0
RDFN,Finance,Real Estate - Operations,30__0,30,2,0.0,5. p99_trade_value,255000.0,467500.0,O:RDFN241108P00010000,RDFN,P,10.0,2024-11-08,227,0,301,0.39,1730737568991000000,8412,328068.0,2024-11-04,3000.0,30,True,Single Leg Auction Non ISO,Finance,Real Estate - Operations,10.39,11.09,10.21,10.44,6,5.515963871040783,20,1,1,1,1,0
