security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,1. p999999_trade_value,315000.0,315000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,5. p99_trade_value,220000.0,179475.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,6. p95_trade_value,164250.0,74940.0,7.0,10.0,0.7,0.55,2. BELOW BASELINE,9.0,13.0,0.6923076923076923
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,7. p90_trade_value,72355.0,29976.0,5.0,13.0,0.38461538461538464,0.55,2. BELOW BASELINE,14.0,26.0,0.5384615384615384
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,8. p75_trade_value,29070.0,9810.0,29.0,39.0,0.7435897435897436,0.55,2. BELOW BASELINE,43.0,65.0,0.6615384615384615
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,1. p999999_trade_value,120000.0,120000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,5. p99_trade_value,110000.0,100000.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,6. p95_trade_value,90000.0,34993.0,7.0,17.0,0.4117647058823529,0.55,2. BELOW BASELINE,10.0,21.0,0.47619047619047616
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,7. p90_trade_value,30000.0,16506.0,12.0,17.0,0.7058823529411765,0.55,2. BELOW BASELINE,22.0,38.0,0.5789473684210527
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,8. p75_trade_value,16303.0,8442.0,30.0,57.0,0.5263157894736842,0.55,2. BELOW BASELINE,52.0,95.0,0.5473684210526316
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,1. p999999_trade_value,340000.0,340000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
