security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADC,Finance,REIT and Equity Trust - Retail,5__0,5,3,0.0,1. p999999_trade_value,7000.0,7000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AHR,Finance,REIT and Equity Trust - Other,5__0,5,3,0.0,1. p999999_trade_value,10625.0,10625.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AHT,Finance,REIT and Equity Trust - Other,0__2,0,3,2.0,1. p999999_trade_value,3700.0,3700.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AKR,Finance,REIT and Equity Trust - Retail,0__2,0,3,2.0,1. p999999_trade_value,5824.0,5824.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ALEX,Finance,REIT and Equity Trust - Other,0__0,0,3,0.0,1. p999999_trade_value,9280.000000000002,9280.000000000002,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMH,Finance,REIT and Equity Trust - Residential,0__2,0,3,2.0,1. p999999_trade_value,3680.0000000000005,3680.0000000000005,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,3,0.0,1. p999999_trade_value,29939.999999999996,29939.999999999996,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,3,0.0,6. p95_trade_value,25000.0,25000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,3,0.0,7. p90_trade_value,18148.0,16379.999999999998,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,3,0.0,8. p75_trade_value,15950.0,9200.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,6.0,9.0,0.6666666666666666
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,3,0.0,1. p999999_trade_value,14100.0,14100.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,3,0.0,7. p90_trade_value,13200.0,13200.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,3,0.0,8. p75_trade_value,10620.0,9975.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,3.0,5.0,0.6
BIP,Finance,REIT and Equity Trust - Other,5__0,5,3,0.0,1. p999999_trade_value,8910.0,8910.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BXMT,Finance,REIT and Equity Trust,15__0,15,3,0.0,1. p999999_trade_value,20127.0,20127.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
BXMT,Finance,REIT and Equity Trust,15__0,15,3,0.0,7. p90_trade_value,15000.0,12475.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,4.0,0.25
BXMT,Finance,REIT and Equity Trust,15__0,15,3,0.0,8. p75_trade_value,10890.0,7245.0,3.0,4.0,0.75,0.55,2. BELOW BASELINE,4.0,8.0,0.5
CHCT,Finance,REIT and Equity Trust - Other,10__0,10,3,0.0,1. p999999_trade_value,9000.0,9000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CHCT,Finance,REIT and Equity Trust - Other,10__0,10,3,0.0,8. p75_trade_value,8000.0,8000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
CIM,Finance,REIT and Equity Trust,15__0,15,3,0.0,1. p999999_trade_value,34000.0,34000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
