security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ABCL,Medical,Medical - Biomedical and Genetics,0.55,,,,3,5__0,5,3,0.0,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99
ABEO,Medical,Medical - Biomedical and Genetics,0.55,7200.0,8. p75_trade_value,11.0,42,15__0,15,3,0.0,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66
ABSI,Medical,Medical - Biomedical and Genetics,0.55,,,,42,15__0,15,3,0.0,7436.0,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69
ABUS,Medical,Medical - Biomedical and Genetics,0.55,,,,3,5__0,5,3,0.0,5940.0,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0
ACB,Medical,Medical - Products,0.55,,,,45,15__0,15,3,0.0,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87
ACRS,Medical,Medical - Drugs,0.55,,,,4,5__0,5,3,0.0,4640.0,4820.0,4964.0,4996.4,4999.64,4999.96,5000.0
ADCT,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
ADUS,Medical,Medical - Outpatient and Home Healthcare,0.55,,,,39,15__0,15,3,0.0,8896.0,11463.0,19650.0,22215.0,22471.5,22497.15,22499.71
AGEN,Medical,Medical - Biomedical and Genetics,0.55,14700.0,1. p999999_trade_value,1.0,45,15__0,15,3,0.0,7735.2,10144.0,13952.0,14625.2,14692.52,14699.25,14699.93
AGIO,Medical,Medical - Biomedical and Genetics,0.55,100000.0,1. p999999_trade_value,1.0,28,15__0,15,3,0.0,40000.0,52350.0,88930.0,98893.0,99889.3,99988.93,99998.89
AHCO,Medical,Medical - Products,0.55,,,,5,5__0,5,3,0.0,13076.0,13468.0,13781.6,13852.16,13859.22,13859.92,13859.99
AKBA,Medical,Medical - Drugs,0.55,3500.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
ALDX,Medical,Medical - Drugs,0.55,,,,37,15__0,15,3,0.0,14820.0,16005.0,39623.08,50152.11,51205.01,51310.3,51320.83
ALEC,Medical,Medical - Biomedical and Genetics,0.55,,,,24,15__0,15,3,0.0,7550.0,9568.25,48464.35,58846.44,59884.64,59988.46,59998.85
