security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MGNX,Medical,Medical - Products,5__0,5,3,0.0,1. p999999_trade_value,7000.0,7000.0,O:MGNX241115P00004000,MGNX,P,4.0,2024-11-15,209,0,313,0.35,1729195149802000000,200,7000.0,2024-10-17,3000.0,30,True,Automatic Execution,Medical,Medical - Products,4.15,4.18,4.01,4.02,1,3.845098040014257,20,1,1,1,1,0
MIRM,Medical,Medical - Biomedical and Genetics,10__0,10,3,0.0,1. p999999_trade_value,59359.99999999999,59359.99999999999,O:MIRM250516C00045000,MIRM,C,45.0,2025-05-16,235,0,301,2.8,1745243836845000000,212,59359.99999999999,2025-04-21,3000.0,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,38.78,39.865,38.22,38.39,1,4.77349389227097,20,1,1,1,1,0
MLTX,Medical,Medical - Biomedical and Genetics,15__0,15,3,0.0,1. p999999_trade_value,23625.000000000004,23625.000000000004,O:MLTX250117P00050000,MLTX,P,50.0,2025-01-17,231,0,302,1.35,1734984482256000000,175,23625.000000000004,2024-12-23,3000.0,30,True,Single Leg Floor Trade,Medical,Medical - Biomedical and Genetics,52.12,52.99,51.51,52.14,1,4.373371817181301,20,1,1,1,1,0
MNKD,Medical,Medical - Biomedical and Genetics,10__0,10,3,0.0,1. p999999_trade_value,57681.00000000001,57681.00000000001,O:MNKD250117C00007000,MNKD,C,7.0,2025-01-17,235,0,313,0.17,1734534694584000000,3393,57681.00000000001,2024-12-18,3000.0,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,6.11,6.415,5.86,5.94,1,4.761032781023392,20,1,1,0,0,0
MNKD,Medical,Medical - Biomedical and Genetics,10__0,10,3,0.0,7. p90_trade_value,54304.0,54304.0,O:MNKD250117C00007000,MNKD,C,7.0,2025-01-17,235,0,313,0.16,1734534694582000000,3394,54304.0,2024-12-18,3000.0,30,True,Multi Leg floor trade,Medical,Medical - Biomedical and Genetics,6.11,6.415,5.86,5.94,2,4.734831820637582,20,2,1,0,0,0
MURA,Medical,Medical - Drugs,5__3,5,3,3.0,8. p75_trade_value,18500.0,18500.0,O:MURA250516P00002500,MURA,P,2.5,2025-05-16,209,0,316,0.25,1745242329463000000,740,18500.0,2025-04-21,3000.0,30,True,Automatic Execution,Medical,Medical - Drugs,2.6,2.79,2.55,2.69,2,4.267171728403014,20,2,1,1,0,0
MURA,Medical,Medical - Drugs,5__3,5,3,3.0,1. p999999_trade_value,20300.0,20300.0,O:MURA250516P00002500,MURA,P,2.5,2025-05-16,209,0,318,0.25,1745242257029000000,812,20300.0,2025-04-21,3000.0,30,True,Automatic Execution,Medical,Medical - Drugs,2.6,2.79,2.55,2.69,1,4.307496037913213,20,1,1,1,0,0
MYGN,Medical,Medical - Biomedical and Genetics,15__0,15,3,0.0,1. p999999_trade_value,22500.0,22500.0,O:MYGN241115P00021000,MYGN,P,21.0,2024-11-15,231,0,313,0.75,1729278044463000000,300,22500.0,2024-10-18,3000.0,30,True,Single Leg Floor Trade,Medical,Medical - Biomedical and Genetics,23.42,23.74,23.2,23.39,1,4.352182518111363,20,1,1,1,1,0
MYGN,Medical,Medical - Biomedical and Genetics,15__0,15,3,0.0,6. p95_trade_value,21280.0,21280.0,O:MYGN241115P00021000,MYGN,P,21.0,2024-11-15,209,0,323,1.4,1729789801470000000,152,21280.0,2024-10-24,3000.0,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,22.4,22.58,21.63,21.81,2,4.327971623623011,20,1,1,1,1,0
NAGE,Medical,Medical - Biomedical and Genetics,5__0,5,3,0.0,8. p75_trade_value,4725.0,4725.0,O:NAGE250516C00009000,NAGE,C,9.0,2025-05-16,209,0,308,0.25,1745417472294000000,189,4725.0,2025-04-23,3000.0,30,True,Automatic Execution,Medical,Medical - Biomedical and Genetics,7.15,7.39,7.145,7.19,2,3.674401812845282,20,2,1,1,1,0
