security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ALHC,Medical,Medical Services,0.55,160310.0,6. p95_trade_value,4.0,70,20__1,20,2,1.0,136085.6,157247.3,266164.6,434244.46,451052.45,452733.24,452901.32
AVTR,Medical,Medical Services,0.55,429795.0,1. p999999_trade_value,1.0,196,25__2,25,2,2.0,20405.0,66730.0,242484.0,405362.48,427351.75,429550.67,429770.57
COR,Medical,Medical Services,0.55,,,,881,30__2,30,2,2.0,10292.0,15736.0,68350.0,167508.0,180100.8,181360.08,181486.01
CRL,Medical,Medical Services,0.55,7400.0,8. p75_trade_value,119.0,473,25__0,25,2,0.0,13200.0,22000.0,77600.0,493719.24,535011.92,539141.19,539554.12
CVS,Medical,Medical Services,0.55,,,,6348,40__3,40,2,3.0,14260.0,23100.0,84687.45,336930.68,700091.5,731509.15,734650.91
DHR,Medical,Medical Services,0.55,95000.0,5. p99_trade_value,27.0,2673,35__0,35,2,0.0,15227.6,26250.0,93037.28,380145.5,538225.2,576042.12,579823.81
DOCS,Medical,Medical Services,0.55,190000.0,4. p999_trade_value,2.0,1617,30__2,30,2,2.0,15205.2,21636.0,51378.0,174600.0,280874.18,296638.42,298214.84
ELV,Medical,Medical Services,0.55,9360.0,8. p75_trade_value,597.0,2374,35__1,35,2,1.0,16623.0,27235.0,127268.1,449264.8,559671.28,570219.93,571274.79
ESTA,Medical,Medical Services,0.55,,,,152,20__3,20,2,3.0,22383.0,53046.0,304501.06,500457.98,522388.3,524581.33,524800.63
HQY,Medical,Medical Services,0.55,80000.0,1. p999999_trade_value,1.0,181,25__0,25,2,0.0,10000.0,14490.0,24994.4,73016.0,79301.6,79930.16,79993.02
ICLR,Medical,Medical Services,0.55,766800.0,1. p999999_trade_value,1.0,281,25__0,25,2,0.0,17940.0,24500.0,160000.0,621648.0,752284.8,765348.48,766654.85
LFMD,Medical,Medical Services,0.55,7530.0,8. p75_trade_value,29.0,113,20__0,20,2,0.0,13673.0,28650.0,40301.2,119962.0,128996.2,129899.62,129989.96
LH,Medical,Medical Services,0.55,500000.0,1. p999999_trade_value,1.0,111,20__3,20,2,3.0,18232.0,48100.0,256830.0,474007.0,497400.7,499740.07,499974.01
MEDP,Medical,Medical Services,0.55,540000.0,1. p999999_trade_value,1.0,620,30__0,30,2,0.0,27104.0,45296.5,140951.2,434522.4,529452.24,538945.22,539894.52
NTRA,Medical,Medical Services,0.55,,,,2603,35__0,35,2,0.0,15660.0,21440.0,75828.1,284918.84,818881.48,932838.15,944233.81
PACS,Medical,Medical Services,0.55,,,,213,25__0,25,2,0.0,14826.0,22500.0,42916.8,58100.64,60062.06,60258.21,60277.82
PGNY,Medical,Medical Services,0.55,36000.0,1. p999999_trade_value,1.0,58,20__0,20,2,0.0,12975.0,17085.5,27244.8,35124.48,35912.45,35991.24,35999.12
RVTY,Medical,Medical Services,0.55,52030.00000000001,6. p95_trade_value,3.0,60,20__3,20,2,3.0,12422.1,45351.5,168918.25,317239.83,332071.98,333555.2,333703.52
SGRY,Medical,Medical Services,0.55,,,,70,20__0,20,2,0.0,12567.5,30750.0,72291.5,106229.15,109622.91,109962.29,109996.23
SOLV,Medical,Medical Services,0.55,350000.0,1. p999999_trade_value,1.0,167,20__3,20,2,3.0,9840.0,13850.0,92672.0,318875.0,346887.5,349688.75,349968.87
TDOC,Medical,Medical Services,0.55,,,,743,30__2,30,2,2.0,9942.6,13008.0,30515.0,55134.16,55481.42,55516.14,55519.61
WGS,Medical,Medical Services,0.55,,,,2337,35__1,35,2,1.0,17709.4,30580.0,69910.0,425482.56,960864.0,1068086.4,1078808.64
