security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ALHC,Medical,Medical Services,20__1,20,2,1.0,1. p999999_trade_value,452920.0,452920.0,O:ALHC241115C00012500,ALHC,C,12.5,2024-11-15,235,0,301,0.67,1729271012309000000,6760,452920.0,2024-10-18,3000.0,30,True,Multi Leg floor trade,Medical,Medical Services,11.53,11.73,10.79,10.88,1,5.656021498642462,20,1,1,0,0,0
ALHC,Medical,Medical Services,20__1,20,2,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC241115C00015000,ALHC,C,15.0,2024-11-15,235,0,301,0.2,1729271012309000000,8300,166000.0,2024-10-18,3000.0,30,True,Multi Leg floor trade,Medical,Medical Services,11.53,11.73,10.79,10.88,3,5.220108088040055,20,1,0,0,0,1
ALHC,Medical,Medical Services,20__1,20,2,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC250117C00012500,ALHC,C,12.5,2025-01-17,235,0,313,0.26,1735313856847000000,7010,182260.0,2024-12-27,3000.0,30,True,Multi Leg floor trade,Medical,Medical Services,10.8,10.94,10.54,10.82,2,5.260691365937476,20,1,1,1,1,0
ALHC,Medical,Medical Services,20__1,20,2,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC250417C00017500,ALHC,C,17.5,2025-04-17,231,0,313,0.85,1742406673484000000,1886,160310.0,2025-03-19,3000.0,30,True,Single Leg Floor Trade,Medical,Medical Services,16.44,17.27,16.2,17.19,4,5.204960614115603,20,1,1,1,1,0
AVTR,Medical,Medical Services,25__2,25,2,2.0,1. p999999_trade_value,429795.0,429795.0,O:AVTR241115P00020500,AVTR,P,20.5,2024-11-15,231,0,313,0.15,1729864197244000000,28653,429795.0,2024-10-25,3000.0,30,True,Single Leg Floor Trade,Medical,Medical Services,22.65,22.9,22.14,22.43,1,5.633261358840301,20,1,1,1,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.5,1727276709165000000,15,8250.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,101,3.916453948549925,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.5,1727276611215000000,14,7700.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,112,3.886490725172482,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.5,1727276700748000000,15,8250.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,100,3.916453948549925,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,232,0,313,4.89,1727273563695000000,20,9780.0,2024-09-25,3000.0,30,True,Multi Leg auto-electronic trade,Medical,Medical Services,200.49,200.9,190.7162,192.9,75,3.9903388547876015,20,4,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.5,1727276703586000000,15,8250.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,102,3.916453948549925,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,307,5.1,1727277288177000000,18,9180.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,82,3.9628426812012423,20,4,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,7. p90_trade_value,13200.0,21339.999999999996,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.3,1727273875085000000,27,14310.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,44,4.155639633759776,20,2,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,5.5,1727276713772000000,14,7700.0,2024-09-25,3000.0,30,True,Automatic Execution,Medical,Medical Services,200.49,200.9,190.7162,192.9,111,3.886490725172482,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,325,3.7,1727366307497000000,24,8880.000000000002,2024-09-26,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.31,199.26,194.5,198.26,87,3.948412965778601,20,4,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,325,3.7,1727366169677000000,20,7400.0,2024-09-26,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.31,199.26,194.5,198.26,119,3.8692317197309762,20,5,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,4.0,1727714150540000000,30,12000.0,2024-09-30,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.92,198.98,194.2,196.97,59,4.079181246047625,20,3,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,4.0,1727708606953000000,30,12000.0,2024-09-30,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.92,198.98,194.2,196.97,60,4.079181246047625,20,3,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,4.0,1727707933559000000,31,12400.0,2024-09-30,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.92,198.98,194.2,196.97,54,4.093421685162235,20,3,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,4.0,1727708728174000000,31,12400.0,2024-09-30,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.92,198.98,194.2,196.97,53,4.093421685162235,20,3,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,7. p90_trade_value,13200.0,21339.999999999996,O:CRL241018P00190000,CRL,P,190.0,2024-10-18,209,0,316,4.0,1727708665210000000,33,13200.0,2024-09-30,3000.0,30,True,Automatic Execution,Medical,Medical Services,196.92,198.98,194.2,196.97,48,4.12057393120585,20,2,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241018C00195000,CRL,C,195.0,2024-10-18,227,0,323,4.39,1727963647748000000,20,8780.0,2024-10-03,3000.0,30,True,Single Leg Auction Non ISO,Medical,Medical Services,191.32,193.9,189.38,189.59,88,3.9434945159061026,20,4,1,1,1,0
CRL,Medical,Medical Services,25__0,25,2,0.0,6. p95_trade_value,22000.000000000004,73750.0,O:CRL241115C00210000,CRL,C,210.0,2024-11-15,209,0,316,5.3,1729089648587000000,73,38690.0,2024-10-16,3000.0,30,True,Automatic Execution,Medical,Medical Services,192.79,197.04,192.625,195.11,12,4.587598729721245,20,1,1,0,0,0
CRL,Medical,Medical Services,25__0,25,2,0.0,8. p75_trade_value,7400.0,12749.999999999998,O:CRL241115C00210000,CRL,C,210.0,2024-11-15,227,0,323,5.45,1729191104978000000,14,7630.0,2024-10-17,3000.0,30,True,Single Leg Auction Non ISO,Medical,Medical Services,198.07,198.6,195.55,197.78,113,3.8825245379548803,20,5,1,0,0,0
