security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,1. p999999_trade_value,573560.0,573560.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,4. p999_trade_value,343639.99999999994,304285.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,5. p99_trade_value,188344.99999999997,58753.0,7.0,22.0,0.3181818181818182,0.55,2. BELOW BASELINE,8.0,25.0,0.32
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,6. p95_trade_value,56745.00000000001,19800.0,50.0,97.0,0.5154639175257731,0.55,2. BELOW BASELINE,58.0,122.0,0.47540983606557374
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,7. p90_trade_value,19520.0,13400.0,68.0,122.0,0.5573770491803278,0.55,2. BELOW BASELINE,126.0,244.0,0.5163934426229508
BE,Oils-Energy,Alternative Energy - Other,35__0,35,0.0,8. p75_trade_value,13369.999999999998,8550.0,176.0,366.0,0.4808743169398907,0.55,2. BELOW BASELINE,302.0,610.0,0.49508196721311476
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,1. p999999_trade_value,470400.0,470400.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,4. p999_trade_value,340000.0,328680.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,5. p99_trade_value,249100.0,104059.99999999999,3.0,25.0,0.12,0.55,2. BELOW BASELINE,3.0,28.0,0.10714285714285714
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,6. p95_trade_value,100620.0,33040.0,30.0,109.0,0.27522935779816515,0.55,2. BELOW BASELINE,33.0,137.0,0.24087591240875914
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,7. p90_trade_value,33000.0,18200.0,53.0,137.0,0.38686131386861317,0.55,2. BELOW BASELINE,86.0,274.0,0.31386861313868614
NNE,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,8. p75_trade_value,18150.0,8792.0,196.0,410.0,0.47804878048780486,0.55,2. BELOW BASELINE,282.0,684.0,0.41228070175438597
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,1. p999999_trade_value,950000.0,950000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,4. p999_trade_value,828240.0,662999.9999999999,3.0,4.0,0.75,0.55,2. BELOW BASELINE,3.0,5.0,0.6
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,5. p99_trade_value,623310.0,170000.0,20.0,36.0,0.5555555555555556,0.55,2. BELOW BASELINE,23.0,41.0,0.5609756097560976
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,6. p95_trade_value,167960.0,34850.0,86.0,161.0,0.5341614906832298,0.55,2. BELOW BASELINE,109.0,202.0,0.5396039603960396
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,7. p90_trade_value,34840.0,22800.0,110.0,203.0,0.541871921182266,0.55,2. BELOW BASELINE,219.0,405.0,0.5407407407407407
TLN,Oils-Energy,Alternative Energy - Other,35__2,35,2.0,8. p75_trade_value,22750.0,11250.0,326.0,606.0,0.5379537953795379,0.55,2. BELOW BASELINE,545.0,1011.0,0.5390702274975272
