security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,1. p999999_trade_value,123400.0,123400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,6. p95_trade_value,90015.0,42000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,7. p90_trade_value,9825.0,8325.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,8. p75_trade_value,8245.0,6225.0,1.0,9.0,0.1111111111111111,0.55,2. BELOW BASELINE,2.0,15.0,0.13333333333333333
BYON,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,1. p999999_trade_value,125000.0,125000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BYON,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,5. p99_trade_value,75000.0,52500.0,3.0,4.0,0.75,0.55,1. ABOVE BASELINE,4.0,5.0,0.8
BYON,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,6. p95_trade_value,51870.00000000001,16200.0,8.0,16.0,0.5,0.55,2. BELOW BASELINE,12.0,21.0,0.5714285714285714
BYON,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,7. p90_trade_value,15419.999999999998,10320.0,12.0,20.0,0.6,0.55,2. BELOW BASELINE,24.0,41.0,0.5853658536585366
BYON,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,8. p75_trade_value,10000.0,6850.0,31.0,60.0,0.5166666666666667,0.55,2. BELOW BASELINE,55.0,101.0,0.5445544554455446
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,1. p999999_trade_value,650000.0,650000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,4. p999_trade_value,420000.0,420000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,5. p99_trade_value,416000.0,56979.99999999999,8.0,10.0,0.8,0.55,1. ABOVE BASELINE,10.0,12.0,0.8333333333333334
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,6. p95_trade_value,55500.0,19100.0,26.0,45.0,0.5777777777777777,0.55,1. ABOVE BASELINE,36.0,57.0,0.631578947368421
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,7. p90_trade_value,19000.0,13068.0,36.0,57.0,0.631578947368421,0.55,1. ABOVE BASELINE,72.0,114.0,0.631578947368421
CART,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,8. p75_trade_value,13020.000000000002,7789.999999999999,107.0,170.0,0.6294117647058823,0.55,1. ABOVE BASELINE,179.0,284.0,0.6302816901408451
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,1. p999999_trade_value,460000.0,460000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,4. p999_trade_value,396758.00000000006,331520.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,0.0,4.0,0.0
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,5. p99_trade_value,324530.0,98700.0,10.0,33.0,0.30303030303030304,0.55,2. BELOW BASELINE,10.0,37.0,0.2702702702702703
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,6. p95_trade_value,97318.0,27136.0,71.0,147.0,0.48299319727891155,0.55,2. BELOW BASELINE,81.0,184.0,0.44021739130434784
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,7. p90_trade_value,26983.0,16384.0,98.0,183.0,0.5355191256830601,0.55,2. BELOW BASELINE,179.0,367.0,0.4877384196185286
CHWY,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,8. p75_trade_value,16335.000000000002,8295.0,296.0,550.0,0.5381818181818182,0.55,2. BELOW BASELINE,475.0,917.0,0.5179934569247546
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,1. p999999_trade_value,323082.0,323082.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,5. p99_trade_value,109872.0,66740.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,6. p95_trade_value,62340.0,18810.000000000004,10.0,33.0,0.30303030303030304,0.55,2. BELOW BASELINE,15.0,42.0,0.35714285714285715
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,7. p90_trade_value,18660.0,12000.0,19.0,42.0,0.4523809523809524,0.55,2. BELOW BASELINE,34.0,84.0,0.40476190476190477
CPNG,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,8. p75_trade_value,11819.000000000002,7600.0,60.0,123.0,0.4878048780487805,0.55,2. BELOW BASELINE,94.0,207.0,0.45410628019323673
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,1. p999999_trade_value,807360.0,807360.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,4. p999_trade_value,738000.0,738000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,5. p99_trade_value,501000.0,148000.0,8.0,13.0,0.6153846153846154,0.55,2. BELOW BASELINE,9.0,15.0,0.6
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,6. p95_trade_value,135000.0,26292.0,32.0,54.0,0.5925925925925926,0.55,2. BELOW BASELINE,41.0,69.0,0.5942028985507246
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,7. p90_trade_value,25449.0,14616.0,47.0,69.0,0.6811594202898551,0.55,2. BELOW BASELINE,88.0,138.0,0.6376811594202898
