security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAL,Transportation,Transportation - Airline,0.55,14850.0,7. p90_trade_value,410.0,4099,35__1,35,2,1.0,14842.8,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42
AER,Transportation,Transportation - Equipment and Leasing,0.55,32130.0,6. p95_trade_value,12.0,239,25__0,25,2,0.0,14838.4,31900.5,210004.44,302505.0,313750.5,314875.05,314987.51
ALGT,Transportation,Transportation - Airline,0.55,9625.0,8. p75_trade_value,16.0,63,20__0,20,2,0.0,21861.0,25956.0,35995.6,37457.56,37603.76,37618.38,37619.84
ALK,Transportation,Transportation - Airline,0.55,,,,703,30__1,30,2,1.0,18531.0,38152.5,386346.4,1165234.0,1691523.4,1744152.34,1749415.23
CAR,Transportation,Transportation - Services,0.55,552500.0,4. p999_trade_value,4.0,3521,35__0,35,2,0.0,14000.0,23680.0,70409.6,486200.0,998768.0,1059276.8,1065327.68
CHRW,Transportation,Transportation - Services,0.55,229860.0,5. p99_trade_value,3.0,267,25__2,25,2,2.0,22491.0,35418.0,197586.0,670720.0,809572.0,823457.2,824845.72
CP,Transportation,Transportation - Rail,0.55,,,,317,25__0,25,2,0.0,12214.0,33940.8,135082.56,586727.3,647610.23,653698.52,654307.35
CPA,Transportation,Transportation - Airline,0.55,,,,65,20__0,20,2,0.0,11210.4,15266.0,30198.4,52915.84,55187.58,55414.76,55437.48
CSX,Transportation,Transportation - Rail,0.55,,,,231,25__2,25,2,2.0,19600.0,60637.5,98548.8,346350.0,399135.0,404413.5,404941.35
DAL,Transportation,Transportation - Airline,0.55,,,,6935,40__0,40,2,0.0,15274.8,24683.8,82842.36,701012.4,1488997.09,1813762.91,1846239.49
FDX,Transportation,Transportation - Air Freight and Cargo,0.55,,,,16116,40__3,40,2,3.0,15000.0,22210.0,55327.5,275947.86,785284.58,1269027.8,1331102.78
FRO,Transportation,Transportation - Shipping,0.55,,,,273,25__0,25,2,0.0,18747.0,41886.0,179883.2,210000.0,210000.0,210000.0,210000.0
FWRD,Transportation,Transportation - Truck,0.55,,,,599,30__2,30,2,2.0,11130.0,19953.0,120000.0,332260.44,343681.04,344823.1,344937.31
GXO,Transportation,Transportation - Air Freight and Cargo,0.55,,,,180,25__0,25,2,0.0,12219.0,19949.0,171088.85,180369.62,181386.96,181488.7,181498.87
