security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AIOT,Transportation,Transportation - Services,15__0,15,3,0.0,1. p999999_trade_value,112500.0,112500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AIOT,Transportation,Transportation - Services,15__0,15,3,0.0,6. p95_trade_value,90000.0,90000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
AIOT,Transportation,Transportation - Services,15__0,15,3,0.0,7. p90_trade_value,80520.0,80520.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
AIOT,Transportation,Transportation - Services,15__0,15,3,0.0,8. p75_trade_value,73500.0,45500.0,0.0,4.0,0.0,0.55,2. BELOW BASELINE,0.0,7.0,0.0
AL,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,1. p999999_trade_value,16000.0,16000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AL,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,6. p95_trade_value,11499.999999999998,11499.999999999998,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AL,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,7. p90_trade_value,9750.0,9750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AL,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,8. p75_trade_value,9240.0,6700.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,7.0,0.42857142857142855
ARCB,Transportation,Transportation - Truck,15__1,15,3,1.0,1. p999999_trade_value,468000.0,468000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ARCB,Transportation,Transportation - Truck,15__1,15,3,1.0,6. p95_trade_value,140000.0,29200.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ARCB,Transportation,Transportation - Truck,15__1,15,3,1.0,7. p90_trade_value,27924.0,11519.999999999998,1.0,2.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
ARCB,Transportation,Transportation - Truck,15__1,15,3,1.0,8. p75_trade_value,9690.0,8415.0,5.0,6.0,0.8333333333333334,0.55,2. BELOW BASELINE,8.0,11.0,0.7272727272727273
ASC,Transportation,Transportation - Shipping,10__0,10,3,0.0,1. p999999_trade_value,5000.0,5000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ASC,Transportation,Transportation - Shipping,10__0,10,3,0.0,8. p75_trade_value,4464.0,4428.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
CAAP,Transportation,Transportation - Airline,5__0,5,3,0.0,1. p999999_trade_value,6000.0,6000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
CMBT,Transportation,Transportation - Shipping,0__2,0,3,2.0,1. p999999_trade_value,3250.0,3250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CNI,Transportation,Transportation - Rail,15__0,15,3,0.0,1. p999999_trade_value,54945.00000000001,54945.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CNI,Transportation,Transportation - Rail,15__0,15,3,0.0,6. p95_trade_value,19000.0,12919.999999999998,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CNI,Transportation,Transportation - Rail,15__0,15,3,0.0,7. p90_trade_value,12125.0,10176.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,3.0,6.0,0.5
CNI,Transportation,Transportation - Rail,15__0,15,3,0.0,8. p75_trade_value,10150.0,6500.0,3.0,8.0,0.375,0.55,2. BELOW BASELINE,6.0,14.0,0.42857142857142855
CYRX,Transportation,Transportation - Services,0__2,0,3,2.0,1. p999999_trade_value,3690.0,3690.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DAC,Transportation,Transportation - Shipping,10__0,10,3,0.0,1. p999999_trade_value,9300.0,9300.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DAC,Transportation,Transportation - Shipping,10__0,10,3,0.0,7. p90_trade_value,5400.0,5400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
DAC,Transportation,Transportation - Shipping,10__0,10,3,0.0,8. p75_trade_value,5100.0,5050.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
DHT,Transportation,Transportation - Shipping,15__0,15,3,0.0,1. p999999_trade_value,60000.0,60000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
DHT,Transportation,Transportation - Shipping,15__0,15,3,0.0,6. p95_trade_value,51558.00000000001,15000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
DHT,Transportation,Transportation - Shipping,15__0,15,3,0.0,7. p90_trade_value,13950.0,13442.000000000002,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
DHT,Transportation,Transportation - Shipping,15__0,15,3,0.0,8. p75_trade_value,12500.0,6350.0,8.0,8.0,1.0,0.55,2. BELOW BASELINE,10.0,13.0,0.7692307692307693
DSX,Transportation,Transportation - Shipping,0__2,0,3,2.0,1. p999999_trade_value,6980.0,6980.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
