security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AEP,Utilities,Utility - Electric Power,0.55,7100.0,8. p75_trade_value,60.0,240,25__0,25,2,0.0,13750.0,24586.75,126338.51,153431.28,154825.13,154964.51,154978.45
AES,Utilities,Utility - Electric Power,0.55,31500.0,6. p95_trade_value,27.0,525,25__0,25,2,0.0,18944.0,31455.0,92500.0,167956.35,196795.64,199679.56,199967.96
D,Utilities,Utility - Electric Power,0.55,,,,165,20__0,20,2,0.0,18215.4,24216.8,48195.36,132790.54,146695.05,148085.51,148224.55
DUK,Utilities,Utility - Electric Power,0.55,80000.0,5. p99_trade_value,5.0,471,25__0,25,2,0.0,13800.0,26488.5,71152.0,1036943.0,1156694.3,1168669.43,1169866.94
ED,Utilities,Utility - Electric Power,0.55,6669.999999999999,8. p75_trade_value,29.0,115,20__0,20,2,0.0,12710.0,23720.0,119369.5,142324.03,144745.9,144988.09,145012.31
EIX,Utilities,Utility - Electric Power,0.55,,,,713,30__2,30,2,2.0,16233.0,22186.0,106323.2,353207.52,426604.75,433944.48,434678.45
ETR,Utilities,Utility - Electric Power,0.55,68750.0,1. p999999_trade_value,1.0,180,25__0,25,2,0.0,10725.5,16675.0,46395.16,67802.37,68655.24,68740.52,68749.05
EXC,Utilities,Utility - Electric Power,0.55,,,,68,20__0,20,2,0.0,13469.6,20030.0,56295.0,63229.5,63922.95,63992.3,63999.23
HE,Utilities,Utility - Electric Power,0.55,8832.0,8. p75_trade_value,17.0,66,20__0,20,2,0.0,14051.0,17995.5,72818.2,112581.82,116558.18,116955.82,116995.58
NEE,Utilities,Utility - Electric Power,0.55,,,,2955,35__1,35,2,1.0,15781.2,25359.0,90791.34,480985.32,1013505.8,1152550.58,1166455.06
NRG,Utilities,Utility - Electric Power,0.55,17920.0,7. p90_trade_value,130.0,1299,30__2,30,2,2.0,17840.0,30110.4,79808.0,217848.0,252964.75,256718.87,257094.29
PCG,Utilities,Utility - Electric Power,0.55,,,,520,25__2,25,2,2.0,16326.0,37321.4,209160.0,787025.0,798702.5,799870.25,799987.02
PEG,Utilities,Utility - Electric Power,0.55,,,,113,20__2,20,2,2.0,26581.2,118093.0,525030.0,1741782.0,1876438.2,1889903.82,1891250.38
PPL,Utilities,Utility - Electric Power,0.55,107236.00000000001,1. p999999_trade_value,1.0,67,20__0,20,2,0.0,41454.0,54224.8,87008.32,105213.23,107033.72,107215.77,107233.98
SO,Utilities,Utility - Electric Power,0.55,,,,301,25__0,25,2,0.0,28000.0,47880.0,99920.0,141700.0,150070.0,150907.0,150990.7
SRE,Utilities,Utility - Gas Distribution,0.55,93335.0,1. p999999_trade_value,1.0,62,20__0,20,2,0.0,13325.0,17910.0,73703.37,91371.84,93138.68,93315.37,93333.04
WEC,Utilities,Utility - Electric Power,0.55,,,,80,20__0,20,2,0.0,13566.0,20381.75,64076.65,64336.17,64362.12,64364.71,64364.97
XEL,Utilities,Utility - Electric Power,0.55,,,,73,20__0,20,2,0.0,8796.0,13842.0,19391.2,20875.12,21023.51,21038.35,21039.84
