security,sector,industry,num_trades,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank
A,Medical,Medical - Products,585,17500.0,30696.0,144761.28,306042.05,352716.9,357384.39,357851.14,30,0.0,30__0,8
AA,Industrial Products,Metal Products - Distribution,1648,17325.4,30156.0,106710.0,840000.0,840000.0,840000.0,840000.0,30,0.0,30__0,8
AAL,Transportation,Transportation - Airline,4099,14842.8,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42,35,2.0,35__2,7
AAOI,Computer and Technology,Electronics - Semiconductors,1828,18000.0,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2,35,0.0,35__0,7
AAON,Construction,Building Products - Air Conditioner and Heating,59,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85,20,0.0,20__0,10
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1663,14290.6,24192.4,67657.08,238815.14,308854.32,321135.43,322363.54,30,2.0,30__2,8
AAPL,Computer and Technology,Computer - Micro Computers,437563,16600.0,25374.5,64504.56,245915.7,784767.28,1644362.5,2375287.93,55,0.0,55__0,3
AB,Finance,Financial - Investment Management,11,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94,10,0.0,10__0,12
ABAT,Computer and Technology,Electronics - Miscellaneous Products,21,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98,15,0.0,15__0,11
ABBV,Medical,Large Cap Pharmaceuticals,7156,15492.0,24428.25,71862.5,324134.31,1247121.0,1258712.1,1259871.21,40,0.0,40__0,6
ABCL,Medical,Medical - Biomedical and Genetics,3,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99,5,0.0,5__0,13
ABEO,Medical,Medical - Biomedical and Genetics,42,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66,15,0.0,15__0,11
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,25,31500.0,46620.0,56936.0,58793.6,58979.36,58997.94,58999.79,15,0.0,15__0,11
ABL,Finance,Insurance - Life Insurance,1,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,0,2.0,0__2,14
ABM,Business Services,Business - Services,17,14300.0,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08,10,3.0,10__3,12
ABNB,Consumer Discretionary,Leisure and Recreation Services,9341,16800.0,27400.0,118458.0,359936.72,791555.3,1251405.53,1297390.55,40,0.0,40__0,6
ABR,Finance,REIT and Equity Trust,259,29251.2,72613.5,170644.5,290490.0,312549.0,314754.9,314975.49,25,2.0,25__2,9
ABSI,Medical,Medical - Biomedical and Genetics,42,7436.0,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69,15,0.0,15__0,11
ABT,Medical,Medical - Products,2262,13985.1,21399.5,70829.41,397716.17,451669.2,457366.92,457936.69,35,0.0,35__0,7
ABUS,Medical,Medical - Biomedical and Genetics,3,5940.0,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0,5,0.0,5__0,13
ACA,Construction,Building Products - Miscellaneous,11,46575.0,60637.5,71887.5,74418.75,74671.88,74697.19,74699.72,10,0.0,10__0,12
ACAD,Medical,Medical - Biomedical and Genetics,93,10728.0,27958.0,141940.0,151669.0,152641.9,152739.19,152748.92,20,0.0,20__0,10
ACB,Medical,Medical - Products,45,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87,15,0.0,15__0,11
ACDC,Oils-Energy,Oil and Gas - Field Services,22,7296.0,10845.75,11937.45,12155.75,12177.57,12179.76,12179.98,15,0.0,15__0,11
ACGL,Finance,Insurance - Property and Casualty,127,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23,20,0.0,20__0,10
ACHC,Medical,Medical - Hospital,178,16824.4,34262.0,101304.4,193904.16,198670.42,199147.04,199194.7,25,0.0,25__0,9
ACHR,Aerospace,Aerospace - Defense,4888,11700.0,16549.5,34716.48,86737.91,120027.83,137692.28,139458.73,35,0.0,35__0,7
