security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
COMM,Computer and Technology,Communication - Infrastructure,20__0,20,0.0,1. p999999_trade_value,35970.00000000001,35970.00000000001,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
COMM,Computer and Technology,Communication - Infrastructure,20__0,20,0.0,6. p95_trade_value,27736.0,19030.0,1.0,4.0,0.25,0.75,2. BELOW BASELINE,1.0,5.0,0.2
COMM,Computer and Technology,Communication - Infrastructure,20__0,20,0.0,7. p90_trade_value,17500.0,10260.0,2.0,5.0,0.4,0.75,2. BELOW BASELINE,3.0,10.0,0.3
COMM,Computer and Technology,Communication - Infrastructure,20__0,20,0.0,8. p75_trade_value,10080.0,7760.000000000001,7.0,14.0,0.5,0.75,2. BELOW BASELINE,10.0,24.0,0.4166666666666667
FYBR,Computer and Technology,Communication - Network Software,20__2,20,2.0,1. p999999_trade_value,750000.0,750000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
FYBR,Computer and Technology,Communication - Network Software,20__2,20,2.0,5. p99_trade_value,416295.00000000006,416295.00000000006,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
FYBR,Computer and Technology,Communication - Network Software,20__2,20,2.0,6. p95_trade_value,330000.00000000006,124950.0,2.0,6.0,0.3333333333333333,0.75,2. BELOW BASELINE,3.0,8.0,0.375
FYBR,Computer and Technology,Communication - Network Software,20__2,20,2.0,7. p90_trade_value,120000.0,65000.0,3.0,8.0,0.375,0.75,2. BELOW BASELINE,6.0,16.0,0.375
FYBR,Computer and Technology,Communication - Network Software,20__2,20,2.0,8. p75_trade_value,60000.0,16400.0,12.0,22.0,0.5454545454545454,0.75,2. BELOW BASELINE,18.0,38.0,0.47368421052631576
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,1. p999999_trade_value,27675.0,27675.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,6. p95_trade_value,26000.0,24290.000000000004,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,4.0,0.75
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,7. p90_trade_value,19990.0,12110.0,1.0,4.0,0.25,0.75,2. BELOW BASELINE,4.0,8.0,0.5
ONDS,Computer and Technology,Communication - Network Software,20__0,20,0.0,8. p75_trade_value,11220.0,6839.999999999999,6.0,11.0,0.5454545454545454,0.75,2. BELOW BASELINE,10.0,19.0,0.5263157894736842
