security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
APH,Computer and Technology,Electronics - Connectors,30__0,30,0.0,1. p999999_trade_value,330000.0,330000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
APH,Computer and Technology,Electronics - Connectors,30__0,30,0.0,5. p99_trade_value,240000.0,113575.0,4.0,9.0,0.4444444444444444,0.75,2. BELOW BASELINE,5.0,10.0,0.5
APH,Computer and Technology,Electronics - Connectors,30__0,30,0.0,6. p95_trade_value,100000.0,32912.0,24.0,36.0,0.6666666666666666,0.75,2. BELOW BASELINE,29.0,46.0,0.6304347826086957
APH,Computer and Technology,Electronics - Connectors,30__0,30,0.0,7. p90_trade_value,32000.0,19780.0,23.0,45.0,0.5111111111111111,0.75,2. BELOW BASELINE,52.0,91.0,0.5714285714285714
APH,Computer and Technology,Electronics - Connectors,30__0,30,0.0,8. p75_trade_value,19739.999999999996,9750.0,76.0,138.0,0.5507246376811594,0.75,2. BELOW BASELINE,128.0,229.0,0.5589519650655022
GRMN,Computer and Technology,Electronics - Miscellaneous Products,30__2,30,2.0,1. p999999_trade_value,166870.0,166870.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
GRMN,Computer and Technology,Electronics - Miscellaneous Products,30__2,30,2.0,5. p99_trade_value,140000.0,86100.0,3.0,5.0,0.6,0.75,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
GRMN,Computer and Technology,Electronics - Miscellaneous Products,30__2,30,2.0,6. p95_trade_value,76725.0,23265.0,17.0,23.0,0.7391304347826086,0.75,2. BELOW BASELINE,21.0,29.0,0.7241379310344828
GRMN,Computer and Technology,Electronics - Miscellaneous Products,30__2,30,2.0,7. p90_trade_value,22999.999999999996,15750.0,11.0,31.0,0.3548387096774194,0.75,2. BELOW BASELINE,32.0,60.0,0.5333333333333333
GRMN,Computer and Technology,Electronics - Miscellaneous Products,30__2,30,2.0,8. p75_trade_value,15500.0,8820.0,55.0,89.0,0.6179775280898876,0.75,2. BELOW BASELINE,87.0,149.0,0.5838926174496645
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,1. p999999_trade_value,640000.0,640000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,4. p999_trade_value,449000.0,449000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,5. p99_trade_value,317500.0,49220.0,3.0,11.0,0.2727272727272727,0.75,2. BELOW BASELINE,5.0,13.0,0.38461538461538464
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,6. p95_trade_value,48000.0,25026.000000000004,26.0,48.0,0.5416666666666666,0.75,2. BELOW BASELINE,31.0,61.0,0.5081967213114754
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,7. p90_trade_value,25025.0,14396.0,32.0,59.0,0.5423728813559322,0.75,2. BELOW BASELINE,63.0,120.0,0.525
JBL,Computer and Technology,Electronics - Manufacturing Services,30__2,30,2.0,8. p75_trade_value,14279.999999999998,7680.0,95.0,186.0,0.510752688172043,0.75,2. BELOW BASELINE,158.0,306.0,0.5163398692810458
