security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,38610.0,40000.0,O:ARQQ250516C00017500,ARQQ,C,17.5,2025-05-16,209,0,325,1.3,1746634014449000000,297,38610.0,2025-05-07,3000.0,30,True,Automatic Execution,Computer and Technology,Internet - Software,15.6,16.45,15.32,16.0,3,4.586699801624049,20,1,1,1,1,0
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,38610.0,40000.0,O:ARQQ250516C00017500,ARQQ,C,17.5,2025-05-16,231,0,301,0.8,1746719535078000000,500,40000.0,2025-05-08,3000.0,30,True,Single Leg Floor Trade,Computer and Technology,Internet - Software,16.4,17.0799,15.75,16.5,2,4.6020599913279625,20,1,1,1,1,0
ARQQ,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,50235.0,50235.0,O:ARQQ250620C00030000,ARQQ,C,30.0,2025-06-20,209,0,325,2.55,1748011646005000000,197,50235.0,2025-05-23,3000.0,30,True,Automatic Execution,Computer and Technology,Internet - Software,23.82,27.76,23.7001,25.11,1,4.701006406595548,20,1,1,0,0,0
BRZE,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,169020.0,169020.0,O:BRZE241220C00040000,BRZE,C,40.0,2024-12-20,227,0,308,2.7,1732286083999000000,626,169020.0,2024-11-22,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Internet - Software,38.06,39.09,38.0,38.71,1,5.227938097369417,20,1,1,1,1,0
DBX,Computer and Technology,Internet - Services,25__0,25,0.0,1. p999999_trade_value,682000.0000000001,682000.0000000001,O:DBX250221P00031000,DBX,P,31.0,2025-02-21,229,0,301,0.55,1739897131157000000,12400,682000.0000000001,2025-02-18,3000.0,30,True,Single Leg Cross Non ISO,Computer and Technology,Internet - Services,32.88,33.27,32.755,33.27,1,5.833784374656479,20,1,1,1,1,0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,89500.0,89500.0,O:FFIV241115C00220000,FFIV,C,220.0,2024-11-15,209,0,313,5.0,1729799946228000000,179,89500.0,2024-10-24,3000.0,30,True,Automatic Execution,Computer and Technology,Internet - Software,216.99,216.99,213.24,213.57,1,4.951823035315912,20,1,1,1,1,0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,44000.00000000001,65570.0,O:FFIV241115C00240000,FFIV,C,240.0,2024-11-15,235,0,300,1.1,1730825722342000000,400,44000.00000000001,2024-11-05,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,230.61,233.36,230.61,232.92,6,4.643452676486188,20,1,1,1,0,0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,44000.00000000001,65570.0,O:FFIV241115P00230000,FFIV,P,230.0,2024-11-15,235,0,300,2.75,1730825722341000000,200,55000.0,2024-11-05,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,230.61,233.36,230.61,232.92,3,4.740362689494244,20,1,0,0,0,1
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,44000.00000000001,65570.0,O:FFIV250516C00280000,FFIV,C,280.0,2025-05-16,209,0,300,7.9,1745596263279000000,83,65570.0,2025-04-25,3000.0,30,True,Automatic Execution,Computer and Technology,Internet - Software,268.33,270.36,264.82,270.03,2,4.816705183666516,20,1,1,1,1,0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,44000.00000000001,65570.0,O:FFIV250516C00280000,FFIV,C,280.0,2025-05-16,227,0,323,8.0,1745596622835000000,57,45600.0,2025-04-25,3000.0,30,True,Single Leg Auction Non ISO,Computer and Technology,Internet - Software,268.33,270.36,264.82,270.03,5,4.658964842664435,20,1,1,1,1,0
FFIV,Computer and Technology,Internet - Software,25__0,25,0.0,5. p99_trade_value,44000.00000000001,65570.0,O:FFIV250516C00280000,FFIV,C,280.0,2025-05-16,209,0,313,7.8,1745861587746000000,63,49140.0,2025-04-28,3000.0,30,True,Automatic Execution,Computer and Technology,Internet - Software,270.22,271.48,263.88,265.07,4,4.691435152144062,20,1,1,1,1,0
FIVN,Computer and Technology,Internet - Software,25__0,25,0.0,1. p999999_trade_value,287500.0,287500.0,O:FIVN250620C00030000,FIVN,C,30.0,2025-06-20,235,0,313,1.15,1749483507462000000,2500,287500.0,2025-06-09,3000.0,30,True,Multi Leg floor trade,Computer and Technology,Internet - Software,29.35,29.875,29.19,29.56,1,5.458637849025649,20,1,1,0,0,0
