security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AKAM,Computer and Technology,Internet - Services,0.75,,,,1416,30__0,30,0.0,17067.5,25425.0,124251.0,884902.5,1170342.0,1202434.2,1205643.42
ASAN,Computer and Technology,Internet - Software,0.75,118881.0,1. p999999_trade_value,1.0,572,30__2,30,2.0,11990.4,14544.0,42664.5,110283.45,118021.25,118795.02,118872.4
CFLT,Computer and Technology,Internet - Software,0.75,,,,1363,30__0,30,0.0,16750.0,27000.0,141649.96,398868.0,749606.0,794960.6,799496.06
DOCN,Computer and Technology,Internet - Software,0.75,,,,618,30__2,30,2.0,16910.0,30010.5,47169.9,68830.0,74383.0,74938.3,74993.83
ESTC,Computer and Technology,Internet - Software,0.75,355950.0,1. p999999_trade_value,2.0,1588,30__0,30,0.0,23787.0,38770.4,113390.0,348553.8,355950.0,355950.0,355950.0
GDDY,Computer and Technology,Internet - Delivery Services,0.75,,,,683,30__2,30,2.0,13258.0,19881.0,61579.32,719456.4,805265.64,813846.56,814704.66
GWRE,Computer and Technology,Internet - Software,0.75,,,,750,30__2,30,2.0,18416.4,26780.55,81922.8,276635.84,463425.58,482104.56,483972.46
MTCH,Computer and Technology,Internet - Software,0.75,422770.0,4. p999_trade_value,2.0,1521,30__0,30,0.0,17777.0,32571.0,131382.8,412760.0,1242682.54,1374951.45,1388178.35
NICE,Computer and Technology,Internet - Software,0.75,,,,765,30__1,30,1.0,23513.4,42271.6,91930.0,1243070.0,1368557.0,1381105.7,1382360.57
NTES,Computer and Technology,Internet - Software and Services,0.75,226500.0,1. p999999_trade_value,1.0,975,30__2,30,2.0,16398.0,24650.0,75260.0,181209.0,221970.9,226047.09,226454.71
PATH,Computer and Technology,Internet - Software,0.75,529104.0,1. p999999_trade_value,1.0,1133,30__2,30,2.0,11961.4,20040.0,64760.0,405300.0,518451.43,528038.74,528997.47
RUM,Computer and Technology,Internet - Software,0.75,,,,933,30__2,30,2.0,13500.0,20400.0,46000.0,117480.9,187248.09,194224.81,194922.48
TTAN,Computer and Technology,Internet - Software,0.75,334800.0,4. p999_trade_value,2.0,1203,30__2,30,2.0,11184.0,15810.9,55625.6,294278.8,406934.8,415804.48,416691.45
