security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ARLO,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,4500.0,4500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
ASUR,Computer and Technology,Internet - Delivery Services,5__0,5,0.0,1. p999999_trade_value,5400.0,5400.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BLND,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,12500.0,12500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BLZE,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,5000.0,5000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CCSI,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,5500.000000000001,5500.000000000001,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CMCM,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,3500.0,3500.0,2.0,2.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
EB,Computer and Technology,Internet - Services,5__0,5,0.0,1. p999999_trade_value,6500.0,6500.0,2.0,2.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
LFWD,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,11985.0,11985.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
NATL,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,11000.000000000002,11000.000000000002,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
NATL,Computer and Technology,Internet - Software,5__0,5,0.0,8. p75_trade_value,5561.000000000001,5561.000000000001,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
OSPN,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,5874.0,5874.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
SEAT,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,9707.0,9707.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
SEMR,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,11855.000000000002,11855.000000000002,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
SIFY,Computer and Technology,Internet - Services,5__0,5,0.0,1. p999999_trade_value,10250.0,10250.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
TCX,Computer and Technology,Internet - Content,5__3,5,3.0,1. p999999_trade_value,39780.0,39780.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
THRY,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,11220.0,11220.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
THRY,Computer and Technology,Internet - Software,5__0,5,0.0,8. p75_trade_value,10050.0,10050.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
VRRM,Computer and Technology,Internet - Software,5__1,5,1.0,1. p999999_trade_value,67500.0,67500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
YALA,Computer and Technology,Internet - Software,5__0,5,0.0,1. p999999_trade_value,4000.0,4000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
ZDGE,Computer and Technology,Internet - Content,5__0,5,0.0,1. p999999_trade_value,9000.0,9000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
