security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
PL,Computer and Technology,Satellite and Communication,25__0,25,0.0,1. p999999_trade_value,50640.0,50640.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
PL,Computer and Technology,Satellite and Communication,25__0,25,0.0,5. p99_trade_value,41020.0,26009.999999999996,0.0,3.0,0.0,0.75,2. BELOW BASELINE,0.0,4.0,0.0
PL,Computer and Technology,Satellite and Communication,25__0,25,0.0,6. p95_trade_value,24975.0,13500.0,0.0,13.0,0.0,0.75,2. BELOW BASELINE,0.0,17.0,0.0
PL,Computer and Technology,Satellite and Communication,25__0,25,0.0,7. p90_trade_value,13275.0,9860.0,0.0,17.0,0.0,0.75,2. BELOW BASELINE,0.0,34.0,0.0
PL,Computer and Technology,Satellite and Communication,25__0,25,0.0,8. p75_trade_value,9750.0,6720.0,3.0,50.0,0.06,0.75,2. BELOW BASELINE,3.0,84.0,0.03571428571428571
SATS,Computer and Technology,Satellite and Communication,25__0,25,0.0,1. p999999_trade_value,699525.0,699525.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
SATS,Computer and Technology,Satellite and Communication,25__0,25,0.0,5. p99_trade_value,365000.0,245000.0,1.0,5.0,0.2,0.75,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
SATS,Computer and Technology,Satellite and Communication,25__0,25,0.0,6. p95_trade_value,224640.0,34929.99999999999,8.0,21.0,0.38095238095238093,0.75,2. BELOW BASELINE,10.0,27.0,0.37037037037037035
SATS,Computer and Technology,Satellite and Communication,25__0,25,0.0,7. p90_trade_value,33932.00000000001,15300.0,20.0,27.0,0.7407407407407407,0.75,2. BELOW BASELINE,30.0,54.0,0.5555555555555556
SATS,Computer and Technology,Satellite and Communication,25__0,25,0.0,8. p75_trade_value,15000.0,8450.0,49.0,80.0,0.6125,0.75,2. BELOW BASELINE,79.0,134.0,0.5895522388059702
