security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
FBIN,Retail-Wholesale,Retail - Home Furnishings,10__3,10,3.0,1. p999999_trade_value,149600.0,149600.0,O:FBIN250516C00055000,FBIN,C,55.0,2025-05-16,231,0,301,1.7,1746552953452000000,880,149600.0,2025-05-06,3000.0,30,True,Single Leg Floor Trade,Retail-Wholesale,Retail - Home Furnishings,53.33,54.15,52.555,52.8,1,5.174931593528442,20,1,1,1,1,0
FBIN,Retail-Wholesale,Retail - Home Furnishings,10__3,10,3.0,1. p999999_trade_value,149600.0,149600.0,O:FBIN250516C00055000,FBIN,C,55.0,2025-05-16,231,0,301,1.7,1746551504722000000,880,149600.0,2025-05-06,3000.0,30,True,Single Leg Floor Trade,Retail-Wholesale,Retail - Home Furnishings,53.33,54.15,52.555,52.8,2,5.174931593528442,20,2,1,1,1,0
FLWS,Retail-Wholesale,Retail - Mail Order,10__0,10,0.0,8. p75_trade_value,4800.0,4800.0,O:FLWS240920P00009000,FLWS,P,9.0,2024-09-20,209,0,304,0.5,1724777511662000000,96,4800.0,2024-08-27,3000.0,30,True,Automatic Execution,Retail-Wholesale,Retail - Mail Order,9.22,9.22,9.03,9.09,2,3.681241237375587,20,2,1,1,1,0
FLWS,Retail-Wholesale,Retail - Mail Order,10__0,10,0.0,1. p999999_trade_value,7200.0,7200.0,O:FLWS250221P00008000,FLWS,P,8.0,2025-02-21,209,0,325,0.6,1738179172488000000,120,7200.0,2025-01-29,3000.0,30,True,Automatic Execution,Retail-Wholesale,Retail - Mail Order,8.68,9.12,8.675,8.83,1,3.8573324964312685,20,1,1,1,1,0
ODP,Retail-Wholesale,Retail - Miscellaneous,10__3,10,3.0,8. p75_trade_value,47250.00000000001,65000.0,O:ODP241115P00030000,ODP,P,30.0,2024-11-15,229,0,302,1.35,1730229802604000000,350,47250.00000000001,2024-10-29,3000.0,30,True,Single Leg Cross Non ISO,Retail-Wholesale,Retail - Miscellaneous,31.58,32.13,31.45,31.48,4,4.674401812845282,20,4,1,1,1,0
ODP,Retail-Wholesale,Retail - Miscellaneous,10__3,10,3.0,8. p75_trade_value,47250.00000000001,65000.0,O:ODP241115P00030000,ODP,P,30.0,2024-11-15,229,0,302,1.3,1730296710878000000,500,65000.0,2024-10-30,3000.0,30,True,Single Leg Cross Non ISO,Retail-Wholesale,Retail - Miscellaneous,31.34,31.8,31.04,31.08,3,4.812913356642856,20,3,1,1,1,0
ODP,Retail-Wholesale,Retail - Miscellaneous,10__3,10,3.0,7. p90_trade_value,75899.99999999999,75899.99999999999,O:ODP241115P00027000,ODP,P,27.0,2024-11-15,234,0,302,0.69,1730832116250000000,1100,75899.99999999999,2024-11-05,3000.0,30,True,Multi Leg Cross,Retail-Wholesale,Retail - Miscellaneous,31.07,31.67,30.9,31.11,2,4.88024177589548,20,2,1,1,1,0
ODP,Retail-Wholesale,Retail - Miscellaneous,10__3,10,3.0,1. p999999_trade_value,191400.0,191400.0,O:ODP241115P00030000,ODP,P,30.0,2024-11-15,234,0,302,1.74,1730832116250000000,1100,191400.0,2024-11-05,3000.0,30,True,Multi Leg Cross,Retail-Wholesale,Retail - Miscellaneous,31.07,31.67,30.9,31.11,1,5.281941933440825,20,1,1,1,1,0
SBH,Retail-Wholesale,Retail - Miscellaneous,10__0,10,0.0,8. p75_trade_value,5295.0,5295.0,O:SBH241220P00012500,SBH,P,12.5,2024-12-20,209,0,316,0.15,1733514662338000000,353,5295.0,2024-12-06,3000.0,30,True,Automatic Execution,Retail-Wholesale,Retail - Miscellaneous,13.09,13.3,12.905,13.23,2,3.7238659644435037,20,2,1,1,1,0
SBH,Retail-Wholesale,Retail - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,17910.0,17910.0,O:SBH241220P00012500,SBH,P,12.5,2024-12-20,209,0,301,0.15,1733945118543000000,1194,17910.0,2024-12-11,3000.0,30,True,Automatic Execution,Retail-Wholesale,Retail - Miscellaneous,12.94,12.945,12.7,12.72,1,4.253095585849032,20,1,1,1,1,0
SCVL,Retail-Wholesale,Retail - Apparel and Shoes,10__0,10,0.0,1. p999999_trade_value,22500.0,22500.0,O:SCVL241115P00035000,SCVL,P,35.0,2024-11-15,235,0,301,0.45,1729262838578000000,500,22500.0,2024-10-18,3000.0,30,True,Multi Leg floor trade,Retail-Wholesale,Retail - Apparel and Shoes,40.42,40.62,39.65,39.73,1,4.352182518111363,20,1,1,0,0,0
