security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AEO,Retail-Wholesale,Retail - Apparel and Shoes,25__0,25,0.0,1. p999999_trade_value,247936.0,247936.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AEO,Retail-Wholesale,Retail - Apparel and Shoes,25__0,25,0.0,5. p99_trade_value,200000.0,200000.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,4.0,4.0,1.0
AEO,Retail-Wholesale,Retail - Apparel and Shoes,25__0,25,0.0,6. p95_trade_value,175000.0,27608.000000000004,7.0,15.0,0.4666666666666667,0.75,2. BELOW BASELINE,11.0,19.0,0.5789473684210527
AEO,Retail-Wholesale,Retail - Apparel and Shoes,25__0,25,0.0,7. p90_trade_value,26639.999999999996,15000.0,8.0,19.0,0.42105263157894735,0.75,2. BELOW BASELINE,19.0,38.0,0.5
AEO,Retail-Wholesale,Retail - Apparel and Shoes,25__0,25,0.0,8. p75_trade_value,14945.999999999998,8800.0,41.0,55.0,0.7454545454545455,0.75,2. BELOW BASELINE,60.0,93.0,0.6451612903225806
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,1. p999999_trade_value,1137500.0,1137500.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,4. p999_trade_value,678000.0,411840.00000000006,2.0,7.0,0.2857142857142857,0.75,2. BELOW BASELINE,3.0,8.0,0.375
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,5. p99_trade_value,403328.0,84000.0,37.0,68.0,0.5441176470588235,0.75,2. BELOW BASELINE,40.0,76.0,0.5263157894736842
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,6. p95_trade_value,83100.0,26660.000000000004,189.0,304.0,0.6217105263157895,0.75,2. BELOW BASELINE,229.0,380.0,0.6026315789473684
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,7. p90_trade_value,26640.000000000004,16590.0,197.0,380.0,0.5184210526315789,0.75,2. BELOW BASELINE,426.0,760.0,0.5605263157894737
ANF,Retail-Wholesale,Retail - Apparel and Shoes,40__0,40,0.0,8. p75_trade_value,16562.0,8575.0,556.0,1138.0,0.48857644991212656,0.75,2. BELOW BASELINE,982.0,1898.0,0.5173867228661749
ARHS,Retail-Wholesale,Retail - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,12475.0,12475.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
ARHS,Retail-Wholesale,Retail - Miscellaneous,10__0,10,0.0,7. p90_trade_value,10000.0,10000.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,0.0,3.0,0.0
BBW,Retail-Wholesale,Retail - Miscellaneous,20__0,20,0.0,1. p999999_trade_value,250000.0,250000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BBW,Retail-Wholesale,Retail - Miscellaneous,20__0,20,0.0,6. p95_trade_value,34560.0,29095.0,2.0,2.0,1.0,0.75,1. ABOVE BASELINE,3.0,3.0,1.0
BBW,Retail-Wholesale,Retail - Miscellaneous,20__0,20,0.0,7. p90_trade_value,25488.0,23939.999999999996,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,6.0,6.0,1.0
BBW,Retail-Wholesale,Retail - Miscellaneous,20__0,20,0.0,8. p75_trade_value,23600.0,10319.999999999998,7.0,9.0,0.7777777777777778,0.75,1. ABOVE BASELINE,13.0,15.0,0.8666666666666667
BBWI,Retail-Wholesale,Retail - Miscellaneous,30__0,30,0.0,1. p999999_trade_value,443250.0,443250.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BBWI,Retail-Wholesale,Retail - Miscellaneous,30__0,30,0.0,5. p99_trade_value,360000.0,200000.0,3.0,6.0,0.5,0.75,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
BBWI,Retail-Wholesale,Retail - Miscellaneous,30__0,30,0.0,6. p95_trade_value,161982.0,41624.0,9.0,24.0,0.375,0.75,2. BELOW BASELINE,13.0,31.0,0.41935483870967744
BBWI,Retail-Wholesale,Retail - Miscellaneous,30__0,30,0.0,7. p90_trade_value,41120.00000000001,18905.0,16.0,30.0,0.5333333333333333,0.75,2. BELOW BASELINE,29.0,61.0,0.47540983606557374
BBWI,Retail-Wholesale,Retail - Miscellaneous,30__0,30,0.0,8. p75_trade_value,18800.0,8960.0,44.0,92.0,0.4782608695652174,0.75,2. BELOW BASELINE,73.0,153.0,0.477124183006536
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,1. p999999_trade_value,1172745.0,1172745.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,4. p999_trade_value,449712.0,360000.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,5. p99_trade_value,245119.0,103500.0,11.0,27.0,0.4074074074074074,0.75,2. BELOW BASELINE,13.0,30.0,0.43333333333333335
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,6. p95_trade_value,97002.0,26200.0,53.0,117.0,0.452991452991453,0.75,2. BELOW BASELINE,66.0,147.0,0.4489795918367347
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,7. p90_trade_value,26136.0,15760.0,57.0,146.0,0.3904109589041096,0.75,2. BELOW BASELINE,123.0,293.0,0.4197952218430034
BBY,Retail-Wholesale,Retail - Consumer Electronics,35__2,35,2.0,8. p75_trade_value,15680.000000000002,8400.0,225.0,438.0,0.5136986301369864,0.75,2. BELOW BASELINE,348.0,731.0,0.47606019151846785
BGFV,Retail-Wholesale,Retail - Miscellaneous,0__2,0,2.0,1. p999999_trade_value,7640.000000000001,7640.000000000001,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BIRD,Retail-Wholesale,Retail - Apparel and Shoes,5__0,5,0.0,1. p999999_trade_value,12350.0,12350.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
