security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
A,Medical,Medical - Products,30__0,30,0.0,1. p999999_trade_value,357903.0,357903.0,O:A250620P00110000,A,P,110.0,2025-06-20,235,0,300,3.99,1748448329940000000,897,357903.0,2025-05-28,3000.0,30,true,Multi Leg floor trade,Medical,Medical - Products,110.83,111.58,110.14,110.88,1,5.55376533873084,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA240920P00030000,AA,P,30.0,2024-09-20,209,0,307,0.48,1724854102902000000,646,31008.0,2024-08-28,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,33.19,33.305,32.0,32.09,81,4.491473755370671,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA240920P00030000,AA,P,30.0,2024-09-20,227,0,323,0.56,1724854753555000000,3103,173768.0,2024-08-28,3000.0,30,true,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,33.19,33.305,32.0,32.09,10,5.239969802590366,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241004C00035000,AA,C,35.0,2024-10-04,209,0,313,0.54,1725468810248000000,610,32940.0,2024-09-04,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,30.84,31.22,30.46,30.48,70,4.517723594833735,20,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241004P00028000,AA,P,28.0,2024-10-04,209,0,325,1.35,1725650390820000000,700,94500.00000000001,2024-09-06,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,30.0,30.2274,28.345,28.53,25,4.975431808509263,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241004P00032000,AA,P,32.0,2024-10-04,234,0,300,0.48,1726673423014000000,2498,119904.0,2024-09-18,3000.0,30,true,Multi Leg Cross,Industrial Products,Metal Products - Distribution,34.24,35.95,33.88,34.34,14,5.078833671413704,20,1,0,0,0,1
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241018P00030000,AA,P,30.0,2024-10-18,209,0,313,0.37,1726756591130000000,949,35113.0,2024-09-19,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,35.4,35.76,34.8,34.92,65,4.545467936494288,20,1,0,0,0,1
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241018C00040000,AA,C,40.0,2024-10-18,227,0,301,1.8,1727358700552000000,1500,270000.0,2024-09-26,3000.0,30,true,Single Leg Auction Non ISO,Industrial Products,Metal Products - Distribution,38.3,39.62,38.0,39.28,9,5.431363764158987,20,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241018C00041000,AA,C,41.0,2024-10-18,209,0,320,1.71,1727447562126000000,181,30951.0,2024-09-27,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,39.53,40.2999,39.0901,39.27,82,4.490674685261339,20,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,5. p99_trade_value,110000.0,744571.9999999999,O:AA241018C00040000,AA,C,40.0,2024-10-18,235,0,301,1.72,1727798989472000000,3496,601312.0,2024-10-01,3000.0,30,true,Multi Leg floor trade,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,6,5.779099870869914,20,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241018P00038000,AA,P,38.0,2024-10-18,209,0,316,1.29,1727799009071000000,253,32637.0,2024-10-01,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,71,4.513710231475067,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241018P00038000,AA,P,38.0,2024-10-18,209,0,319,1.29,1727799009072000000,253,32637.0,2024-10-01,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,39.42,39.8399,38.772,39.18,72,4.513710231475067,20,1,1,0,0,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241101C00040000,AA,C,40.0,2024-11-01,209,0,309,2.23,1728322643102000000,189,42147.0,2024-10-07,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,38.68,39.798,38.68,39.47,54,4.6247666672214045,20,1,1,1,1,0
AA,Industrial Products,Metal Products - Distribution,30__0,30,0.0,6. p95_trade_value,30239.999999999996,103000.0,O:AA241018C00040000,AA,C,40.0,2024-10-18,209,0,313,0.64,1728411807583000000,494,31616.000000000004,2024-10-08,3000.0,30,true,Automatic Execution,Industrial Products,Metal Products - Distribution,38.42,38.72,37.2,37.73,77,4.499906922907535,20,1,1,1,1,0
