security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,236847.99999999994,5. p99_trade_value,5.0,415,25__2,25,2.0,49980.0,94800.0,232669.28,431340.0,502134.0,509213.4,509921.34
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,0.75,22000.000000000004,7. p90_trade_value,29.0,286,25__0,25,0.0,21530.0,35660.0,108400.0,309237.52,372473.75,378797.38,379429.74
HOG,Auto-Tires-Trucks,Automotive - Domestic,0.75,15300.0,7. p90_trade_value,33.0,326,25__0,25,0.0,15248.0,26295.0,57691.25,107581.0,125166.1,126924.61,127100.46
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,429,25__0,25,0.0,14527.0,18450.0,41218.4,93392.84,99159.28,99735.93,99793.59
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,38232.0,5. p99_trade_value,4.0,337,25__0,25,0.0,11850.0,16354.4,35268.48,272800.0,333280.0,339328.0,339932.8
PCAR,Auto-Tires-Trucks,Automotive - Domestic,0.75,,,,228,25__0,25,0.0,15899.0,24624.0,47135.2,99011.5,108307.15,109236.72,109329.67
PII,Auto-Tires-Trucks,Automotive - Domestic,0.75,119925.0,5. p99_trade_value,5.0,460,25__0,25,0.0,18640.0,31853.0,114069.25,391395.0,430639.5,434563.95,434956.39
STLA,Auto-Tires-Trucks,Automotive - Foreign,0.75,122834.99999999999,1. p999999_trade_value,1.0,202,25__0,25,0.0,29836.5,49749.0,92370.85,122265.17,122778.02,122829.3,122834.43
TM,Auto-Tires-Trucks,Automotive - Foreign,0.75,,,,372,25__0,25,0.0,11078.0,18825.0,42949.0,185315.83,227122.78,231303.48,231721.55
WRD,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,411,25__0,25,0.0,12540.0,19687.5,29817.7,49322.9,54234.29,54725.43,54774.54
ZK,Auto-Tires-Trucks,Automotive - Foreign,0.75,131300.0,1. p999999_trade_value,1.0,306,25__0,25,0.0,21385.0,39371.25,78681.5,128036.5,130973.65,131267.37,131296.74
