security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ABM,Business Services,Business - Services,0.75,,,,17,10__3,10,3.0,14300.0,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08
ADTN,Business Services,Technology Services,0.75,,,,14,10__0,10,0.0,11319.0,13126.75,13909.35,14085.44,14103.04,14104.8,14104.98
AIRS,Business Services,Technology Services,0.75,10500.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
AISP,Business Services,Technology Services,0.75,,,,92,20__0,20,0.0,8777.5,11496.75,19439.7,21347.97,21538.8,21557.88,21559.79
ALLT,Business Services,Technology Services,0.75,10050.0,8. p75_trade_value,5.0,19,15__0,15,0.0,10849.2,11321.4,13304.28,13750.43,13795.04,13799.5,13799.95
AMBR,Business Services,Technology Services,0.75,,,,1,0__0,0,0.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0
AMPL,Business Services,Technology Services,0.75,150000.0,1. p999999_trade_value,1.0,41,15__0,15,0.0,10440.0,14520.0,96000.0,144600.0,149460.0,149946.0,149994.6
AMPX,Business Services,Technology Services,0.75,16410.0,1. p999999_trade_value,1.0,44,15__0,15,0.0,9061.5,10152.0,13868.7,16155.87,16384.59,16407.46,16409.75
APG,Business Services,Business - Services,0.75,4590.0,7. p90_trade_value,3.0,29,15__0,15,0.0,4508.4,4776.0,6412.0,6941.2,6994.12,6999.41,6999.94
API,Business Services,Technology Services,0.75,,,,16,10__0,10,0.0,7517.5,8776.25,11755.25,12425.52,12492.55,12499.26,12499.93
APP,Business Services,Technology Services,0.75,2145000.0,3. p9999_trade_value,12.0,111245,50__2,50,2.0,20240.0,32479.2,93856.4,391872.14,2143967.48,5099127.86,5501402.78
ARBE,Business Services,Technology Services,0.75,13439.999999999998,6. p95_trade_value,7.0,129,20__0,20,0.0,9870.0,13254.0,18487.2,19397.6,19489.76,19498.98,19499.9
AREN,Business Services,Technology Services,0.75,,,,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
ARIS,Business Services,Waste Removal Services,0.75,3915.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3853.5,3884.25,3908.85,3914.39,3914.94,3914.99,3915.0
ARMK,Business Services,Business - Services,0.75,30294.0,1. p999999_trade_value,1.0,36,15__0,15,0.0,11830.0,12856.5,24195.6,29684.16,30233.02,30287.9,30293.39
ASST,Business Services,Technology Services,0.75,,,,14,10__0,10,0.0,5998.5,8343.75,11268.75,11926.88,11992.69,11999.27,11999.93
AUR,Business Services,Technology Services,0.75,,,,601,30__2,30,2.0,13500.0,19305.0,55000.0,196264.4,332971.34,346642.03,348009.1
AYI,Business Services,Technology Services,0.75,,,,216,25__2,25,2.0,15960.0,27417.5,587422.5,872340.0,872340.0,872340.0,872340.0
BAH,Business Services,Consulting Services,0.75,134000.0,5. p99_trade_value,8.0,743,30__2,30,2.0,15924.0,26952.0,130010.0,378965.16,465792.52,474475.25,475343.53
BCO,Business Services,Outsourcing,0.75,,,,46,15__0,15,0.0,7260.0,8675.0,10680.75,11274.07,11333.41,11339.34,11339.93
BFAM,Business Services,Business - Services,0.75,6400.0,8. p75_trade_value,11.0,38,15__0,15,0.0,6732.0,7073.0,7260.0,7260.0,7260.0,7260.0,7260.0
