security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AZEK,Construction,Building Products - Air Conditioner and Heating,20__0,20,0.0,1. p999999_trade_value,130000.0,130000.0,O:AZEK250321P00045000,AZEK,P,45.0,2025-03-21,235,0,301,1.3,1740169312865000000,1000,130000.0,2025-02-21,3000.0,30,True,Multi Leg floor trade,Construction,Building Products - Air Conditioner and Heating,48.58,48.82,45.7566,46.27,1,5.113943352306837,20,1,1,1,1,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,6. p95_trade_value,122500.0,165000.0,O:KNF241115P00090000,KNF,P,90.0,2024-11-15,209,0,313,3.3,1730490842592000000,500,165000.0,2024-11-01,3000.0,30,True,Automatic Execution,Construction,Building Products - Miscellaneous,98.09,99.24,96.61,97.47,2,5.217483944213907,20,1,1,0,0,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,7. p90_trade_value,95004.0,110205.0,O:KNF241115P00090000,KNF,P,90.0,2024-11-15,233,0,312,1.35,1730474720973000000,750,101250.00000000001,2024-11-01,3000.0,30,True,Multi Leg Auction,Construction,Building Products - Miscellaneous,98.09,99.24,96.61,97.47,5,5.005395031886707,20,2,1,0,0,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,1. p999999_trade_value,195000.0,195000.0,O:KNF241115P00095000,KNF,P,95.0,2024-11-15,233,0,312,2.6,1730474720973000000,750,195000.0,2024-11-01,3000.0,30,True,Multi Leg Auction,Construction,Building Products - Miscellaneous,98.09,99.24,96.61,97.47,1,5.290034611362518,20,1,1,1,1,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,6. p95_trade_value,122500.0,165000.0,O:KNF241220P00100000,KNF,P,100.0,2024-12-20,235,0,301,4.9,1732290573837000000,250,122500.0,2024-11-22,3000.0,30,True,Multi Leg floor trade,Construction,Building Products - Miscellaneous,100.53,102.775,100.165,102.65,3,5.088136088700551,20,1,1,1,0,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,7. p90_trade_value,95004.0,110205.0,O:KNF250321P00090000,KNF,P,90.0,2025-03-21,235,0,301,1.55,1740169753152000000,711,110205.0,2025-02-21,3000.0,30,True,Multi Leg floor trade,Construction,Building Products - Miscellaneous,102.78,102.78,92.9,92.99,4,5.042201298900058,20,2,1,1,0,0
KNF,Construction,Building Products - Miscellaneous,20__1,20,1.0,7. p90_trade_value,95004.0,110205.0,O:KNF250417P00080000,KNF,P,80.0,2025-04-17,227,0,312,4.06,1743778447842000000,234,95004.0,2025-04-04,3000.0,30,True,Single Leg Auction Non ISO,Construction,Building Products - Miscellaneous,85.31,86.2,81.595,83.9,6,4.977741890987337,20,2,1,0,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,320,4.3,1726682416431000000,30,12900.0,2024-09-18,3000.0,30,True,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,5,4.110589710299249,20,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,320,4.3,1726682415821000000,30,12900.0,2024-09-18,3000.0,30,True,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,3,4.110589710299249,20,1,1,1,0,0
MHO,Construction,Building Products - Home Builders,20__0,20,0.0,6. p95_trade_value,12900.0,74760.0,O:MHO241018C00175000,MHO,C,175.0,2024-10-18,209,0,315,4.3,1726682416427000000,30,12900.0,2024-09-18,3000.0,30,True,Automatic Execution,Construction,Building Products - Home Builders,167.91,172.89,164.185,167.23,4,4.110589710299249,20,1,1,1,0,0
