security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,6. p95_trade_value,175000.0,350000.0,O:CNK241115P00028000,CNK,P,28.0,2024-11-15,235,0,301,1.0,1729618140261000000,3500,350000.0,2024-10-22,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,28.48,29.005,28.35,28.47,3,5.544068044350276,20,1,1,0,0,0
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,6. p95_trade_value,175000.0,350000.0,O:CNK241115C00031000,CNK,C,31.0,2024-11-15,235,0,323,1.1,1730314926549000000,2500,275000.0,2024-10-30,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,29.73,30.69,29.5375,30.48,4,5.439332693830263,20,1,1,1,1,0
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,6. p95_trade_value,175000.0,350000.0,O:CNK241115C00032000,CNK,C,32.0,2024-11-15,235,0,323,0.7,1730314921710000000,2500,175000.0,2024-10-30,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,29.73,30.69,29.5375,30.48,6,5.243038048686294,20,1,1,1,0,0
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,6. p95_trade_value,175000.0,350000.0,O:CNK241115C00033000,CNK,C,33.0,2024-11-15,233,0,302,0.41,1730314422593000000,4999,204958.99999999997,2024-10-30,3000.0,30,True,Multi Leg Auction,Consumer Discretionary,Film and Television Production and Distribution,29.73,30.69,29.5375,30.48,5,5.3116669934723255,20,1,1,0,0,0
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,1. p999999_trade_value,399840.0,399840.0,O:CNK241115C00033000,CNK,C,33.0,2024-11-15,235,0,313,0.4,1730312416505000000,9996,399840.0,2024-10-30,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,29.73,30.69,29.5375,30.48,1,5.601886238782375,20,1,1,0,0,0
CNK,Consumer Discretionary,Film and Television Production and Distribution,20__2,20,2.0,5. p99_trade_value,360000.0,360000.0,O:CNK250620C00034000,CNK,C,34.0,2025-06-20,234,0,301,0.8,1748353717186000000,4500,360000.0,2025-05-27,3000.0,30,True,Multi Leg Cross,Consumer Discretionary,Film and Television Production and Distribution,32.87,33.69,32.77,33.69,2,5.556302500767287,20,1,1,0,0,0
CURI,Consumer Discretionary,Film and Television Production and Distribution,0__2,0,2.0,1. p999999_trade_value,4200.0,4200.0,O:CURI241115C00002500,CURI,C,2.5,2024-11-15,227,0,301,0.21,1730479279172000000,200,4200.0,2024-11-01,3000.0,30,True,Single Leg Auction Non ISO,Consumer Discretionary,Film and Television Production and Distribution,2.41,2.485,2.37,2.39,1,3.6232492903979003,20,1,1,0,0,0
IMAX,Consumer Discretionary,Film and Television Production and Distribution,10__0,10,0.0,1. p999999_trade_value,80000.0,80000.0,O:IMAX250117P00024000,IMAX,P,24.0,2025-01-17,235,0,301,0.4,1736175132831000000,2000,80000.0,2025-01-06,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,25.14,25.15,24.01,24.02,1,4.903089986991944,20,1,1,1,1,0
IMAX,Consumer Discretionary,Film and Television Production and Distribution,10__0,10,0.0,8. p75_trade_value,10764.0,33000.0,O:IMAX250221P00026000,IMAX,P,26.0,2025-02-21,235,0,300,0.66,1739549618942000000,500,33000.0,2025-02-14,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,26.97,27.29,26.67,26.97,2,4.518513939877887,20,2,1,1,0,0
IMAX,Consumer Discretionary,Film and Television Production and Distribution,10__0,10,0.0,8. p75_trade_value,10764.0,33000.0,O:IMAX250516C00026000,IMAX,C,26.0,2025-05-16,233,0,312,0.78,1745435693301000000,138,10764.0,2025-04-23,3000.0,30,True,Multi Leg Auction,Consumer Discretionary,Film and Television Production and Distribution,23.65,24.48,22.61,24.1,3,4.031973689091717,20,3,1,1,1,0
NWSA,Consumer Discretionary,Film and Television Production and Distribution,10__0,10,0.0,8. p75_trade_value,10600.0,10600.0,O:NWSA250221C00030000,NWSA,C,30.0,2025-02-21,209,0,307,0.5,1737739168456000000,212,10600.0,2025-01-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Film and Television Production and Distribution,27.87,28.29,27.835,28.08,2,4.02530586526477,20,2,1,0,0,0
NWSA,Consumer Discretionary,Film and Television Production and Distribution,10__0,10,0.0,1. p999999_trade_value,11200.0,11200.0,O:NWSA250221C00030000,NWSA,C,30.0,2025-02-21,209,0,307,0.5,1737739153915000000,224,11200.0,2025-01-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Film and Television Production and Distribution,27.87,28.29,27.835,28.08,1,4.049218022670182,20,1,1,0,0,0
TKO,Consumer Discretionary,Film and Television Production and Distribution,35__1,35,1.0,4. p999_trade_value,962808.0,1164284.0,O:TKO250321P00150000,TKO,P,150.0,2025-03-21,239,0,302,5.21,1739984244458000000,1848,962808.0,2025-02-19,3000.0,30,True,Multi Leg floor trade against single leg(s),Consumer Discretionary,Film and Television Production and Distribution,171.9,171.905,163.25,166.57,3,5.983539690183612,20,1,1,1,1,0
TKO,Consumer Discretionary,Film and Television Production and Distribution,35__1,35,1.0,4. p999_trade_value,962808.0,1164284.0,O:TKO250321P00150000,TKO,P,150.0,2025-03-21,239,0,302,5.63,1739993603032000000,2068,1164284.0,2025-02-19,3000.0,30,True,Multi Leg floor trade against single leg(s),Consumer Discretionary,Film and Television Production and Distribution,171.9,171.905,163.25,166.57,2,6.066058929273251,20,1,1,1,1,0
TKO,Consumer Discretionary,Film and Television Production and Distribution,35__1,35,1.0,1. p999999_trade_value,1700000.0,1700000.0,O:TKO250321P00135000,TKO,P,135.0,2025-03-21,235,0,301,1.7,1741978470597000000,10000,1700000.0,2025-03-14,3000.0,30,True,Multi Leg floor trade,Consumer Discretionary,Film and Television Production and Distribution,142.03,145.6,138.075,139.62,1,6.230448921378274,20,1,0,0,0,1
