security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,1. p999999_trade_value,277992.0,277992.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,5. p99_trade_value,270000.0,270000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,6. p95_trade_value,210000.0,51060.0,4.0,4.0,1.0,0.75,1. ABOVE BASELINE,6.0,6.0,1.0
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,7. p90_trade_value,50298.0,22000.000000000004,6.0,6.0,1.0,0.75,1. ABOVE BASELINE,12.0,12.0,1.0
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,8. p75_trade_value,21605.0,9800.0,13.0,17.0,0.7647058823529411,0.75,1. ABOVE BASELINE,25.0,29.0,0.8620689655172413
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,216000.0,216000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,186000.0,186000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,112500.0,17500.0,1.0,3.0,0.3333333333333333,0.75,2. BELOW BASELINE,2.0,5.0,0.4
CHDN,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,13320.000000000002,13320.000000000002,0.0,3.0,0.0,0.75,2. BELOW BASELINE,2.0,8.0,0.25
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,1. p999999_trade_value,150500.0,150500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,6. p95_trade_value,28000.0,19866.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,7. p90_trade_value,12600.0,12000.0,3.0,3.0,1.0,0.75,2. BELOW BASELINE,5.0,6.0,0.8333333333333334
CRSR,Consumer Discretionary,Gaming,15__0,15,0.0,8. p75_trade_value,11325.0,7000.0,7.0,8.0,0.875,0.75,2. BELOW BASELINE,12.0,14.0,0.8571428571428571
DKNG,Consumer Discretionary,Gaming,40__0,40,0.0,1. p999999_trade_value,733248.0,733248.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
DKNG,Consumer Discretionary,Gaming,40__0,40,0.0,4. p999_trade_value,711822.0,382839.00000000006,4.0,8.0,0.5,0.75,2. BELOW BASELINE,4.0,9.0,0.4444444444444444
DKNG,Consumer Discretionary,Gaming,40__0,40,0.0,5. p99_trade_value,370000.0,90000.0,43.0,78.0,0.5512820512820513,0.75,2. BELOW BASELINE,47.0,87.0,0.5402298850574713
DKNG,Consumer Discretionary,Gaming,40__0,40,0.0,6. p95_trade_value,89280.0,24600.0,208.0,348.0,0.5977011494252874,0.75,2. BELOW BASELINE,255.0,435.0,0.5862068965517241
DKNG,Consumer Discretionary,Gaming,40__0,40,0.0,7. p90_trade_value,24585.0,15582.000000000002,243.0,433.0,0.5612009237875288,0.75,2. BELOW BASELINE,498.0,868.0,0.5737327188940092
